,Reaction ID,Reaction Name,Flux,Reduced Cost
0,10FTHF5GLUtl,"5-Glutamyl-10Fthf Transport, Lysosomal",0.0,0.0
1,10FTHF5GLUtm,"5-Glutamyl-10Fthf Transport, Mitochondrial",0.0,3.468116749929579e-17
2,10FTHF6GLUtl,"6-Glutamyl-10Fthf Transport, Lysosomal",0.0,0.0
3,10FTHF6GLUtm,"6-Glutamyl-10Fthf Transport, Mitochondrial",0.0,0.0
4,10FTHF7GLUtl,"7-Glutamyl-10Fthf Transport, Lysosomal",0.0,0.0
5,10FTHF7GLUtm,"7-Glutamyl-10Fthf Transport, Mitochondrial",0.0,0.0
6,10FTHFtl,10-Formyltetrahydrofolate Lysosomal Transport via Diffusion,0.0,0.0
7,10FTHFtm,10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion,0.0,0.0
8,11DOCRTSLtm,11-Deoxycortisol Intracellular Transport,0.0,0.0
9,11DOCRTSLtr,11-Deoxycortisol Intracellular Transport,0.0,0.0
10,11DOCRTSTRNtm,11-Deoxycorticosterone Intracellular Transport,0.0,0.0
11,11DOCRTSTRNtr,11-Deoxycorticosterone Intracellular Transport,0.0,0.0
12,13DAMPPOX,"1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)",0.0,-5.147989677464932e-17
13,1a_24_25VITD2Hm,"1-Alpha-Vitamin D-24, 25-Hydroxylase (D2)",0.0,2.228131620887227e-16
14,1a_25VITD2Hm,"1-Alpha, 24R, 25-Vitamin D-Hydroxylase (D2)",0.0,2.228131620887227e-16
15,1MNCAMti,N1-Methylnicotinamide Transport,0.0,-0.09331215168226177
16,1PPDCRp,"Delta1-Piperideine-2-Carboxylate Reductase, Perixosomal",0.0,-9.826879719995373e-18
17,24_25DHVITD2t,"24, 25-Dihydroxyvitamin D2 Transport from Cytoplasm",0.0,0.0
18,24_25DHVITD2tm,"24, 25-Dihydroxyvitamin D2 Transport from Mitochondria",0.0,0.0
19,24_25DHVITD3t,"24, 25-Dihydroxyvitamin D3 Transport from Cytoplasm",0.0,0.0
20,24_25DHVITD3tm,"24, 25-Dihydroxyvitamin D3 Transport from Mitochondria",0.0,0.0
21,24_25VITD2Hm,24R-Vitamin D-25-Hydroxylase (D2),0.0,2.228131620887227e-16
22,24_25VITD3Hm,24R-Vitamin D-25-Hydroxylase (D3),0.0,2.228131620887227e-16
23,24NPHte,Transport of Xenobiotic,0.0,0.0
24,25HVITD2t,25-Hydroxyvitamin D2 Transport from Cytoplasm,0.0,0.0
25,25HVITD2tin_m,25-Hydroxyvitamin D2 Transport in Mitochondria,0.0,0.0
26,25HVITD3t,25-Hydroxyvitamin D3 Transport from Cytoplasm,0.0,0.0
