,harmonic_centrality,eigenvector_centrality,degree_centrality,closeness_centrality,information_centrality
DM_10fthf5glu,223.1559523809489,7.3913530256090025e-06,0.0009478672985781991,0.18916980455441995,0.0005328399246251728
DM_10fthf6glu,223.20595238094887,7.390958803808758e-06,0.0009478672985781991,0.18920373027259685,0.0005328409646084158
DM_10fthf7glu,222.90595238094892,3.695394455810853e-06,0.0009478672985781991,0.18910198960387167,0.0004157019364661665
DM_5thf,223.72976190475833,7.4088945326477206e-06,0.0009478672985781991,0.18950961020298185,0.0005328492542819246
DM_6dhf,223.07261904761558,7.390619014126346e-06,0.0009478672985781991,0.18913589100035855,0.0005328383438483224
DM_6thf,223.20595238094887,7.3909596102117945e-06,0.0009478672985781991,0.18920373027259685,0.0005328409679079067
DM_7dhf,222.90595238094892,3.6953944401910533e-06,0.0009478672985781991,0.18910198960387167,0.0004157019314350803
DM_7thf,222.90595238094892,3.695394455847922e-06,0.0009478672985781991,0.18910198960387167,0.0004157019364767725
DM_ahcys,219.3749999999967,1.3614790938248336e-05,0.0009478672985781991,0.1872891887093911,0.0006202167275573708
DM_atp(c),445.1523809523771,0.027253934366574143,0.10995260663507109,0.335133418043202,0.0033031786744114806
DM_fald,211.4607142857116,1.802484512757046e-06,0.0009478672985781991,0.18281060474787733,0.0004146748749288251
DM_for,208.40357142856905,9.994837005535795e-07,0.0009478672985781991,0.18124033671190518,0.0004140341075794219
DM_pheme(c),217.6416666666635,3.4075127521181464e-06,0.0009478672985781991,0.18652758132956151,0.0004153422717778117
DM_q10(m),321.97142857142944,0.0016983533763524647,0.0037914691943127963,0.26427855711422843,0.0017452322143112927
DM_thf(c),230.50238095237702,1.115788494611046e-05,0.0009478672985781991,0.19304666056724612,0.0006650639183282335
EX_3aib(e),177.6436507936511,3.9410559435724245e-09,0.0009478672985781991,0.16151255358236374,0.0003689866192005211
EX_4abut(e),310.6047619047621,0.0001765422726803948,0.0009478672985781991,0.27268027914189713,0.0007360640400956628
EX_ac(e),310.43809523809546,0.00017652210348869293,0.0009478672985781991,0.27260981912144705,0.0007360174193731084
EX_acac(e),310.68809523809546,0.0001767288226196819,0.0009478672985781991,0.2727507755946225,0.000736078063174979
EX_acald(e),229.0305555555504,6.20668923273568e-06,0.0009478672985781991,0.20152817574021012,0.000663947308156218
EX_ala-B(e),297.04047619047554,0.00018545994276272822,0.0009478672985781991,0.2511904761904762,0.0007371058497787786
EX_arg-L(e),247.2321428571375,1.2296443588880113e-05,0.0018957345971563982,0.21757063312023098,0.0009984729024944284
