,Gene_ID,Reactions
0,[],"['EX_asn-L(e)', 'EX_btn(e)', 'GLNtm_Neuron', 'EX_acald(e)', 'EX_bhb(e)', 'EX_ala-B(e)', 'THFtm', 'EX_leu-L(e)', '7DHFtm', 'O2Stm_Neuron', 'Ht_Int', '7THFtm', 'DM_thf(c)_Neuron', 'EX_co2(e)', '3SPYRSPm', 'EX_crn(e)', 'DM_ahcys_Neuron', '25HVITD2tin_m_Neuron', 'DCKm_Neuron', 'EX_cyan(e)', 'DGKm_Neuron', '5THFtm_Neuron', '25HVITD2tm_Neuron', 'EX_cys-L(e)', 'THFtm_Neuron', 'Kt1r_Int', 'EX_duri(e)', 'BALAtmr', 'DM_10fthf7glu_Neuron', '25HVITD3t_Neuron', 'VITD2tm', 'EX_etoh(e)', '4HBZCOAFm', '25HVITD3tin_Neuron', 'GLYCt_Neuron', 'EX_fe2(e)', 'AACTtm', 'GLYCtm_Neuron', 'ETOHt', 'DM_10fthf6glu_Neuron', '25HVITD3tin_m_Neuron', 'EX_glc(e)', '4ABUTtm', 'BHBt', 'DM_10fthf5glu_Neuron', 'FALDtm', 'VITD3tm', 'BETALDHxm', '6DHFtm_Neuron', 'EX_gln-L(e)', '25HVITD3tm_Neuron', 'DTKm_Neuron', 'EX_NACASPt_Int', 'DDPGAm', '6THFtm_Neuron', '5AOPtm', 'DM_5thf_Neuron', 'EX_glu-L(e)', 'VITD3tm3', 'ACALDtm', 'SERtm_Neuron', '7DHFtm_Neuron', 'EX_gly(e)', 'ACALDt', 'DM_6dhf_Neuron', 'CYANtm_Neuron', '7THFtm_Neuron', 'EX_glyc(e)', 'DM_6thf_Neuron', '3AIBt_Neuron', 'DM_4mptnl(m)_Neuron', 'DDPGAm_Neuron', '4HBZFm', 'DM_7dhf_Neuron', 'DTKm', 'EX_h(e)', 'PPAt_Int', 'O2t_Neuron', 'DM_7thf_Neuron', 'MTDNAploym', 'EX_h2o(e)', 'DECDPtm', 'MTDNAdpolym', 'EX_h2o2(e)', 'DM_atp(c)_Neuron', 'NACASPtm_Neuron', 'EX_hco3(e)', 'AOBUTDsm', 'CDPDAGtm', 'BHBtm_Neuron', 'NACASPt_Neuron', 'VALt5m', 'O2St_Int', 'EX_ile-L(e)', 'BHBtm', 'DGSNt', 'FE2tm', 'AACTtm_Neuron', 'FORt2m', 'EX_k(e)', 'DM_pheme(c)_Neuron', 'CYANt_Neuron', 'CHSTEROLt3', 'DM_fald_Neuron', 'O2tm_Neuron', 'EX_lac-D(e)', 'DM_4mptnl(m)', 'SERtm', 'EX_lac-L(e)', 'ACt2r', 'APOC_LYS_BTNPm', 'DM_for_Neuron', '34HPLFM_Neuron', '5THFtm', 'DM_q10(m)_Neuron', 'O2t_Int', 'DGKm', '6DHFtm', 'DHFtm', 'DCKm', 'DGSNtm', 'EX_lys-L(e)', 'ACt2m', '6THFtm', 'APOCFm', 'EX_pe_hs(e)_Neuron', '25HVITD2tin_Int', '10FTHF6GLUtm', 'EX_nh4(e)', 'EX_o2(e)', 'EX_na1(e)', 'ADCim', 'EX_o2s(e)', 'LEUt5m_Neuron', 'CO2t_Neuron', 'EX_orn(e)', 'EX_pe_hs(e)', '25HVITD3t_Int', 'SARCStex_Int', 'EX_pi(e)', '25HVITD3tin_Int', 'DM_10fthf5glu', 'EX_ppa(e)', 'DM_ahcys', 'NaEX_Neuron', 'DM_10fthf7glu', 'DM_10fthf6glu', 'EX_pro-L(e)', '3AIBt_Int', 'APOC_LYS_BTNPm_Neuron', 'CDPDAGtm_Neuron', 'EX_ps_hs(e)', 'Ht_Neuron', 'DM_5thf', 'CO2tm_Neuron', 'EX_pyr(e)', 'ACt2m_Neuron', 'DM_6dhf', 'EX_sarcs(e)', 'O2St', 'PROtm', 'O2Stm', 'EX_ser-L(e)', 'ADCim_Neuron', 'ETOHt_Neuron', 'HCO3Em_Neuron', 'DM_7dhf', 'APOCFm_Neuron', 'EX_so4(e)', 'PPA2m', 'EX_tcynt(e)', 'DM_7thf', 'DM_atp(c)', 'PPAt', 'EX_ac(e)', 'EX_thymd(e)', 'ACALDt_Int', 'O2t', 'DM_6thf', 'EX_urea(e)', 'GLYtm_Neuron', 'ACt2r_Int', 'EX_uri(e)', 'O2tm', 'EX_val-L(e)', 'PPAtm', 'LSOProd_Neuron', 'sink_4hpro-LT(m)', 'ASPNATm_Neuron', 'ASNtm', 'sink_amet', 'DM_pheme(c)', 'DM_fald', 'CO2t_Int', 'sink_decdp', 'sink_dhf(c)', 'DM_for', 'sink_dmgly', 'DM_q10(m)', 'DM_thf(c)', 'PRGNLONEtm', 'BHBt_Int', 'sink_tyr-L(m)', 'EX_3aib(e)', '10FTHF5GLUtm', 'TCYNTt_Int', 'ASNtm_Neuron', 'GLNtm', 'PPPG9tm', 'EX_4abut(e)', 'EX_acac(e)', '10FTHF7GLUtm', 'AOBUTDsm_Neuron', 'DMGtm', '10FTHFtm', 'sink_4hpro-LT(m)_Neuron', 'sink_amet_Neuron', 'EX_ps_hs(e)_Neuron', 'CREATtmdiffir', 'DM_prgnlone(c)', 'sink_decdp_Neuron', 'sink_dhf(c)_Neuron', 'DM_nadph(c)', 'PPAtm_Neuron', 'sink_dmgly_Neuron', 'DM_atp(m)', 'sink_tyr-L(m)_Neuron', '10FTHF5GLUtm_Neuron', 'VALt5m_Neuron', 'sink_chsterol', '10FTHF6GLUtm_Neuron', 'DM_1a2425thvitd2', 'DURIt', 'CO2t', '10FTHF7GLUtm_Neuron', 'DHFtm_Neuron', 'H2O2t_Neuron', 'CO2tm', 'DM_1a2425thvitd3', '10FTHFtm_Neuron', 'sink_vitd3', 'VITD2tm_Neuron', 'sink_vitd2', 'DPHMBDCm', 'GLYtm', 'PPAt_Neuron', 'SARCStm_Neuron', 'VITD3tm_Neuron', 'SARCStex', '25HVITD2tin_Neuron', 'T4HCINNMFM', 'MTDNAdpolym_Neuron', 'SARCStm', 'TCYNTt', 'EX_arg-L(e)', 'DMGtm_Neuron', 'PCREATtmdiffir', 'VITD3tm3_Neuron', 'CHSTEROLt3_Neuron', 'H2O2t', 'MTDNAploym_Neuron', '25HVITD2t', 'LEUt5m', '25HVITD2tin', 'COUCOAFm', 'H2O2tm_Neuron', 'TCYNTtm', 'FE2tm_Neuron', 'LSOProd', '25HVITD3tin', '25HVITD2tin_m', 'GLYCt', '25HVITD3tin_m', '25HVITD2t_Neuron', '25HVITD2tm', 'H2O2tm', 'DM_pchol_hs', 'Kt1r_Neuron', 'GLYCtm', 'FALDtm_Neuron', '25HVITD2t_Int', 'FORt2m_Neuron', '25HVITD3t', 'ILEt5m_Neuron', 'PPA2m_Neuron', 'CREATtmdiffir_Neuron', '25HVITD3tm', 'DM_prgnlone(c)_Neuron', 'DGSNt_Neuron', 'BALAtmr_Neuron', 'DM_nadph(c)_Neuron', 'CYANt_Int', '3AIBtm_Neuron', 'DM_atp(m)_Neuron', 'T4HCINNMFM_Neuron', 'BHBt_Neuron', '3DPHBH1_Neuron', '3DPHBH2_Neuron', 'BETALDHxm_Neuron', 'ACALDt_Neuron', 'HCO3Em', 'PROtm_Neuron', 'CYANt', 'ILEt5m', 'TCYNTt_Neuron', 'sink_chsterol_Neuron', 'CYANtm', 'DM_1a2425thvitd2_Neuron', 'DM_1a2425thvitd3_Neuron', 'sink_vitd3_Neuron', 'sink_vitd2_Neuron', 'PPPG9tm_Neuron', 'COUCOAFm_Neuron', '34HPLFM', '4HBZFm_Neuron', 'PHEMEtm_Neuron', '3SPYRSPm_Neuron', 'ACALDtm_Neuron', 'DGSNt_Int', 'TCYNTtm_Neuron', 'PHCHGSm_Neuron', 'PRGNLONEtm_Neuron', 'PCREATtmdiffir_Neuron', 'DURIt_Int', '3AIBt', 'ETOHt_Int', 'DPHMBDCm_Neuron', '4HBZCOAFm_Neuron', 'DECDPtm_Neuron', 'DURIt_Neuron', '4ABUTtm_Neuron', '3AIBtm', 'HtrnsEX_Neuron', 'PHCHGSm', 'Kt1r', 'DGSNtm_Neuron', '3DPHBH1', 'Ht', 'PHEMEtm', 'H2O2t_Int', 'GLYCt_Int', '5AOPtm_Neuron', 'O2St_Neuron', '3DPHBH2', 'DM_pchol_hs_Neuron']"
1,1594,"['1a,24,25VITD2Hm_Neuron', '25VITD3Hm_Neuron', '1a,24,25VITD2Hm', '25VITD2Hm_Neuron', '1a,24,25VITD3Hm_Neuron', '25VITD2Hm', '25VITD3Hm', '1a,24,25VITD3Hm']"
2,1591,"['24,25VITD3Hm', '24,25VITD2Hm_Neuron', '24,25VITD2Hm', '1a,25VITD3Hm_Neuron', '1a,25VITD3Hm', '1a,25VITD2Hm_Neuron', '1a,25VITD2Hm', '24,25VITD3Hm_Neuron']"
3,89874,"['2AMADPTm_Neuron', '2OXOADPTm', '2AMADPTm', '2OXOADPTm_Neuron']"
4,8050,"['2OXOADOXm', 'AKGDm', 'AKGDm_Neuron', 'PDHm', 'PDHm_Neuron', '2OXOADOXm_Neuron']"
5,1738,"['AKGDm', 'OIVD3m', 'GCCbim', 'GCCcm', '2OXOADOXm_Neuron', 'GCC2cm', 'GCC2bim', 'GCCbim_Neuron', 'PDHm', 'OIVD2m', 'OIVD1m', 'AKGDm_Neuron', 'OIVD1m_Neuron', '2OXOADOXm', 'GCC2am_Neuron', 'GCC2am', 'GCC2cm_Neuron', 'OIVD3m_Neuron', 'GCC2bim_Neuron', 'PDHm_Neuron', 'OIVD2m_Neuron', 'GCCcm_Neuron', 'GCCam_Neuron', 'GCCam']"
6,4967,"['2OXOADOXm', 'AKGDm', '2OXOADOXm_Neuron', 'AKGDm_Neuron']"
7,1743,"['2OXOADOXm', 'AKGDm', '2OXOADOXm_Neuron', 'AKGDm_Neuron']"
8,18,"['ABTArm_Neuron', 'ABTArm', 'APAT2rm_Neuron', 'APAT2rm', '3AIBTm_Neuron', '3AIBTm']"
9,55268,"['3HBCDm', '3HBCDm_Neuron']"
