,rxn_ids,rxn_names,reactions,rxn_bounds,rxn_subsystems
0,DM_10fthf5glu,10-formyltetrahydrofolate-[Glu](5) Demand,10fthf5glu[cA] --> ,"(0.0, 0.0)",[]
1,DM_10fthf6glu,10-formyltetrahydrofolate-[Glu](6) Demand,10fthf6glu[cA] --> ,"(0.0, 0.0)",[]
2,DM_10fthf7glu,10-formyltetrahydrofolate-[Glu](7) Demand,10fthf7glu[cA] --> ,"(0.0, 0.0)",[]
3,DM_5thf,pentaglutamyl folate (THF) Demand,5thf[cA] --> ,"(0.0, 0.0)",[]
4,DM_6dhf,haxglutamyl folate (DHF) Demand,6dhf[cA] --> ,"(0.0, 0.0)",[]
5,DM_6thf,hexaglutamyl folate (THF) Demand,6thf[cA] --> ,"(0.0, 0.0)",[]
6,DM_7dhf,heptaglutamyl folate (DHF) Demand,7dhf[cA] --> ,"(0.0, 0.0)",[]
7,DM_7thf,heptaglutamyl folate (THF) Demand,7thf[cA] --> ,"(0.0, 0.0)",[]
8,DM_ahcys,ahcys demand,ahcys[cA] --> ,"(0.0, 0.0)",[]
9,DM_atp(c),atp demand,atp[cA] + h2o[cA] --> adp[cA] + h[cA] + pi[cA],"(0.0, 0.0)",[]
10,DM_fald,Formaldehyde Demand,fald[cA] --> ,"(0.0, 1000.0)",[]
11,DM_for,Formate Demand,for[cA] --> ,"(0.0, 1000.0)",[]
12,DM_pheme(c),DM_pheme(c),pheme[cA] --> ,"(0.0, 0.0)",[]
13,DM_q10(m),DM_q10(m),q10[mA] --> ,"(0.0, 0.0)",[]
14,DM_thf(c),thf demand,thf[cA] --> ,"(0.0, 0.0)",[]
15,EX_3aib(e),L-3-Amino-isobutanoate exchange,3aib[e] --> ,"(0.0, 0.0)",
16,EX_4abut(e),4-Aminobutanoate exchange,4abut[e] --> ,"(0.0, 0.0)",
17,EX_ac(e),Acetate exchange,ac[e] --> ,"(0.0, 1000.0)",
18,EX_acac(e),Acetoacetate exchange,acac[e] --> ,"(0.0, 0.0)",
19,EX_acald(e),Acetaldehyde exchange,acald[e] --> ,"(0.0, 1000.0)",
20,EX_ala-B(e),beta-Alanine exchange,ala-B[e] --> ,"(0.0, 0.0)",[]
21,EX_arg-L(e),L-Arginine exchange,arg-L[e] --> ,"(0.0, 0.0)",[]
22,EX_asn-L(e),L-Asparagine exchange,asn-L[e] --> ,"(0.0, 0.0)",[]
23,EX_bhb(e),(R)-3-Hydroxybutanoate transport via H+ symport,bhb[e] --> ,"(0.0, 0.0)",
24,EX_btn(e),Biotin exchange,btn[e] --> ,"(0.0, 0.0)",
25,EX_co2(e),CO2 exchange,co2[e] <=> ,"(-1000.0, 1000.0)",
