,Gene_ID,Reactions
0,26.1,"['MAOX', 'RE0689X', 'RE0827X', 'r0281', 'NMPTRCOX', 'RE0827E', 'MHISOR', '42A12BOOX', 'TRYPTAOX', 'RE0690X', 'PTRCOX1', 'RE3367X', 'RE0688E', 'RE0828E', 'RE3367E', 'RE0688X', 'HISTASE', 'PEAMNO', '13DAMPPOX', 'RE0828X', 'RE0690E', 'RE0689E']"
1,314.1,"['MAOX', 'NMPTRCOX', 'MHISOR', '42A12BOOX', 'TRYPTAOX', 'HISTASE', 'PEAMNO', 'PTRCOX1', '13DAMPPOX']"
2,314.2,"['MAOX', 'NMPTRCOX', 'MHISOR', '42A12BOOX', 'TRYPTAOX', 'HISTASE', 'PEAMNO', 'PTRCOX1', '13DAMPPOX']"
3,8639.1,"['MAOX', 'RE0828C', 'RE0690C', 'RE0827C', 'NMPTRCOX', 'MHISOR', '42A12BOOX', 'RE0688C', 'RE3367C', 'RE0689C', 'PTRCOX1', '13DAMPPOX', 'AACTOOR']"
4,1591.1,"['RE3144M', '24_25VITD3Hm', 'RE1308M', 'RE2975M', 'RE1310M', '24_25VITD2Hm', 'RE1309M', 'RE1311M']"
5,2638.1,['25HVITD3tin']
6,8029.1,"['CBLtle', '25HVITD3tin']"
7,4036.1,['25HVITD3tin']
8,1594.1,"['25VITD3Hm', '25HVITD3c', '25VITD2Hm']"
9,10993.1,"['SERHL', 'r0060', 'THRD_L', '2AMACHYD']"
10,6818.1,"['2AMACSULT', 'RE0912C', 'DHEASULT', 'NRPPHRSULT', 'DOPASULT', 'TYMSULT', 'RE3009C', 'ESTSULT', '5ADTSTSTERONESULT', 'TRIODTHYSULT', 'CHSTEROLSULT', 'TSTSTERONESULT', 'PRGNLONESULT', 'RE2722C', 'RE2718C', '4NPHSULT']"
11,89874.1,"['2AMADPTm', '2OXOADPTm', 'r0879']"
12,3939.1,"['LDH_L', 'HPYRR2x', '2HBO', 'MCLOR', 'r0173', 'LDH_Lm', 'GLXO1']"
13,160287.1,"['LDH_L', 'HPYRR2x', '2HBO', 'MCLOR', 'GLXO1']"
14,3948.1,"['LDH_L', 'HPYRR2x', '2HBO', 'MCLOR', 'r0173', 'GLXO1']"
15,92483.1,"['LDH_L', 'HPYRR2x', '2HBO', 'MCLOR', 'GLXO1']"
16,3948.2,"['LDH_L', 'HPYRR2x', '2HBO', 'MCLOR', 'GLXO1']"
17,55293.1,"['LDH_L', '2HBO', 'GLXO1', 'MCLOR']"
18,3945.1,"['LDH_L', 'HPYRR2x', '2HBO', 'MCLOR', 'r0173', 'LDH_Lm', 'GLXO1']"
19,9123.1,"['L_LACt2r', 'D_LACt2', '2HBt2', 'PYRt2r', 'ACETONEt2']"
20,9194.1,"['PYRt2p', 'D_LACt2', '2HBt2', 'ACETONEt2', 'L_LACt2r', 'r1454', 'ACACt2', 'r1155', 'PYRt2r']"
21,6566.1,"['r2100', 'L_LACtm', 'D_LACtm', 'r2088', 'r2102', 'r2116', 'r2130', 'r2516', 'PYRt2r', 'r2133', 'r2091', 'r2105', 'r2119', 'BTNt2', 'D_LACt2', 'BUTt2m', 'r2092', 'r2106', 'r2120', 'r1454', 'r2107', 'r2093', 'r2121', 'r2079', 'BUTt2r', '2HBt2', 'ACETONEt2', 'r2080', 'r2094', 'r2108', 'r2122', 'r0954', 'PYRt2p', 'r2081', 'r2095', 'r2109', 'r2123', 'r2082', 'r2096', 'r2110', 'r2124', 'ACACt2', 'r1155', 'r2086', 'BTNt2m', 'r2083', 'r2097', 'r2111', 'PYRt2m', 'r2125', 'r2090', 'r2104', 'r2118', 'r2132', 'r2084', 'r2098', 'r2112', 'r2087', 'r2101', 'r2115', 'r2126', 'r2129', 'ACACt2m', 'r2127', 'r2085', 'r2128', 'r2099', 'r2089', 'r2103', 'r2113', 'r2117', 'r2131', 'L_LACt2r', 'ACETONEt2m', 'r2114']"
22,57835.4,"['2HCO3_NAt', '3HCO3_NAt']"
23,57835.2,"['2HCO3_NAt', '3HCO3_NAt']"
24,8671.1,"['2HCO3_NAt', '3HCO3_NAt']"
25,57835.1,"['r1538', '2HCO3_NAt', '3HCO3_NAt']"
26,57835.3,"['2HCO3_NAt', '3HCO3_NAt']"
27,4967.1,"['r0451', 'AKGDm', 'r0163', 'r0384', 'r0620', '2OXOADOXm']"
28,1743.1,"['r0556', '2OXOADOXm', 'r0557', 'AKGDm']"
29,4967.2,"['2OXOADOXm', 'AKGDm']"
30,8050.1,"['2OXOADOXm', 'PDHm', 'AKGDm']"
31,1738.1,"['AKGDm', 'GCCcm', 'OIVD2m', 'GCCbim', 'GCCam', 'OIVD1m', 'GCC2cm', 'RE0702M', 'GCC2bim', 'GCC2am', 'OIVD3m', '2OXOADOXm', 'PDHm', 'r1154']"
32,124.1,"['ALCD2if', 'ALCD22_D', 'ALCD21_L', 'ALCD22_L', 'r0739', 'ALCD1', '34DHOXPEGOX', 'ALCD21_D']"
33,128.1,"['ALCD2if', 'LALDO', 'FALDH', 'ALCD22_D', 'r1378', 'ALCD21_L', 'ALCD22_L', 'r0739', 'FAOXOHC22C22DCc', 'FAOXOHMC10DC10c', 'ALCD1', '34DHOXPEGOX', 'FAOXOHC16C16DCc', 'ALCD21_D']"
34,130.1,"['ALCD2if', 'ALCD22_D', 'ALCD21_L', 'ALCD22_L', 'r0739', 'ALCD1', '34DHOXPEGOX', 'ALCD21_D']"
35,126.1,"['ALCD2if', 'ALCD22_D', 'ALCD21_L', 'ALCD22_L', 'r0739', 'ALCD1', '34DHOXPEGOX', 'ALCD21_D']"
36,131.1,"['ALCD2if', 'ALCD22_D', 'ALCD21_L', 'ALCD22_L', 'r0739', 'ALCD1', '34DHOXPEGOX', 'ALCD21_D']"
37,125.1,"['ALCD2if', 'ALCD22_D', 'ALCD21_L', 'ALCD22_L', 'r0739', 'ALCD1', '34DHOXPEGOX', 'ALCD21_D']"
38,137872.1,"['ALCD2if', 'ALCD22_D', 'RE3011M', 'ALCD21_L', 'ALCD22_L', 'RE1711M', 'ALCD1', '34DHOXPEGOX', 'ALCD21_D']"
39,127.1,"['ALCD2if', 'ALCD22_D', 'ALCD21_L', 'ALCD22_L', 'r0739', 'ALCD1', '34DHOXPEGOX', 'ALCD21_D']"
40,1312.1,"['34DHPHAMT', 'DOPAMT', 'SALMCOM']"
41,1312.2,"['34DHPHAMT', 'DOPAMT', 'SALMCOM']"
42,117247.1,"['PHEtec', 'TYRt', 'TRPt', '34DHPHEt']"
43,222.1,"['3M4HDXPAC', 'GCALDD', 'r0752', 'r0548', 'r0756', 'MACOXO', '4HOXPACDOX_NADP', '34DHPLACOX_NADP', '34DHXMANDACOX_NADP', 'r0753', 'r0545', 'ALDD2y', '34DHPLACOX', 'LCADi', 'ALDD2x', 'r0754', '3MOX4HOXPGALDOX', 'r0546', 'r0547', 'r0755', 'LCADi_D', 'r0757', '3MOX4HOXPGALDOX_NADP', 'GLACO']"
