,degree,harmonic,eigenvector,closeness,information,katz,pagerank
10fthf5glu_c,0.0020112630732099755,1924.883333333168,0.01857618396056282,0.3657226921662376,0.0005106036692815304,0.011795438713519924,0.0001564681452877083
10fthf5glu_l,0.0010056315366049878,1447.9166666667036,0.00043695412672808,0.2770070756030977,0.00038619389425574346,0.00429046115132916,0.00010563986528362928
10fthf5glu_m,0.001810136765888978,1574.7500000000666,0.002850521001131155,0.2949516521326452,0.0004962047419701759,-0.001763684501903498,0.00013620229474485128
10fthf6glu_c,0.001810136765888978,1878.7333333331992,0.014130876009290885,0.35616045845272204,0.0004932862668550398,0.016618236576692577,0.00014493623116477292
10fthf6glu_l,0.0010056315366049878,1447.7833333333701,0.0003728572051276375,0.27697621302434405,0.0003852921202845826,0.0047156102062054514,0.00010628513283839414
10fthf6glu_m,0.0016090104585679806,1546.70952380959,0.002332675317287133,0.28876756882332444,0.0004771852474634843,0.005563402556578077,0.00012514928919899208
10fthf7glu_c,0.0016090104585679806,1877.8999999998662,0.013871239427645348,0.35608393611688033,0.00047596556356370207,0.015506668488472871,0.00013229546067812086
10fthf7glu_l,0.0008045052292839903,1447.0333333333701,0.0003631181117826694,0.2769299320485686,0.0003537056742069876,0.004224516638973736,8.805038213052056e-05
10fthf7glu_m,0.0014078841512469831,1545.9595238095899,0.0022892282164567058,0.28871726380581847,0.00045847514006246224,0.005622685866912966,0.00011235702912514653
10fthf_c,0.003821399839098954,1935.133333333163,0.024770906775655722,0.3670456223239333,0.000582943465450776,0.017393400138683537,0.0002780240033513307
10fthf_l,0.0008045052292839903,1451.8833333333707,0.0005181392498370793,0.2777498463772974,0.00035751953572711517,0.004370674898507173,8.633811757666871e-05
10fthf_m,0.0022123893805309734,1579.0833333333992,0.00305639569234219,0.29560047562425684,0.0005226280165094382,-0.002087443050600735,0.0001592779413608421
11docrtsl_c,0.00040225261464199515,1242.633333333412,3.492274504205044e-05,0.2387973680418808,0.00023004366266675166,-0.0001490549406861016,6.384961560467964e-05
11docrtsl_m,0.0014078841512469831,1562.5333333333958,0.0020632655954669356,0.29307397583259653,0.00044920902544155647,-0.0016525322022884676,0.0001330283930999117
11docrtsl_r,0.0014078841512469831,1500.8166666667084,0.0004023086982812474,0.28505905286091043,0.0004468273204829696,0.00025140967472305197,0.00014664296986298696
11docrtstrn_c,0.00040225261464199515,1242.983333333412,3.5254196269640194e-05,0.23884325311043858,0.00023133419359375589,-0.000141023439112187,6.487709665201057e-05
11docrtstrn_m,0.0016090104585679806,1563.283333333396,0.0020869523922986974,0.2931258106355383,0.00046710093854753957,-0.0019381384706413135,0.00015824088380740113
11docrtstrn_r,0.0014078841512469831,1501.1000000000417,0.00040201508962474933,0.2851571461344345,0.0004464093050246218,0.000617330958815044,0.00014752979285940023
13dampp_c,0.0022123893805309734,1800.9666666665855,0.00929994811045926,0.34022170521417816,0.0005140841541610341,-0.009320692603618992,0.00018340240933684086
h2o_c,0.2407481898632341,2886.1666666668125,0.3065863611425986,0.49620758483033933,0.0006958946837803894,-0.04718527203175198,0.018657087496288218
o2_c,0.07964601769911504,2259.1999999999293,0.1101189895251189,0.40554649265905385,0.0006908337066061468,-0.005862438831671905,0.00618012492737915
bamppald_c,0.001810136765888978,1923.6499999998348,0.015501750540898689,0.3658034137728075,0.000500828267578312,-0.010546728371060356,0.00014432307867816104
h2o2_c,0.02312952534191472,2043.5333333331423,0.039020103094765085,0.3821381907616632,0.000674081846453903,-0.0074221246901563925,0.0017345839431248409
nh4_c,0.02674979887369268,2046.866666666481,0.06727234915351524,0.3804131599081867,0.0006784049813647594,-0.025904306089885594,0.00179233250431748
2425dhvitd2_m,0.0016090104585679806,1562.6500000000624,0.0020881171074021297,0.2930048912723201,0.00045759503002841117,-0.0020026856720152435,0.00017619218157517317
h_m,0.12811745776347547,2324.8833333332623,0.055922647854291574,0.39696606786427147,0.0006909638152646195,0.004455079839943955,0.009036038107063663
nadph_m,0.036202735317779566,2056.116666666499,0.021311124732434843,0.3749340170424553,0.0006797099659597031,0.0023413345346911894,0.002541549712952471
o2_m,0.022123893805309734,2033.1833333331713,0.012811857985134541,0.3762675949750265,0.0006691932242001445,0.04333797103449501,0.0016501980109262782
1a2425thvitd2_m,0.0014078841512469831,1561.7333333333956,0.00208729676546206,0.2929358392741413,0.0004571255563943493,-0.001966288636192134,0.0001253725462911394
h2o_m,0.08366854384553499,2241.416666666563,0.03190274607656714,0.3984293613270294,0.0006880550679701261,-0.06806503086261097,0.006000983889003571
nadp_m,0.036202735317779566,2056.116666666499,0.021311124732434843,0.3749340170424553,0.0006797099659597057,0.0023413345346912193,0.002541549712952471
2425dhvitd3_m,0.0022123893805309734,1566.2333333333966,0.002917781519991642,0.29341988787252876,0.0005216889491504889,0.006325744220524952,0.00017609913076617863
1a2425thvitd3_m,0.0014078841512469831,1561.7333333333956,0.0020991117413491807,0.2929358392741413,0.000458531926634259,-0.0011207850141258164,0.00011969867255883803
1a25dhvitd2_m,0.0014078841512469831,1561.7333333333956,0.002087698280360147,0.2929358392741413,0.0004574754080437929,-0.0019814628918209164,0.0001252637276403672
1a25dhvitd3_m,0.0014078841512469831,1561.7333333333956,0.0020915683429391955,0.2929358392741413,0.0004582434767908379,-0.001854856563697705,0.00012023772693816924
1mncam_c,0.001810136765888978,1923.266666666502,0.0181855576073025,0.36558823529411766,0.0004992296043245734,-0.005488815802805332,0.00014393883727082936
atp_c,0.11182622687047465,2407.4833333333972,0.19635958747323354,0.4262323189027004,0.000693554646751169,-0.08596299688787873,0.007217674296302021
1mncam_e,0.0012067578439259854,1919.8833333331704,0.017183251262245246,0.3651050080775444,0.00043896694608199524,-0.0022161750350400814,0.00010282177840354167
adp_c,0.08628318584070796,2330.350000000004,0.1662900220547508,0.4183072522295137,0.000692145543059926,-0.03937316250570049,0.00544503769791845
h_c,0.30189058728881735,3110.283333333426,0.35897827382725733,0.5375716293653368,0.000696505982010335,0.048819268053814355,0.022722165633683244
pi_c,0.08708769106999195,2409.18333333343,0.16612544447884828,0.43656159452102905,0.0006922294764446751,0.1071186557032169,0.005603483748206035
1pipdn2c_x,0.0012067578439259854,1469.400000000038,0.0006184260263393648,0.27971870604781995,0.0004279946677161729,0.025067477609695757,0.00011670035842848041
h_x,0.06335478680611424,2085.816666666465,0.016094021928891544,0.37369409996242015,0.0006792386915452361,0.00788743384121533,0.0049706570485524865
nadh_x,0.030571198712791632,1643.883333333385,0.006770846403935591,0.29874421678783875,0.0006695779337025405,0.01108641648842374,0.0022951603386366826
Lpipecol_x,0.0014078841512469831,1446.950000000037,0.0006307579236065734,0.275030423719438,0.0004520670750889132,-0.010701586768080036,0.00013042661620945426
nad_x,0.030571198712791632,1665.533333333367,0.0069542935748501305,0.3033001891051058,0.000669578030212675,0.011038493361211568,0.0022950644593542394
2425dhvitd2_c,0.00040225261464199515,1173.1976190477317,2.957639146013207e-05,0.22663870908925152,0.00013977532809752386,-0.0002122278019434668,0.00011711648433598386
2425dhvitd2_e,0.00020112630732099757,943.2119047618105,4.188270419827583e-07,0.1847708944962652,8.247192493502144e-05,-3.0165468123907405e-05,8.109133348437365e-05
2425dhvitd3_c,0.0016090104585679806,1921.8166666665024,0.01474835960727712,0.36550760861574655,0.0004619577842372722,-0.0011748218535822482,0.00016731876256600718
2425dhvitd3_e,0.00020112630732099757,1371.0333333333524,0.0002083850549273351,0.267686012705933,0.00014014042136213322,-0.00012642487328779305,4.789073412550414e-05
25hvitd2_m,0.001810136765888978,1563.4000000000626,0.0021168731580984545,0.2930567016385713,0.00047503884061224805,-0.002169602483931642,0.00019550167785081936
25hvitd3_m,0.0020112630732099755,1565.3500000000631,0.0023779923251222076,0.29333333333333333,0.0005062859342322496,-0.0017490428247663062,0.00016698463603874266
24nph_e,0.00020112630732099757,1370.5333333333522,0.00020783217535318572,0.2676139727649497,0.00013795799818928488,-0.00017643630243502673,4.8694265139502955e-05
24nph_c,0.0014078841512469831,1920.6499999998364,0.01470929304585132,0.3653733098177543,0.00043906193593718466,-0.0016749361450546668,0.00015306694522871202
25hvitd2_c,0.00040225261464199515,1173.4976190477316,2.9983677078494014e-05,0.22666970594939595,0.0001413609178106395,-0.00022908808597543468,0.00011702279423934659
25hvitd2_e,0.00020112630732099757,943.3785714284772,4.245977622578336e-07,0.1847914963205233,8.302137342979437e-05,-3.185149652710292e-05,8.081157097415722e-05
25hvitd3_c,0.0022123893805309734,1924.1499999998348,0.01539262592518018,0.3657495954097396,0.0005085428070700726,-0.0025918452422738097,0.0002208252664855506
25hvitd3_e,0.00020112630732099757,1371.9666666666858,0.0002175277733029935,0.2678157823862106,0.00014414616373825028,-0.0002681272121569398,4.729070049099663e-05
2amac_c,0.0030168946098149637,1923.13333333317,0.01786115163245233,0.36502459437633067,0.000562253583239969,-0.008311452884268704,0.00021450193059511998
