,rxn_ids,rxn_names,reactions,rxn_bounds,rxn_subsystems
0,10FTHF5GLUtl,"5-glutamyl-10FTHF transport, lysosomal",10fthf5glu_c --> 10fthf5glu_l,"(0.0, 100.0)","Transport, lysosomal"
1,10FTHF5GLUtm,"5-glutamyl-10FTHF transport, mitochondrial",10fthf5glu_m --> 10fthf5glu_c,"(0.0, 100.0)","Transport, mitochondrial"
2,10FTHF6GLUtl,"6-glutamyl-10FTHF transport, lysosomal",10fthf6glu_c --> 10fthf6glu_l,"(0.0, 100.0)","Transport, lysosomal"
3,10FTHF6GLUtm,"6-glutamyl-10FTHF transport, mitochondrial",10fthf6glu_m --> 10fthf6glu_c,"(0.0, 100.0)","Transport, mitochondrial"
4,10FTHF7GLUtl,"7-glutamyl-10FTHF transport, lysosomal",10fthf7glu_c --> 10fthf7glu_l,"(0.0, 100.0)","Transport, lysosomal"
5,10FTHF7GLUtm,"7-glutamyl-10FTHF transport, mitochondrial",10fthf7glu_m --> 10fthf7glu_c,"(0.0, 100.0)","Transport, mitochondrial"
6,10FTHFtl,10-Formyltetrahydrofolate lysosomal transport via diffusion,10fthf_c <=> 10fthf_l,"(-100.0, 100.0)","Transport, lysosomal"
7,10FTHFtm,10-Formyltetrahydrofolate mitochondrial transport via diffusion,10fthf_c <=> 10fthf_m,"(-100.0, 100.0)","Transport, mitochondrial"
8,11DOCRTSLtm,11-deoxycortisol intracellular transport,11docrtsl_c <=> 11docrtsl_m,"(-100.0, 100.0)","Transport, mitochondrial"
9,11DOCRTSLtr,11-deoxycortisol intracellular transport,11docrtsl_c <=> 11docrtsl_r,"(-100.0, 100.0)","Transport, endoplasmic reticular"
10,11DOCRTSTRNtm,11-deoxycorticosterone intracellular transport,11docrtstrn_c <=> 11docrtstrn_m,"(-100.0, 100.0)","Transport, mitochondrial"
11,11DOCRTSTRNtr,11-deoxycorticosterone intracellular transport,11docrtstrn_c <=> 11docrtstrn_r,"(-100.0, 100.0)","Transport, endoplasmic reticular"
12,13DAMPPOX,"1,3-Diaminopropane:oxygen oxidoreductase (deaminating)",13dampp_c + h2o_c + o2_c --> bamppald_c + h2o2_c + nh4_c,"(0.0, 100.0)",beta-Alanine metabolism
13,1a_24_25VITD2Hm,"1-alpha-Vitamin D-24,25-hydroxylase (D2)",2425dhvitd2_m + 2.0 h_m + nadph_m + o2_m --> 1a2425thvitd2_m + h2o_m + nadp_m,"(0.0, 100.0)",Vitamin D metabolism
14,1a_24_25VITD3Hm,"1-alpha-Vitamin D-24,25-hydroxylase (D3)",2425dhvitd3_m + 2.0 h_m + nadph_m + o2_m --> 1a2425thvitd3_m + h2o_m + nadp_m,"(0.0, 100.0)",Vitamin D metabolism
15,1a_25VITD2Hm,"1-alpha,24R,25-Vitamin D-hydroxylase (D2)",1a25dhvitd2_m + 2.0 h_m + nadph_m + o2_m --> 1a2425thvitd2_m + h2o_m + nadp_m,"(0.0, 100.0)",Vitamin D metabolism
16,1a_25VITD3Hm,"1-alpha,24R,25-Vitamin D-hydroxylase (D3)",1a25dhvitd3_m + 2.0 h_m + nadph_m + o2_m --> 1a2425thvitd3_m + h2o_m + nadp_m,"(0.0, 100.0)",Vitamin D metabolism
17,1MNCAMti,N1-Methylnicotinamide transport,1mncam_c + atp_c + h2o_c --> 1mncam_e + adp_c + h_c + pi_c,"(0.0, 100.0)","Transport, extracellular"
18,1PPDCRp,"delta1-piperideine-2-carboxylate reductase, perixosomal",1pipdn2c_x + 2.0 h_x + nadh_x --> Lpipecol_x + nad_x,"(0.0, 100.0)",Lysine metabolism
19,24_25DHVITD2t,"24,25-Dihydroxyvitamin D2 transport from cytoplasm",2425dhvitd2_c --> 2425dhvitd2_e,"(0.0, 100.0)","Transport, extracellular"
20,24_25DHVITD2tm,"24,25-Dihydroxyvitamin D2 transport from mitochondria",2425dhvitd2_m --> 2425dhvitd2_c,"(0.0, 100.0)","Transport, mitochondrial"
21,24_25DHVITD3t,"24,25-Dihydroxyvitamin D3 transport from cytoplasm",2425dhvitd3_c --> 2425dhvitd3_e,"(0.0, 100.0)","Transport, extracellular"
