,harmonic_centrality,eigenvector_centrality,degree_centrality,closeness_centrality,information_centrality
PGM,299.45714285714223,0.00046860722121888583,0.004739336492890996,0.25166984732824427,0.001963498515848945
ACYP,442.65238095237703,0.027030551858345298,0.1061611374407583,0.33438985736925514,0.0032995875989641345
PGI,296.94047619047547,0.0005377346678840718,0.004739336492890996,0.25035595633602276,0.0019014780025773835
PGK,353.8690476190505,0.004138273239729409,0.026540284360189573,0.2943638392857143,0.0030098135410985844
PYK,437.06904761904366,0.026214837665571776,0.0966824644549763,0.3329125907226254,0.0032895696367676234
HEX1,436.6523809523769,0.026233215969001043,0.09763033175355451,0.3323881537492123,0.0032905254592176265
DPGase,389.30238095238036,0.006660355710777369,0.043601895734597156,0.31361474435196196,0.0031536805052090507
TPI,301.13809523809465,0.0001986236703413014,0.005687203791469194,0.25269461077844313,0.0019304487653367922
PFK,436.9857142857103,0.02616203523031358,0.09763033175355451,0.33259773013871374,0.0032898403413063487
ENO,368.202380952383,0.0050663623116630006,0.034123222748815164,0.30142857142857143,0.0030886543467327507
GAPD,439.31904761904366,0.02645936359287063,0.1014218009478673,0.3332280480101074,0.003293644317009488
DPGM,432.15238095237686,0.025969327838608315,0.09004739336492891,0.33124018838304553,0.003281687283125273
FBA,302.7214285714281,0.0003753977617547073,0.006635071090047393,0.25324051848295726,0.002072940052820998
G3PD2m,306.73174603175187,0.0014344401730075006,0.012322274881516588,0.237880496054115,0.002592008647370847
