,harmonic_centrality,eigenvector_centrality,degree_centrality,closeness_centrality,information_centrality
DM_10fthf5glu,222.37261904761561,7.463185642686391e-06,0.0009505703422053232,0.1890386343216532,0.0005346830179051972
DM_10fthf6glu,222.4226190476156,7.462782514731932e-06,0.0009505703422053232,0.18907260963335729,0.0005346840663362326
DM_10fthf7glu,222.12261904761564,3.731304379782465e-06,0.0009505703422053232,0.18897072031614873,0.0004170824071387324
DM_5thf,222.94642857142506,7.481011528214189e-06,0.0009505703422053232,0.18937893789378937,0.0005346929331951115
DM_6dhf,222.28928571428227,7.462434998896228e-06,0.0009505703422053232,0.18900467121810996,0.0005346814102777667
DM_6thf,222.12261904761564,3.731305228557022e-06,0.0009505703422053232,0.18897072031614873,0.00041708240752779644
DM_7dhf,222.12261904761564,3.731304363601524e-06,0.0009505703422053232,0.18897072031614873,0.00041708240201902456
DM_ahcys,218.59166666666343,1.376902851037879e-05,0.0009505703422053232,0.18715531044298167,0.0006224240550398844
DM_atp(c),444.0690476190438,0.027658467026504065,0.11026615969581749,0.3351385791653393,0.00332520542528199
DM_fald,210.84404761904497,1.8385519872556185e-06,0.0009505703422053232,0.18276580958999306,0.0004160568681233077
DM_for,207.62023809523575,9.863081859323706e-07,0.0009505703422053232,0.18109829574797728,0.0004153732661735291
DM_pheme(c),216.85833333333022,3.4461407619527014e-06,0.0009505703422053232,0.18639262934089298,0.000416716784953737
DM_q10(m),320.88809523809607,0.0017110029976971405,0.0038022813688212928,0.2641225207130304,0.0017536888844979163
DM_thf(c),229.7190476190437,1.1280903312674824e-05,0.0009505703422053232,0.1929213277095177,0.0006674664455467077
EX_3aib(e),177.0269841269844,3.845659244129537e-09,0.0009505703422053232,0.16142396808347398,0.0003701501591074954
EX_4abut(e),309.8214285714287,0.00018041512638749057,0.0009505703422053232,0.2727508426238009,0.0007387889635495669
EX_ac(e),309.6547619047621,0.0001803944633536551,0.0009505703422053232,0.272680145152929,0.0007387421128584894
EX_acac(e),309.9047619047621,0.00018060778046289277,0.0009505703422053232,0.27282157676348545,0.0007388030353225541
EX_acald(e),228.41388888888375,6.3836095077953724e-06,0.0009505703422053232,0.20153256704980843,0.0006663506559581521
EX_ala-B(e),296.2571428571422,0.00018942623034472707,0.0009505703422053232,0.2511938872970392,0.0007398353876331205
EX_arg-L(e),246.44880952380416,1.2481727565188692e-05,0.0019011406844106464,0.2174901798635518,0.0010024671459921012
EX_asn-L(e),260.2059523809496,8.475292991499392e-06,0.0009505703422053232,0.23455964325529544,0.0007077967764398244
EX_bhb(e),309.6547619047621,0.0001803944633536551,0.0009505703422053232,0.272680145152929,0.0007387421128584896
EX_btn(e),310.1547619047621,0.000360805726253088,0.0019011406844106464,0.2727508426238009,0.0012155418270155705
EX_co2(e),232.6222222222172,3.043593014926917e-06,0.0009505703422053232,0.2053484286550849,0.0006373735101614669
EX_crn(e),170.76269841269803,1.1684418955685637e-08,0.0009505703422053232,0.15523092813929468,0.00046333811013297245
EX_cyan(e),188.4289682539682,2.3689051699274774e-08,0.0009505703422053232,0.1709735088574679,0.00037174735408671656
EX_cys-L(e),252.71428571428098,1.4830579753071153e-05,0.0038022813688212928,0.22392507449978713,0.0016733217286366983
EX_etoh(e),227.64722222221712,3.7641964588441386e-06,0.0009505703422053232,0.20122417750573834,0.0006163754676703071
EX_fe2(e),287.5142857142843,4.535932620977069e-06,0.0019011406844106464,0.26156141223272006,0.0008050842567580331
EX_glc(e),313.28809523809565,0.00018666365837636989,0.0028517110266159697,0.27481713688610243,0.0014270557319909535
EX_gln-L(e),316.0047619047623,0.00019117352683203868,0.0028517110266159697,0.27560911710767616,0.00150487462275176
EX_glu-L(e),320.3714285714294,0.0003723524597562665,0.0019011406844106464,0.2789710952002121,0.001217233701257116
EX_gly(e),314.6547619047622,0.0001920501681036874,0.0038022813688212928,0.2746019316105455,0.0017299970700546546
EX_glyc(e),190.2726190476187,2.4710269422671582e-08,0.0009505703422053232,0.17248729299885227,0.0003718259769995787
EX_h(e),367.7595238095237,0.002927775259789,0.016159695817490494,0.31840193704600483,0.0028254964471556513
EX_h2o(e),302.76666666666694,3.7122641256963804e-05,0.0019011406844106464,0.26960533059969244,0.0011988717100571544
EX_h2o2(e),215.99484126983737,3.532918518935944e-07,0.0009505703422053232,0.19384558688041276,0.0005612491020496828
EX_hco3(e),228.6138888888838,1.3711209853651308e-06,0.0009505703422053232,0.20168711656441718,0.0006042623184209635
EX_ile-L(e),211.34841269840922,1.0604940700902379e-07,0.0009505703422053232,0.1910642934980022,0.0005434050521640373
EX_k(e),320.8714285714294,0.0003772174286916708,0.0028517110266159697,0.2790450928381963,0.001501465340521493
EX_lac-D(e),309.6547619047621,0.0001803944633536551,0.0009505703422053232,0.272680145152929,0.0007387421128584896
EX_lac-L(e),309.8214285714287,0.0001804976456974606,0.0009505703422053232,0.2727508426238009,0.0007387970497312065
EX_leu-L(e),211.34841269840922,1.0604941108705588e-07,0.0009505703422053232,0.1910642934980022,0.0005434050521344577
EX_lys-L(e),246.44880952380416,1.249448423111287e-05,0.0019011406844106464,0.2174901798635518,0.0010024701648492604
EX_na1(e),347.82619047619244,0.0006266132125021856,0.008555133079847909,0.30387059503177355,0.002415496532691151
EX_nh4(e),310.42142857142886,0.0001809776000502952,0.0009505703422053232,0.27324675324675324,0.0007388646103490046
EX_o2(e),233.9337301587251,4.600790765575108e-06,0.0009505703422053232,0.2061936495491964,0.0006555054040430471
EX_o2s(e),189.31825396825377,2.748200658419198e-08,0.0009505703422053232,0.17172706496898466,0.00042139535329526406
EX_orn(e),244.6321428571375,8.166037721376874e-06,0.0009505703422053232,0.21695194885543412,0.0005784004369447249
EX_pe_hs(e),296.0904761904755,0.0001893784780253915,0.0009505703422053232,0.2511339221771306,0.0007398002596511706
EX_pi(e),311.430952380953,4.193305922806839e-05,0.0019011406844106464,0.2791191297426373,0.0011999956480701808
EX_ppa(e),180.97857142857208,8.049671045795917e-09,0.0009505703422053232,0.16447779862414008,0.0003713062516602929
EX_pro-L(e),309.8214285714287,0.00018045886258356557,0.0009505703422053232,0.2727508426238009,0.000738793332357668
EX_ps_hs(e),296.0904761904755,0.0001893784780253915,0.0009505703422053232,0.2511339221771306,0.0007398002596511698
EX_pyr(e),310.2047619047621,0.00018056434001486083,0.0009505703422053232,0.2731048805815161,0.000738805866852673
