,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality,pagerank,information_centrality,global_reaching_centrality
0,r2141,EX_retnglc_e,r0399,r2141,r0399,GLCSGLT1le,r1095,EX_3aib_e,10FTHF5GLUtl
1,r2142,EX_bz_e,TYR3MO2,r2142,TYRDOPO,ASCBSVCTtc,r1112,EX_gd1c_hs_e,r2042
2,r2199,EX_txa2_e,TYRDOPO,r2199,TYR3MO2,GALSGLT1le,r1346,EX_gt1a_hs_e,r2040
3,FAOXC121C101m,EX_6htststerone_e,TRPHYDRO2,OXAHCOtex,MTHFD,BTNt3i,r1341,EX_gd1b2_hs_e,r2039
4,FAOXTC142TC122m,EX_ebastine_e,r1616,r2140,MTHFD2,BTNt3ile,r1113,EX_gq1b_hs_e,r2038
5,FAOXC142C122m,EX_ebastineoh_e,TRPO2,r2144,TRPHYDRO2,PNTOt5le,r1099,EX_gp1calpha_hs_e,r2037
6,FAOXC81C61m,EX_xoltri24_e,MTHFD,r2145,TRPO2,PNTOt5,r1100,EX_gp1c_hs_e,r2036
7,r1012,EX_xoltri25_e,r1615,r2311,r0403,NaKt,r1093,EX_acngalacglcgal14acglcgalgluside_hs_e,r2035
8,r1014,EX_dca_e,r1614,r2161,PHETA1,LIPOti,r1092,EX_acn13acngalgbside_hs_e,r2034
9,r0813,EX_hestratriol_e,LYSOXp,r2160,CYSO,CBPS,r1094,EX_acnacngal14acglcgalgluside_hs_e,r2032
10,r0924,EX_25hvitd2_e,GLYOp,r2162,FATP5t,NAHCO3_HCLt,r1101,EX_acn23acngalgbside_hs_e,r2031
11,OXAHCOtex,EX_4mptnl_e,r0946,TCHOLAt,PHYCBOXL,H2CO3D,r1102,EX_acnacngalgbside_hs_e,r2030
12,r2140,EX_crtstrn_e,r0403,r2201,r2370,PIt2m,r1103,EX_fucgal14acglcgalgluside_hs_e,r2029
13,r2311,EX_vitd2_e,LYStip,r2163,ASCBt4,ASNS1,r1104,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,r2028
14,r2144,EX_2425dhvitd2_e,FATP5t,r2164,r1618,NAt3_1g,r1105,EX_fucfuc12gal14acglcgalgluside_hs_e,r2027
15,r2145,EX_aldstrn_e,r1617,r2165,TYRPHELAT2tc,r1294,r1339,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,r2026
16,r2201,EX_3aib_e,SARCOXp,r0941,THBPT4ACAMDASE,r1402,r1098,EX_fucacgalfucgalacglcgalgluside_hs_e,r2024
17,r0941,DM_mem2emgacpail_prot_hs_r,r2370,PROSTGI2tr,GHMT3,r1101,r1344,EX_fucgalgbside_hs_e,r2023
18,GLCSGLT1le,RETNGLCt,ASCBt4,r2232,r1616,r1092,r1345,EX_fucgalfucgalacglcgalgluside_hs_e,r2022
19,r2160,DM_gpi_sig_er,PHETA1,r2231,r1386,r1102,r1333,EX_fuc13galacglcgal14acglcgalgluside_hs_e,r2021
