,harmonic_centrality,eigenvector_centrality,degree_centrality,closeness_centrality,information_centrality
DM_10fthf5glu,223.1559523809489,7.3913530256090025e-06,0.0009478672985781991,0.18916980455441995,0.0005328399246251687
DM_10fthf6glu,223.20595238094887,7.390958803808758e-06,0.0009478672985781991,0.18920373027259685,0.0005328409646084123
DM_10fthf7glu,222.90595238094892,3.695394455810853e-06,0.0009478672985781991,0.18910198960387167,0.00041570193646616355
DM_5thf,223.72976190475833,7.4088945326477206e-06,0.0009478672985781991,0.18950961020298185,0.0005328492542819211
DM_6dhf,223.07261904761558,7.390619014126346e-06,0.0009478672985781991,0.18913589100035855,0.0005328383438483181
DM_6thf,223.20595238094887,7.3909596102117945e-06,0.0009478672985781991,0.18920373027259685,0.0005328409679079026
DM_7dhf,222.90595238094892,3.6953944401910533e-06,0.0009478672985781991,0.18910198960387167,0.00041570193143507754
DM_7thf,222.90595238094892,3.695394455847922e-06,0.0009478672985781991,0.18910198960387167,0.00041570193647677073
DM_ahcys,219.3749999999967,1.3614790938248336e-05,0.0009478672985781991,0.1872891887093911,0.0006202167275573658
DM_atp(c),445.1523809523771,0.027253934366574143,0.10995260663507109,0.335133418043202,0.003303178674411358
DM_fald,211.4607142857116,1.802484512757046e-06,0.0009478672985781991,0.18281060474787733,0.00041467487492882245
DM_for,208.40357142856905,9.994837005535795e-07,0.0009478672985781991,0.18124033671190518,0.0004140341075794194
DM_pheme(c),217.6416666666635,3.4075127521181464e-06,0.0009478672985781991,0.18652758132956151,0.00041534227177780916
DM_q10(m),321.97142857142944,0.0016983533763524647,0.0037914691943127963,0.26427855711422843,0.0017452322143112608
DM_thf(c),230.50238095237702,1.115788494611046e-05,0.0009478672985781991,0.19304666056724612,0.0006650639183282293
EX_3aib(e),177.6436507936511,3.9410559435724245e-09,0.0009478672985781991,0.16151255358236374,0.0003689866192005194
EX_4abut(e),310.6047619047621,0.0001765422726803948,0.0009478672985781991,0.27268027914189713,0.0007360640400956591
EX_ac(e),310.43809523809546,0.00017652210348869293,0.0009478672985781991,0.27260981912144705,0.0007360174193731013
EX_acac(e),310.68809523809546,0.0001767288226196819,0.0009478672985781991,0.2727507755946225,0.0007360780631749728
EX_acald(e),229.0305555555504,6.20668923273568e-06,0.0009478672985781991,0.20152817574021012,0.0006639473081562137
EX_ala-B(e),297.04047619047554,0.00018545994276272822,0.0009478672985781991,0.2511904761904762,0.0007371058497787734
EX_arg-L(e),247.2321428571375,1.2296443588880113e-05,0.0018957345971563982,0.21757063312023098,0.0009984729024944171
EX_asn-L(e),260.82261904761634,8.225008437817678e-06,0.0009478672985781991,0.23444444444444446,0.0007052094906356505
EX_bhb(e),310.43809523809546,0.00017652210348869293,0.0009478672985781991,0.27260981912144705,0.000736017419373103
EX_btn(e),310.93809523809546,0.0003530604366737763,0.0018957345971563982,0.27268027914189713,0.0012103989061739912
EX_co2(e),233.23888888888385,2.961963606990231e-06,0.0009478672985781991,0.20533281432463993,0.0006350954841976194
EX_crn(e),171.27222222222184,1.1423903677434641e-08,0.0009478672985781991,0.15526122148638705,0.000461773538327352
EX_cyan(e),189.04563492063482,2.3273398580719804e-08,0.0009478672985781991,0.17104409857328146,0.0003705322377141571
EX_cys-L(e),253.33095238094762,1.4408249998034855e-05,0.0037914691943127963,0.22384892849565033,0.0016653603471265567
EX_etoh(e),228.26388888888377,3.6600523410811662e-06,0.0009478672985781991,0.20122067518596223,0.0006141870576148683
EX_fe2(e),288.2976190476176,4.338635429498842e-06,0.0018957345971563982,0.26152702032721864,0.0008020521106942498
EX_glc(e),314.071428571429,0.00018257362759037076,0.002843601895734597,0.2747395833333333,0.001420667501334902
EX_gln-L(e),316.7880952380956,0.0001869806791263213,0.002843601895734597,0.2755288587098459,0.0014980066139235434
EX_glu-L(e),321.1547619047627,0.00036443459712050274,0.0018957345971563982,0.2788791964049696,0.0012120808207282175
EX_gly(e),315.43809523809557,0.0001878432311830268,0.0037914691943127963,0.27452511059068435,0.0017216573432444308
EX_glyc(e),190.8892857142853,2.4299742701033038e-08,0.0009478672985781991,0.17255479228001308,0.0003706096810817577
EX_h(e),368.54285714285703,0.002860488309496359,0.016113744075829384,0.31815440289505426,0.0028083706670811556
EX_h2o(e),303.3833333333336,3.541957831215293e-05,0.0018957345971563982,0.26933877967832526,0.0011938123268619293
EX_h2o2(e),216.61150793650398,3.4231411767141676e-07,0.0009478672985781991,0.1938625505328923,0.0005592910758166291
EX_hco3(e),229.23055555555044,1.3335967965086844e-06,0.0009478672985781991,0.20168227872299752,0.0006021258204581563
EX_ile-L(e),211.96507936507584,1.0352273590596156e-07,0.0009478672985781991,0.19108857091106685,0.0005415286623211974
EX_k(e),321.6547619047628,0.00036915067939915716,0.002843601895734597,0.27895293495505025,0.0014946220485142542
EX_lac-D(e),310.43809523809546,0.00017652210348869293,0.0009478672985781991,0.27260981912144705,0.0007360174193731027
EX_lac-L(e),310.6047619047621,0.0001766229139188105,0.0009478672985781991,0.27268027914189713,0.0007360721056284217
EX_leu-L(e),211.96507936507584,1.0352273987661604e-07,0.0009478672985781991,0.19108857091106685,0.0005415286622906377
EX_lys-L(e),247.2321428571375,1.2308869547293427e-05,0.0018957345971563982,0.21757063312023098,0.0009984758778577103
EX_na1(e),348.60952380952574,0.0006120971195891968,0.008530805687203791,0.3036845135290731,0.0024019651104369624
EX_nh4(e),311.20476190476217,0.00017708632761083515,0.0009478672985781991,0.2731745209735888,0.0007361393557893576
EX_o2(e),234.55039682539174,4.475393237122977e-06,0.0009478672985781991,0.20617549345319522,0.000653149225539906
EX_o2s(e),189.9349206349204,2.6964899240663022e-08,0.0009478672985781991,0.17179612440970526,0.0004199923989319062
EX_orn(e),245.41547619047083,8.04622079907454e-06,0.0009478672985781991,0.2170335321950216,0.0005763753330890013
EX_pe_hs(e),296.87380952380886,0.00018541318182657777,0.0009478672985781991,0.25113068317067366,0.0007370708917385253
EX_pi(e),312.2142857142863,4.030359607166763e-05,0.0018957345971563982,0.279026712509918,0.0011949325686446714
EX_ppa(e),181.59523809523876,8.058343734559648e-09,0.0009478672985781991,0.16456091093433162,0.0003701004919553996
EX_pro-L(e),310.6047619047621,0.000176585074372523,0.0009478672985781991,0.27268027914189713,0.0007360684012395651
EX_ps_hs(e),296.87380952380886,0.00018541318182657777,0.0009478672985781991,0.25113068317067366,0.0007370708917385246
EX_pyr(e),310.98809523809547,0.00017668740662714067,0.0009478672985781991,0.27303312629399584,0.0007360808716140437
EX_sarcs(e),175.98737373737472,1.4029425044759882e-08,0.0009478672985781991,0.15539843865075859,0.00038660949962936885
EX_ser-L(e),267.39523809523655,1.6078799887288615e-05,0.002843601895734597,0.2379341452413171,0.001480925061025738
EX_so4(e),229.23055555555044,1.3335967965086844e-06,0.0009478672985781991,0.20168227872299752,0.0006021258204581563
EX_tcynt(e),189.04563492063482,2.3273398580719804e-08,0.0009478672985781991,0.17104409857328146,0.00037053223771415703
EX_urea(e),182.04126984127046,1.2138789837934547e-08,0.0009478672985781991,0.16489527977492965,0.00037008460795022046
EX_val-L(e),211.96507936507584,1.0352273585561956e-07,0.0009478672985781991,0.19108857091106685,0.0005415286623218385
