,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality,pagerank,information_centrality,global_reaching_centrality
0,r1294,EX_txa2_e,DASCBR,VALt5m,DASCBR,GLCSGLT1le,r1112,EX_3aib_e,10FTHF5GLUtl
1,r1402,EX_retnglc_e,O2Stx,ILEt5m,SPODM,ASCBSVCTtc,r1095,EX_retnglc_e,r2042
2,r1094,EX_bz_e,RE2860C,r1440,RE2860C,GALSGLT1le,r1341,EX_bz_e,r2040
3,r1103,EX_ebastineoh_e,RE3454C,RE0937E,RE3454C,BTNt3i,r1346,EX_ebastineoh_e,r2039
4,r1092,EX_ebastine_e,SPODM,RE0936E,RE2899C,BTNt3ile,r1113,EX_ebastine_e,r2038
5,r1105,EX_xoltri24_e,RE2869C,G6PPer,O2Stm,PNTOt5,r1099,EX_dca_e,r2037
6,r1093,EX_xoltri25_e,RE2871C,KSItly,RE2873C,PNTOt5le,r1100,EX_xoltri25_e,r2036
7,r1101,EX_dca_e,RE2872C,S2L2FN2M2MASNtly,RE2869C,NaKt,r1103,EX_xoltri24_e,r2035
8,r1104,EX_6htststerone_e,RE2868C,SBPP1er,RE2868C,LIPOti,r1104,EX_6htststerone_e,r2034
9,r1102,EX_hestratriol_e,RE2873C,SBPP3er,RE2870C,CBPS,r1105,EX_hestratriol_e,r2032
10,r1095,EX_acmana_e,RE2870C,RE1448R,RE2871C,NAHCO3_HCLt,r1094,EX_vitd2_e,r2031
11,r1112,TXA2te,RE2878C,RE3268R,RE2872C,H2CO3D,r1101,EX_aldstrn_e,r2030
12,r1293,EX_25hvitd2_e,RE2880C,RE2051R,DASCBH,PIt2m,r1102,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,r2029
13,r1096,EX_4mptnl_e,RE3450C,DOLPGT3_Uer,RE2898C,ASNS1,r1093,EX_fucgalgbside_hs_e,r2028
14,r1113,EX_crtstrn_e,RE2866C,DOLPGT3_Ler,RE3450C,NAt3_1g,r1092,EX_fucgalfucgalacglcgalgluside_hs_e,r2027
15,r1099,EX_vitd2_e,RE2874C,r1661,RE2866C,r1294,r1339,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,r2026
16,r1403,EX_2425dhvitd2_e,RE2867C,NTD7e,RE3456C,r1402,r1098,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,r2024
17,r1335,EX_aldstrn_e,RE3456C,NTD4e,RE2867C,r1092,r1344,EX_fucfucgalacglcgalgluside_hs_e,r2023
18,r1337,EX_3aib_e,RE2898C,NTD2e,RE2874C,r1102,r1345,EX_fuc13galacglcgal14acglcgalgluside_hs_e,r2022
19,r1348,DM_mem2emgacpail_prot_hs_r,O2Stm,NTD9e,RE2878C,r1093,r1333,EX_fucacgalfucgalacglcgalgluside_hs_e,r2021
