,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality,pagerank,information_centrality,global_reaching_centrality
0,RE1836C,EX_txa2_e,HPYRDCm,RE1836C,HPYRDCm,GLCSGLT1le,r1112,EX_gd1c_hs_e,10FTHF5GLUtl
1,RE3245C,EX_retnglc_e,ARGDCm,RE3245C,ARGDCm,ASCBSVCTtc,r1095,EX_gq1b_hs_e,r2042
2,RE3239C,EX_bz_e,r0614,RE3239C,r0614,GALSGLT1le,r1341,EX_gp1c_hs_e,r2040
3,RE3237C,EX_ebastineoh_e,r0386,RE3237C,EHGLAT2m,BTNt3ile,r1346,EX_gt1a_hs_e,r2039
4,RE3343C,EX_ebastine_e,r0670,RE3339C,r1109,BTNt3i,r1113,EX_gp1calpha_hs_e,r2038
5,RE3339C,EX_xoltri24_e,r0385,RE3343C,r0386,PNTOt5le,r1099,EX_gd1b2_hs_e,r2037
6,r0470,EX_xoltri25_e,r0451,r0470,r0670,PNTOt5,r1100,EX_acn13acngalgbside_hs_e,r2036
7,H2Oter,EX_dca_e,r1109,H2Oter,r0385,NaKt,r1101,EX_acngalacglcgal14acglcgalgluside_hs_e,r2035
8,H2Otly,EX_6htststerone_e,PSDm_hs,H2Otg,NDPK1m,LIPOti,r1102,EX_acnacngal14acglcgalgluside_hs_e,r2034
9,H2Otp,EX_hestratriol_e,r2394,H2Otp,r0451,CBPS,r1103,EX_acn23acngalgbside_hs_e,r2032
10,RNDR1,EX_acmana_e,EHGLAT2m,CLOHtex2,r1010,NAHCO3_HCLt,r1104,EX_acnacngalgbside_hs_e,r2031
11,CLOHtex2,TXA2te,r0517,RNDR1,ASPTAm,H2CO3D,r1105,EX_fucgalgbside_hs_e,r2030
12,THFt2,DM_mem2emgacpail_prot_hs_r,r2393,THFt2,r2394,PIt2m,r1094,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,r2029
13,FOLt2,DM_gpi_sig_er,NDPK1m,FOLt2,r0517,ASNS1,r1093,EX_fucgal14acglcgalgluside_hs_e,r2028
14,5MTHFt2,sink_pre_prot_r,r0383,5MTHFt2,MCDm,NAt3_1g,r1092,EX_fucgalfucgalacglcgalgluside_hs_e,r2027
15,UREAt5,BZt,ADCim,UREAt5,r2393,r1294,r1339,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,r2026
16,r0403,RETNGLCt,MCDm,5FTHFt2,r0383,r1402,r1098,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,r2024
17,GHMT2r,EBASTINEte,GLUTCOADHm,THMTPt,GLUTCOADHm,r1104,r1344,EX_fucfucgalacglcgalgluside_hs_e,r2023
18,THMTPt,EBASTINEOHte,GCCam,THMMPt4,ADCim,r1105,r1345,EX_fucfuc12gal14acglcgalgluside_hs_e,r2022
19,5FTHFt2,XOLTRI25te,ASPTAm,H2Ot,GCCam,r1103,r1333,EX_fucacgalfucgalacglcgalgluside_hs_e,r2021
