,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality,pagerank,information_centrality,global_reaching_centrality
0,FAOXC121C101m,EX_retnglc_e,GGT_L,FAOXC121C101m,GGT_U,GLCSGLT1le,r1095,EX_3aib_e,10FTHF5GLUtl
1,FAOXC81C61m,EX_txa2_e,GGT_U,FAOXTC142TC122m,GGT_L,ASCBSVCTtc,r1112,EX_acngalacglcgal14acglcgalgluside_hs_e,r2041
2,FAOXC142C122m,EX_bz_e,DPMVDx,FAOXC81C61m,DPMVDx,GALSGLT1le,r1341,EX_acnacngal14acglcgalgluside_hs_e,r2039
3,FAOXTC142TC122m,EX_ebastine_e,DMATT,FAOXC142C122m,DMATT,BTNt3i,r1346,EX_gq1b_hs_e,r2038
4,RE1836M,EX_ebastineoh_e,GRTT,RE1836M,RE3488R,BTNt3ile,r1113,EX_acn23acngalgbside_hs_e,r2037
5,RE2454M,EX_xoltri25_e,FT,KSIt,5HTRPDOX,PNTOt5le,r1099,EX_gd1c_hs_e,r2036
6,RE3339M,EX_xoltri24_e,FRTT,S2L2FN2M2MASNt,FRTT,PNTOt5,r1100,EX_acn13acngalgbside_hs_e,r2035
7,RE3343M,EX_6htststerone_e,PItx,RE2269E,GRTT,NaKt,r1093,EX_gd1b2_hs_e,r2034
8,RE2269E,EX_dca_e,DPPS,RE2273E,FT,LIPOti,r1092,EX_acnacngalgbside_hs_e,r2032
9,FAOXC182C182OHm,EX_hestratriol_e,RE3372C,RE0938E,r1010,CBPS,r1094,EX_gp1calpha_hs_e,r2031
10,GLUNm,EX_25hvitd2_e,PPCDC,RE2454M,RE3488C,NAHCO3_HCLt,r1101,EX_gt1a_hs_e,r2030
11,ARGNm,EX_crtstrn_e,DMATTx,RE3339M,RE2677N,H2CO3D,r1102,EX_gp1c_hs_e,r2029
12,RE0938E,EX_4mptnl_e,CO2tn,RE3343M,RE3485C,PIt2m,r1103,EX_fucacgalfucgalacglcgalgluside_hs_e,r2028
13,RE2273E,EX_vitd2_e,PEPCK,L_LACtcm,PItx,ASNS1,r1105,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,r2027
14,PGSr,EX_2425dhvitd2_e,AIRCr,RE0828E,DPPS,NAt3_1g,r1104,EX_fucgalgbside_hs_e,r2026
15,NAHCO3_HCLt,EX_aldstrn_e,DGULND,RE0689E,RE3372C,r1294,r1339,EX_fucfuc12gal14acglcgalgluside_hs_e,r2024
16,BTNDm,DM_mem2emgacpail_prot_hs_r,RE1921C,r0281,PPCDC,r1402,r1098,EX_fucgal14acglcgalgluside_hs_e,r2023
17,P4504F81r,RETNGLCt,UPPDC1,RE0688E,FBA4,r1101,r1344,EX_fucgalfucgalacglcgalgluside_hs_e,r2022
18,P4504F121r,EX_acmana_e,5HXKYNDCL,RE0690E,CO2tn,r1103,r1345,EX_fuc13galacglcgal14acglcgalgluside_hs_e,r2021
19,P4504B1r,sink_pre_prot_r,PCLAD,RE3367E,DOGULND2,r1104,r1333,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,r2020
