,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality,pagerank,information_centrality,global_reaching_centrality
0,NAHCO3_HCLt,EX_retnglc_e,NACHEX11ly,NAHCO3_HCLt,NACHEX26ly,GLCSGLT1le,r1112,EX_3aib_e,10FTHF5GLUtl
1,NAt3_1g,EX_bz_e,NACHEX22ly,NAt3_1g,NACHEX16ly,ASCBSVCTtc,r1095,EX_gq1b_hs_e,r2042
2,PIt2m,EX_6htststerone_e,NACHEX12ly,GLUt6,GLCNACASE5ly,GALSGLT1le,r1341,EX_gt1a_hs_e,r2040
3,GLUt6,EX_ebastine_e,ENGASE3ly,PIt2m,AHEXASE2ly,BTNt3i,r1346,EX_gd1c_hs_e,r2039
4,GLYSNAT5tc,EX_ebastineoh_e,NACHEX13ly,GLYSNAT5tc,NACHEX10ly,BTNt3ile,r1113,EX_gp1calpha_hs_e,r2038
5,SERtN1,EX_xoltri24_e,NACHEX10ly,SERtN1,NACHEX11ly,PNTOt5,r1099,EX_acngalacglcgal14acglcgalgluside_hs_e,r2037
6,ALAtN1,EX_xoltri25_e,NACHEX14ly,ALAtN1,NACHEX12ly,PNTOt5le,r1100,EX_gd1b2_hs_e,r2036
7,GLNtN1,EX_hestratriol_e,NACHEX15ly,GLNtN1,NACHEX13ly,NaKt,r1105,EX_acn23acngalgbside_hs_e,r2035
8,r2395,EX_dca_e,NACHEX16ly,ASNtN1,NACHEX14ly,LIPOti,r1101,EX_acnacngal14acglcgalgluside_hs_e,r2034
9,r2399,EX_txa2_e,NACHEX17ly,HISSNAT5tc,NACHEX15ly,CBPS,r1102,EX_acn13acngalgbside_hs_e,r2032
10,r2397,EX_25hvitd2_e,NACHEX18ly,HIStN1,NACHEX17ly,NAHCO3_HCLt,r1103,EX_gp1c_hs_e,r2031
11,r2406,EX_crtstrn_e,NACHEX19ly,CYSSNAT5tc,ENGASE2ly,H2CO3D,r1104,EX_acnacngalgbside_hs_e,r2030
12,ASNtN1,EX_vitd2_e,NACHEX20ly,ASPt6,NACHEX18ly,PIt2m,r1094,EX_fucfuc12gal14acglcgalgluside_hs_e,r2029
13,r2403,EX_2425dhvitd2_e,NACHEX21ly,r2399,NACHEX19ly,ASNS1,r1093,EX_fucgal14acglcgalgluside_hs_e,r2028
14,r2396,EX_aldstrn_e,NACHEX23ly,r2395,NACHEX20ly,NAt3_1g,r1092,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,r2027
15,CYSSNAT5tc,EX_4mptnl_e,AHEXASE2ly,r2397,NACHEX21ly,r1294,r1339,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,r2026
16,HIStN1,EX_3aib_e,NACHEX24ly,r2406,NACHEX22ly,r1402,r1098,EX_fucacgalfucgalacglcgalgluside_hs_e,r2024
17,HISSNAT5tc,DM_mem2emgacpail_prot_hs_r,NACHEX26ly,r2403,NACHEX23ly,r1101,r1344,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,r2023
18,r2401,RETNGLCt,NACHEX27ly,r2396,NACHEX24ly,r1102,r1345,EX_fuc13galacglcgal14acglcgalgluside_hs_e,r2022
19,r2407,EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_e,AHEXASEly,r2398,NACHEX27ly,r1094,r1333,EX_fucgalgbside_hs_e,r2021
