,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality,pagerank,information_centrality,global_reaching_centrality
0,RE0937E,EX_txa2_e,RE3160C,RE0937E,RE3160C,GLCSGLT1le,r1095,EX_3aib_e,10FTHF5GLUtl
1,RE0936E,EX_retnglc_e,RE3146C,RE0936E,RE3146C,ASCBSVCTtc,r1112,EX_vitd2_e,r2042
2,NTD7e,EX_bz_e,RE3562C,KSItly,RE3345C,GALSGLT1le,r1346,EX_aldstrn_e,r2040
3,NTD4e,EX_ebastine_e,RE2635C,S2L2FN2M2MASNtly,RE2635C,BTNt3ile,r1341,EX_fucgal14acglcgalgluside_hs_e,r2039
4,NTD2e,EX_ebastineoh_e,RE3335C,NTD7e,RE3079C,BTNt3i,r1113,EX_fucfuc12gal14acglcgalgluside_hs_e,r2038
5,NTD9e,EX_xoltri25_e,RE3079C,NTD4e,RE3562C,PNTOt5le,r1099,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,r2037
6,LAPCOAe,EX_xoltri24_e,RE3075C,NTD2e,RE3075C,PNTOt5,r1100,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,r2036
7,r0587,EX_dca_e,RE3345C,LAPCOAe,RE3335C,NaKt,r1093,EX_fucgalfucgalacglcgalgluside_hs_e,r2035
8,PAN4PPe,EX_6htststerone_e,RE3132C,NTD9e,RE3132C,LIPOti,r1092,EX_fucacgalfucgalacglcgalgluside_hs_e,r2034
9,r0242,EX_hestratriol_e,r0068,r0587,RE3120C,CBPS,r1094,EX_fuc13galacglcgal14acglcgalgluside_hs_e,r2032
10,KSItly,EX_acmana_e,RE3120C,PAN4PPe,RE3124C,NAHCO3_HCLt,r1103,EX_fucgalgbside_hs_e,r2031
11,S2L2FN2M2MASNtly,TXA2te,RE3226C,r0242,RE3226C,H2CO3D,r1101,EX_fucfucgalacglcgalgluside_hs_e,r2030
12,r1175,EX_25hvitd2_e,RE3174C,EX_CE4722_e,RE3148C,PIt2m,r1102,EX_fucacngalacglcgalgluside_hs_e,r2029
13,FUCASEe,EX_4mptnl_e,RE3170C,EX_CE4723_e,RE3174C,ASNS1,r1105,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,r2028
14,FUCASE2e,EX_crtstrn_e,RE3124C,EX_CE2916_e,RE3170C,NAt3_1g,r1104,EX_fuc14galacglcgalgluside_hs_e,r2027
15,RE0702E,EX_vitd2_e,RE3148C,EX_CE2915_e,ADNCYC,r1294,r1098,EX_fucacngal14acglcgalgluside_hs_e,r2026
16,S2L2N2M2MASNtly,EX_2425dhvitd2_e,RE1240C,S2L2N2M2MASNtly,r0068,r1402,r1339,EX_acnacngal14acglcgalgluside_hs_e,r2024
17,GAMYe,EX_aldstrn_e,RE3629C,EX_ksi_e,RE1240C,r1102,r1344,EX_acn13acngalgbside_hs_e,r2023
18,r1374,EX_3aib_e,ADNCYC,EX_s2l2fn2m2masn_e,RE3629C,r1101,r1345,EX_acn23acngalgbside_hs_e,r2022
19,RE2445E,DM_mem2emgacpail_prot_hs_r,G16MT_L,EX_HC01104_e,MCOATA,r1092,r1333,EX_acngalacglcgal14acglcgalgluside_hs_e,r2021
