,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality,pagerank,information_centrality,global_reaching_centrality
0,PPCOACm,EX_retnglc_e,NMPTRCOX,PPCOACm,NMPTRCOX,GLCSGLT1le,r1095,EX_3aib_e,10FTHF5GLUtl
1,AKGDm,EX_bz_e,3HXKYNOXDA,ACCOACm,5HXKYNOXDA,ASCBSVCTtc,r1112,EX_acn23acngalgbside_hs_e,r2042
2,ACCOACm,EX_25hvitd2_e,5HXKYNOXDA,AKGDm,3HXKYNOXDA,GALSGLT1le,r1341,EX_acnacngal14acglcgalgluside_hs_e,r2040
3,ACCOALm,EX_crtstrn_e,RE1311C,PCm,HMBS,BTNt3ile,r1346,EX_acngalacglcgal14acglcgalgluside_hs_e,r2039
4,FACOAL40im,EX_4mptnl_e,RE1310C,RE2453M,RE3633C,BTNt3i,r1113,EX_gd1c_hs_e,r2038
5,ACSm,EX_vitd2_e,HMBS,MCCCrm,RE1310C,PNTOt5le,r1099,EX_acn13acngalgbside_hs_e,r2037
6,r0033,EX_2425dhvitd2_e,RE3633C,ACCOALm,RE1311C,PNTOt5,r1100,EX_gq1b_hs_e,r2036
7,r0321,EX_aldstrn_e,RE2377C,FACOAL40im,RE2377C,NaKt,r1092,EX_acnacngalgbside_hs_e,r2035
8,RE1514M,EX_3aib_e,RE2375C,ACSm,RE2375C,LIPOti,r1094,EX_gp1calpha_hs_e,r2034
9,RE2912M,EX_6htststerone_e,SELCYSTGL,r0321,RE0690C,CBPS,r1093,EX_gt1a_hs_e,r2032
10,RE3562M,EX_ebastineoh_e,RE0690C,RE1514M,RE0827C,NAHCO3_HCLt,r1102,EX_gd1b2_hs_e,r2031
11,RE3335M,EX_ebastine_e,RE0827C,RE2912M,RE3367C,H2CO3D,r1101,EX_gp1c_hs_e,r2030
12,RE3345M,EX_xoltri25_e,RE3367C,RE3345M,TRYPTAOX,PIt2m,r1105,EX_fucgalgbside_hs_e,r2029
13,COUCOAFm,EX_xoltri24_e,TRYPTAOX,RE3335M,3MOXTYROX,ASNS1,r1103,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,r2028
14,RE3446M,EX_hestratriol_e,APRTO2,COUCOAFm,MAOLNOR,NAt3_1g,r1104,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,r2027
15,PCm,EX_dca_e,3MOXTYROX,RE3562M,MHISOR,r1294,r1339,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,r2026
16,RE2453M,EX_txa2_e,MAOLNOR,RE3446M,APRTO2,r1402,r1098,EX_fucacgalfucgalacglcgalgluside_hs_e,r2024
17,MCCCrm,EX_galacglcgalgbside_hs_e,MHISOR,ARTFR213,TYROXDAc,r1105,r1344,EX_fucfuc12gal14acglcgalgluside_hs_e,r2023
18,ACGSm,EX_galgalgalthcrm_hs_e,TYROXDAc,r0033,SELCYSTGL,r1102,r1345,EX_fucgal14acglcgalgluside_hs_e,r2022
19,ALASm,EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_e,r2137,ARTFR54,r0010,r1104,r1333,EX_fuc14galacglcgalgluside_hs_e,r2021
