,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality,pagerank,information_centrality,global_reaching_centrality
0,HKt,EX_txa2_e,GLNS,HKt,SERGLNexR,GLCSGLT1le,r1112,GLCSGLT1le,10FTHF5GLUtl
1,CAATPS,EX_retnglc_e,GLUPRT,CAATPS,r1544,ASCBSVCTtc,r1095,ASCBSVCTtc,r2043
2,METAT,EX_bz_e,r1436,METAT,r0157,GALSGLT1le,r1341,GALSGLT1le,r2041
3,ATPasel,EX_ebastine_e,ASNtm,ATPasel,GLUPRT,BTNt3i,r1346,BTNt3i,r2040
4,r1382,EX_ebastineoh_e,PRFGS,r1382,GLNS,BTNt3ile,r1113,BTNt3ile,r2039
5,SELMETAT,EX_xoltri25_e,CHOLtn,SELMETAT,PRFGS,PNTOt5le,r1099,PNTOt5,r2038
6,r1319,EX_xoltri24_e,r1437,r1319,SERDGLYexR,PNTOt5,r1100,PNTOt5le,r2037
7,THMPPtm,EX_dca_e,SERDGLYexR,THMPPtm,r1436,NaKt,r1104,NaKt,r2036
8,THMMPtm,EX_6htststerone_e,CRNtuNa,H2Otm,CRNtuNa,LIPOti,r1094,LIPOti,r2035
9,H2Otm,EX_hestratriol_e,GMPS2,THMMPtm,ASNtm,CBPS,r1105,CBPS,r2034
10,G6PPer,EX_acmana_e,NADS2,G6PPer,r1437,NAHCO3_HCLt,r1102,NAHCO3_HCLt,r2032
11,RE1448R,TXA2te,RE3160C,SBPP1er,ALADGLYexR,H2CO3D,r1101,r1294,r2031
12,SBPP1er,EX_25hvitd2_e,RE3146C,SBPP3er,ACGAM6PSi,PIt2m,r1103,r1402,r2030
13,SBPP3er,EX_4mptnl_e,UNK2,RE1448R,SERPT,ASNS1,r1093,r1092,r2029
14,RE3268R,EX_crtstrn_e,CTPS2,RE3268R,r1595,NAt3_1g,r1092,r1093,r2028
15,RE2051R,EX_vitd2_e,RE3146R,RE2051R,NADS2,r1294,r1339,r1094,r2027
16,DOLPGT3_Uer,EX_2425dhvitd2_e,RE3160R,DOLPGT3_Uer,r1556,r1402,r1098,r1105,r2026
17,DOLPGT3_Ler,EX_aldstrn_e,ACGAM6PSi,DOLPGT3_Ler,GMPS2,r1094,r1344,r1104,r2024
18,BPNT,EX_3aib_e,r1434,BPNT,RE2032M,r1101,r1345,r1102,r2023
19,r0470,DM_mem2emgacpail_prot_hs_r,RE2032M,NTD7e,SERGLNNaEx,r1093,r1333,r1101,r2022
