,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality,pagerank,information_centrality,global_reaching_centrality
0,RE1836C,EX_txa2_e,LCYSTATm,RE1836C,LCYSTATm,GLCSGLT1le,r1112,EX_gd1c_hs_e,10FTHF5GLUtl
1,RE3245C,EX_retnglc_e,r2539,RE3245C,3SALATAim,ASCBSVCTtc,r1095,EX_acn23acngalgbside_hs_e,r2042
2,RE3239C,EX_bz_e,PHETA1,RE3239C,PHETA1,GALSGLT1le,r1341,EX_acngalacglcgal14acglcgalgluside_hs_e,r2040
3,RE3237C,EX_ebastineoh_e,EHGLAT,RE3237C,HIBDm,BTNt3i,r1346,EX_gq1b_hs_e,r2039
4,RE3339C,EX_ebastine_e,PSERT,RE3339C,r0450,BTNt3ile,r1113,EX_acn13acngalgbside_hs_e,r2038
5,RE3343C,EX_xoltri25_e,3HKYNAKGAT,RE3343C,SLDxm,PNTOt5,r1099,EX_gd1b2_hs_e,r2037
6,r0470,EX_xoltri24_e,KYNAKGAT,r0470,r0365,PNTOt5le,r1100,EX_acnacngal14acglcgalgluside_hs_e,r2036
7,H2Oter,EX_dca_e,3SALAASPm,H2Oter,34HPLFM,NaKt,r1105,EX_gp1calpha_hs_e,r2035
8,H2Otly,EX_6htststerone_e,r0451,CYSLYSL,r2539,LIPOti,r1103,EX_gt1a_hs_e,r2034
9,H2Otp,EX_hestratriol_e,HIBDm,2AMACHYD,EHGLAT,CBPS,r1102,EX_acnacngalgbside_hs_e,r2032
10,RNDR1,EX_acmana_e,LCYSTAT,3SPYRSP,PSERT,NAHCO3_HCLt,r1104,EX_gp1c_hs_e,r2031
11,CLOHtex2,TXA2te,SLDxm,RE1919C,r0451,H2CO3D,r1101,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,r2030
12,ARGN,DM_mem2emgacpail_prot_hs_r,r0365,H2Otg,r0643,PIt2m,r1093,EX_fucgalgbside_hs_e,r2029
13,CYSTGL,RETNGLCt,3SALATAi,RE2642C,3HKYNAKGAT,ASNS1,r1094,EX_fucfucgalacglcgalgluside_hs_e,r2028
14,RE2642C,sink_pre_prot_r,AATAi,CYSTGL,KYNAKGAT,NAt3_1g,r1092,EX_fucfuc12gal14acglcgalgluside_hs_e,r2027
15,CYSLYSL,DM_gpi_sig_er,AASAD3m,ARGN,GLU5SAtmc,r1294,r1339,EX_fucacgalfucgalacglcgalgluside_hs_e,r2026
16,2AMACHYD,BZt,GCCbim,RE2640C,AATAi,r1402,r1098,EX_fucgalfucgalacglcgalgluside_hs_e,r2024
17,THFt2,EBASTINEOHte,34HPLFM,RE2644C,RE1447M,r1105,r1344,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,r2023
18,RE2640C,EBASTINEte,r0423,H2Otp,AASAD3m,r1092,r1345,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,r2022
19,FOLt2,XOLTRI25te,r0425,ACODA,P5CRm,r1094,r1335,EX_fucacngalacglcgalgluside_hs_e,r2021
