,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality,pagerank,information_centrality,global_reaching_centrality
0,r1912,EX_retnglc_e,PROAKGOX1r,r1912,RE1266C,GLCSGLT1le,r1112,EX_3aib_e,10FTHF5GLUtl
1,r1917,EX_txa2_e,RE1266C,r1917,5HTRPDOX,ASCBSVCTtc,r1095,EX_gd1c_hs_e,r2042
2,r1962,EX_bz_e,r2393,r1962,PROAKGOX1r,GALSGLT1le,r1341,EX_gq1b_hs_e,r2040
3,r1922,EX_6htststerone_e,34HPPOR,L_LACt4r,34HPPOR,BTNt3i,r1346,EX_acn13acngalgbside_hs_e,r2039
4,r1957,EX_ebastine_e,PCLYSOX,r1922,PCLYSOX,BTNt3ile,r1113,EX_acngalacglcgal14acglcgalgluside_hs_e,r2038
5,r1932,EX_ebastineoh_e,PPPG9tm,r1957,RE2601C,PNTOt5le,r1099,EX_acnacngal14acglcgalgluside_hs_e,r2037
6,r1987,EX_xoltri25_e,PHYHx,r1932,RE3038C,PNTOt5,r1100,EX_gt1a_hs_e,r2036
7,r1967,EX_xoltri24_e,r2394,LYSATB0tc,RE3420C,NaKt,r1102,EX_gd1b2_hs_e,r2035
8,r1972,EX_dca_e,AKGtp,r1987,RE3040C,LIPOti,r1105,EX_gp1calpha_hs_e,r2034
9,r1977,EX_hestratriol_e,EHGLAT2m,r1972,AACTtm,CBPS,r1103,EX_acn23acngalgbside_hs_e,r2032
10,LYSATB0tc,EX_25hvitd2_e,r1148,r1967,TMLYSOX,NAHCO3_HCLt,r1104,EX_acnacngalgbside_hs_e,r2031
11,r1982,EX_4mptnl_e,RE3066X,r1977,RE2029C,H2CO3D,r1101,EX_gp1c_hs_e,r2030
12,L_LACt4r,EX_crtstrn_e,TMLYSOX,r1982,RE3476C,PIt2m,r1093,EX_fucfuc12gal14acglcgalgluside_hs_e,r2029
13,LYSt4,EX_vitd2_e,AACTtm,LYSt4,AKGtp,ASNS1,r1094,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,r2028
14,r1681,EX_2425dhvitd2_e,RE3242R,4HPRO_LTte,PPPG9tm,NAt3_1g,r1092,EX_fucgal14acglcgalgluside_hs_e,r2027
15,r1822,EX_aldstrn_e,RE3112R,CITt4_2,RE2027C,r1294,r1339,EX_fucacgalfucgalacglcgalgluside_hs_e,r2026
16,r1702,EX_3aib_e,RE3230R,r1090,RE2377C,r1402,r1098,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,r2024
17,r1673,DM_mem2emgacpail_prot_hs_r,RE3229R,CITt4_4,RE2375C,r1101,r1344,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,r2023
18,r1672,RETNGLCt,r2537,r1822,RE3263C,r1092,r1345,EX_fuc14galacglcgalgluside_hs_e,r2022
19,r1687,DM_gpi_sig_er,RE2029C,r1681,r2537,r1105,r1333,EX_fucgalfucgalacglcgalgluside_hs_e,r2021
