,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality,pagerank,information_centrality,global_reaching_centrality
0,GPAMm_hs,EX_retnglc_e,r1322,CRNtx,ALCD21_L,GLCSGLT1le,r1095,EX_3aib_e,10FTHF5GLUtl
1,SQLSr,EX_txa2_e,r0023,RE3160R,RE2908C,ASCBSVCTtc,r1112,EX_vitd2_e,r2042
2,CRNtx,EX_bz_e,RE2910C,RE3146R,RE3448C,GALSGLT1le,r1346,EX_aldstrn_e,r2040
3,GLYATm,EX_ebastine_e,RE2908C,TETPENT6COAtx,RE1526C,BTNt3ile,r1341,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,r2039
4,RE3160R,EX_ebastineoh_e,RE2909C,SQLSr,RE0512C,BTNt3i,r1113,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,r2038
5,RE3146R,EX_xoltri25_e,ALCD21_D,GPAMm_hs,RE1317C,PNTOt5le,r1099,EX_fucgalgbside_hs_e,r2037
6,r0196,EX_xoltri24_e,ALCD21_L,DPMVDx,RE3340C,PNTOt5,r1100,EX_fucfuc12gal14acglcgalgluside_hs_e,r2036
7,TETPENT6COAtx,EX_6htststerone_e,RE1527C,GLYATm,RE3338C,NaKt,r1093,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,r2035
8,CSNAT2m,EX_dca_e,RE0512C,EX_Rtotal_e,RE2910C,LIPOti,r1092,EX_fucgalfucgalacglcgalgluside_hs_e,r2034
9,r1397,EX_hestratriol_e,RE1317C,EX_tetpent3_e,HSD3B13,CBPS,r1094,EX_fucgal14acglcgalgluside_hs_e,r2032
10,CSNATm,EX_25hvitd2_e,3HPPD,EX_tethex3_e,RE1527C,NAHCO3_HCLt,r1103,EX_fucacgalfucgalacglcgalgluside_hs_e,r2031
11,ACACT10m,EX_4mptnl_e,HSD3B13,EX_tetpent6_e,RE2909C,H2CO3D,r1101,EX_fucacngal14acglcgalgluside_hs_e,r2030
12,r0432,EX_crtstrn_e,RE3448C,EX_eicostet_e,ALCD21_D,PIt2m,r1104,EX_fucacngalacglcgalgluside_hs_e,r2029
13,r0287,EX_vitd2_e,RE1526C,r0196,RE1804C,ASNS1,r1102,EX_fucfucgalacglcgalgluside_hs_e,r2028
14,C160CPT2,EX_2425dhvitd2_e,RE3340C,EX_pi_e,RE3564C,NAt3_1g,r1105,EX_fuc13galacglcgal14acglcgalgluside_hs_e,r2027
15,TTDCPT2,EX_aldstrn_e,RE3250C,CSNAT2m,RE2154C,r1294,r1339,EX_fuc14galacglcgalgluside_hs_e,r2026
16,C161CPT22,EX_3aib_e,PPDOx,r1397,RE3250C,r1402,r1098,EX_gq1b_hs_e,r2024
17,r0636,DM_mem2emgacpail_prot_hs_r,RE1525C,ACACT10m,3HPPD,r1103,r1344,EX_gd1b2_hs_e,r2023
18,C4CRNCPT2,RETNGLCt,RE1804C,CSNATm,PPDOx,r1105,r1345,EX_gd1c_hs_e,r2022
19,r1399,DM_gpi_sig_er,RE3564C,r0287,RE1525C,r1104,r1333,EX_gt1a_hs_e,r2021
