,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality,pagerank,information_centrality,global_reaching_centrality
0,HKt,EX_txa2_e,r0483,HKt,r0483,GLCSGLT1le,r1112,EX_gd1c_hs_e,10FTHF5GLUtl
1,CAATPS,EX_retnglc_e,EHGLATm,CAATPS,EHGLATm,ASCBSVCTtc,r1095,EX_gd1b2_hs_e,r2042
2,METAT,EX_bz_e,EHGLAT2m,METAT,EHGLAT2m,GALSGLT1le,r1341,EX_gp1c_hs_e,r2040
3,ATPasel,EX_ebastine_e,BUP2,ATPasel,BUP2,BTNt3i,r1346,EX_gq1b_hs_e,r2039
4,r1382,EX_ebastineoh_e,ACGSm,RE1836C,ACGSm,BTNt3ile,r1113,EX_gt1a_hs_e,r2038
5,RE1836C,EX_xoltri24_e,3SALATAim,r1382,GLU5Km,PNTOt5le,r1099,EX_acn13acngalgbside_hs_e,r2037
6,SELMETAT,EX_xoltri25_e,GLU5Km,SELMETAT,3SALATAim,PNTOt5,r1100,EX_acngalacglcgal14acglcgalgluside_hs_e,r2036
7,r1319,EX_dca_e,P5CDm,r1319,AKGDm,NaKt,r1105,EX_gp1calpha_hs_e,r2035
8,RE3245C,EX_6htststerone_e,RE2349M,RE3245C,P5CDm,LIPOti,r1101,EX_acnacngal14acglcgalgluside_hs_e,r2034
9,RE3237C,EX_hestratriol_e,RE1233M,G6PPer,r0083,CBPS,r1102,EX_acn23acngalgbside_hs_e,r2032
10,RE3239C,EX_acmana_e,GLUNm,RE3237C,r0384,NAHCO3_HCLt,r1103,EX_acnacngalgbside_hs_e,r2031
11,RE3339C,TXA2te,AKGDm,RE3239C,SACCD4m,H2CO3D,r1104,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,r2030
12,RE3343C,DM_mem2emgacpail_prot_hs_r,ASPTAm,RE3343C,r0525,PIt2m,r1094,EX_fucgalgbside_hs_e,r2029
13,BPNT,DM_gpi_sig_er,r0086,RE3339C,RE2349M,ASNS1,r1093,EX_fucfuc12gal14acglcgalgluside_hs_e,r2028
14,r0470,sink_pre_prot_r,SACCD3m,SBPP1er,RE1233M,NAt3_1g,r1092,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,r2027
15,r0399,RETNGLCt,r0525,SBPP3er,r0074,r1294,r1339,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,r2026
16,NTD7,BZt,SACCD4m,RE1448R,SACCD3m,r1402,r1098,EX_fucacgalfucgalacglcgalgluside_hs_e,r2024
17,H2Oter,EBASTINEte,r0074,RE3268R,GLUNm,r1102,r1344,EX_fuc13galacglcgal14acglcgalgluside_hs_e,r2023
18,NTD2,EBASTINEOHte,r0083,RE2051R,r0163,r1104,r1345,EX_fucfucgalacglcgalgluside_hs_e,r2022
19,PSP_L,XOLTRI25te,r0384,DOLPGT3_Uer,r0086,r1103,r1335,EX_fucgal14acglcgalgluside_hs_e,r2021
