,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality,pagerank,information_centrality,global_reaching_centrality
0,COAtm,EX_retnglc_e,EHGLAT,r1164,PHETA1m,GLCSGLT1le,r1095,EX_gq1b_hs_e,10FTHF5GLUtl
1,HSAT1ly,EX_bz_e,PSERT,r1168,EHGLAT,ASCBSVCTtc,r1112,EX_gd1c_hs_e,r2042
2,HSAT2ly,EX_txa2_e,3HKYNAKGAT,r1169,PSERT,GALSGLT1le,r1346,EX_gt1a_hs_e,r2040
3,HSAT3ly,EX_6htststerone_e,KYNAKGAT,r1170,3HKYNAKGAT,BTNt3i,r1341,EX_gd1b2_hs_e,r2039
4,HSAT4ly,EX_ebastine_e,LCYSTAT,r1171,KYNAKGAT,BTNt3ile,r1113,EX_gp1calpha_hs_e,r2038
5,r1164,EX_ebastineoh_e,3SALATAi,r1166,LCYSTAT,PNTOt5,r1099,EX_gp1c_hs_e,r2037
6,r1168,EX_xoltri25_e,ASPTA,SOAT11r,3SALATAi,PNTOt5le,r1100,EX_acn13acngalgbside_hs_e,r2036
7,r1169,EX_xoltri24_e,RE2034C,SOAT12r,CYSTA,NaKt,r1093,EX_acngalacglcgal14acglcgalgluside_hs_e,r2035
8,r1170,EX_dca_e,AATAi,r1165,ASPTA,LIPOti,r1092,EX_acnacngal14acglcgalgluside_hs_e,r2034
9,r1171,EX_hestratriol_e,PHETA1m,COAtm,AATAi,CBPS,r1094,EX_acn23acngalgbside_hs_e,r2032
10,SOAT11r,DM_mem2emgacpail_prot_hs_r,CYSTA,r1051,RE2034C,NAHCO3_HCLt,r1103,EX_acnacngalgbside_hs_e,r2031
11,r1166,RETNGLCt,UNK3,DHAPAx,UNK3,H2CO3D,r1102,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,r2030
12,r1165,sink_pre_prot_r,AKGt4_3,HSAT1ly,r0879,PIt2m,r1101,EX_fucacgalfucgalacglcgalgluside_hs_e,r2029
13,SOAT12r,DM_gpi_sig_er,r0879,HSAT3ly,AKGt4_3,ASNS1,r1104,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,r2028
14,CHAT,BZt,LEUTA,HSAT4ly,LEUTA,NAt3_1g,r1105,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,r2027
15,COAtp,EX_acmana_e,VALTA,HSAT2ly,ILETA,r1294,r1339,EX_fucgalgbside_hs_e,r2026
16,COAtr,TXA2te,ILETA,CHAT,VALTA,r1402,r1098,EX_fucfuc12gal14acglcgalgluside_hs_e,r2024
17,DHAPAx,6HTSTSTERONEte,ALATA_L,RE1531X,r1386,r1101,r1344,EX_fucgal14acglcgalgluside_hs_e,r2023
18,RE1531X,EBASTINEte,TYRTA,RE1534X,TYRTA,r1092,r1345,EX_fucacngal14acglcgalgluside_hs_e,r2022
19,RE1532X,EBASTINEOHte,r1386,RE1532X,ALATA_L,r1105,r1337,EX_fuc13galacglcgal14acglcgalgluside_hs_e,r2021
