,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality,pagerank,information_centrality,global_reaching_centrality
0,G6PPer,EX_txa2_e,PHEyLATthc,G6PPer,PHEyLATthc,GLCSGLT1le,r1095,EX_3aib_e,10FTHF5GLUtl
1,RE1448R,EX_retnglc_e,PHETA1,KSItly,RE2027C,ASCBSVCTtc,r1112,EX_vitd2_e,r2042
2,SBPP1er,EX_bz_e,DOGULND2,S2L2FN2M2MASNtly,r1456,GALSGLT1le,r1341,EX_aldstrn_e,r2040
3,SBPP3er,EX_ebastineoh_e,DOGULND1,SBPP1er,r1455,BTNt3i,r1346,EX_retnglc_e,r2039
4,RE3268R,EX_ebastine_e,RE3181C,SBPP3er,PHETA1,BTNt3ile,r1113,EX_bz_e,r2038
5,RE2051R,EX_xoltri24_e,RE3180C,RE1448R,TYRCBOX,PNTOt5le,r1099,EX_ebastine_e,r2037
6,DOLPGT3_Ler,EX_xoltri25_e,RE0938C,RE3268R,DGULND,PNTOt5,r1100,EX_ebastineoh_e,r2036
7,DOLPGT3_Uer,EX_dca_e,AIRCr,RE2051R,AIRCr,NaKt,r1094,EX_dca_e,r2035
8,NTD7e,EX_6htststerone_e,DGULND,DOLPGT3_Uer,RE1921C,LIPOti,r1092,EX_xoltri25_e,r2034
9,NTD4e,EX_hestratriol_e,RE1921C,DOLPGT3_Ler,UPPDC1,CBPS,r1093,EX_xoltri24_e,r2032
10,NTD2e,EX_acmana_e,UPPDC1,NTD7e,5HXKYNDCL,NAHCO3_HCLt,r1104,EX_hestratriol_e,r2031
11,NTD9e,TXA2te,r1455,NTD4e,PPCDC,H2CO3D,r1103,EX_6htststerone_e,r2030
12,LAPCOAe,EX_25hvitd2_e,r1456,NTD2e,PCLAD,PIt2m,r1102,EX_fucgalgbside_hs_e,r2029
13,r0587,EX_4mptnl_e,5HXKYNDCL,NTD9e,r0678,ASNS1,r1101,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,r2028
14,PAN4PPe,EX_crtstrn_e,PPCDC,LAPCOAe,r0766,NAt3_1g,r1105,EX_fucgalfucgalacglcgalgluside_hs_e,r2027
15,r0242,EX_vitd2_e,PCLAD,r0587,r0760,r1294,r1339,EX_fucgal14acglcgalgluside_hs_e,r2026
16,KSItly,EX_2425dhvitd2_e,r0768,PAN4PPe,r0764,r1402,r1098,EX_fucfuc12gal14acglcgalgluside_hs_e,r2024
17,S2L2FN2M2MASNtly,EX_aldstrn_e,r0678,r0242,r0772,r1102,r1344,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,r2023
18,HKt,EX_3aib_e,r0764,S2L2N2M2MASNtly,r0768,r1101,r1345,EX_fuc13galacglcgal14acglcgalgluside_hs_e,r2022
19,r1175,DM_mem2emgacpail_prot_hs_r,r0766,EX_ksi_e,r1313,r1092,r1333,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,r2021
