,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality,pagerank,information_centrality,global_reaching_centrality
0,GPAMm_hs,EX_retnglc_e,RE3469C,CRNtx,RE3469C,GLCSGLT1le,r1095,EX_3aib_e,10FTHF5GLUtl
1,CRNtx,EX_txa2_e,r0702,RE3160R,r0702,ASCBSVCTtc,r1112,EX_vitd2_e,r2041
2,GLYATm,EX_bz_e,RE3420C,RE3146R,RE3420C,GALSGLT1le,r1341,EX_aldstrn_e,r2039
3,RE3160R,EX_6htststerone_e,RE3038C,TETPENT6COAtx,RE3475C,BTNt3ile,r1346,EX_fucgalgbside_hs_e,r2038
4,RE3146R,EX_hestratriol_e,RE3488C,GPAMm_hs,r0539,BTNt3i,r1113,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,r2037
5,r0196,EX_ebastine_e,r0539,DPMVDx,RE3412C,PNTOt5,r1099,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,r2036
6,TETPENT6COAtx,EX_ebastineoh_e,RE3475C,GLYATm,RE3038C,PNTOt5le,r1100,EX_fucacgalfucgalacglcgalgluside_hs_e,r2035
7,CSNAT2m,EX_xoltri25_e,RE3412C,EX_Rtotal_e,MELATN23DOX,NaKt,r1093,EX_fucgal14acglcgalgluside_hs_e,r2034
8,r1397,EX_xoltri24_e,RE3040C,EX_tethex3_e,RE2856C,LIPOti,r1092,EX_fucgalfucgalacglcgalgluside_hs_e,r2032
9,CSNATm,EX_dca_e,RE2601C,EX_tetpent3_e,RE2857C,CBPS,r1094,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,r2031
10,ACACT10m,EX_25hvitd2_e,RE3485C,EX_eicostet_e,RE2858C,NAHCO3_HCLt,r1104,EX_fucfuc12gal14acglcgalgluside_hs_e,r2030
11,r0432,EX_4mptnl_e,MELATN23DOX,EX_tetpent6_e,RE2861C,H2CO3D,r1103,EX_fucacngal14acglcgalgluside_hs_e,r2029
12,r0287,EX_crtstrn_e,RE3476C,r0196,RE2859C,PIt2m,r1102,EX_fucfucgalacglcgalgluside_hs_e,r2028
13,C160CPT2,EX_vitd2_e,3HAO,EX_pi_e,RE2863C,ASNS1,r1101,EX_fuc13galacglcgal14acglcgalgluside_hs_e,r2027
14,TTDCPT2,EX_2425dhvitd2_e,5HTRPDOX,CSNAT2m,RE3503C,NAt3_1g,r1105,EX_fucacngalacglcgalgluside_hs_e,r2026
15,C161CPT22,EX_aldstrn_e,RE2856C,r1397,RE2862C,r1294,r1339,EX_fuc14galacglcgalgluside_hs_e,r2024
16,r0636,EX_3aib_e,RE2862C,ACACT10m,RE3233C,r1402,r1098,EX_gq1b_hs_e,r2023
17,C4CRNCPT2,DM_mem2emgacpail_prot_hs_r,RE2863C,CSNATm,RE2601C,r1105,r1344,EX_gd1c_hs_e,r2022
18,r1399,RETNGLCt,RE2861C,r0287,RE3040C,r1101,r1345,EX_acn13acngalgbside_hs_e,r2021
19,r1395,DM_gpi_sig_er,RE3503C,r0432,3HAO,r1104,r1333,EX_acn23acngalgbside_hs_e,r2020
