,betweenness_centrality,closeness_centrality,eigenvector_centrality,global_reaching_centrality,harmonic_centrality,information_centrality,load_centrality,pagerank
0,DHPR2,DHPR2,DHPR2,10FTHF5GLUtl,DHPR2,DHPR2,DHPR2,EX_lipoate_e
1,r1633,TYRt,TYRt,r2038,TYRt,TYRt,r1633,EX_5htrp_e
2,r1625,r1633,r1080,r2037,r1633,r1078,r1631,EX_tststeroneglc_e
3,r1631,r1631,r1078,r2036,r1631,r1080,r1632,EX_estriolglc_e
4,r1632,r1609,r1633,r2035,r1632,PHEtec,r1609,EX_5adtststeroneglc_e
5,r1623,r1632,r1631,r2034,r1609,r1074,r1625,EX_35cgmp_e
6,VALPHELAT2tc,r1080,r1632,r2032,r1080,r2031,r2030,EX_estroneglc_e
7,r1624,r1634,PHEtec,r2031,r1630,r2063,r1998,EX_andrstrnglc_e
8,THRPHELAT2tc,r1630,r1074,r2030,r1634,r1633,r2062,EX_1mncam_e
9,r1630,r1599,r1634,r2029,r1599,r1999,r1630,EX_ahandrostanglc_e
10,r1599,r1628,r1609,r2028,r1628,5MTHFt,r1634,EX_camp_e
11,r1634,r1629,r1625,r2027,r1078,MTHFTe,TYRt4,EX_mepi_e
12,ILEPHELAT2tc,r1078,r1630,r2039,r1629,r2047,r1599,EX_4pyrdx_e
13,r1626,r1563,r1599,r2026,r1588,r2030,RE3526C,EX_adrnl_e
14,r2030,r1627,r1623,r2023,r1627,r2015,r1790,EX_HC02154_e
15,r1622,r1588,VALPHELAT2tc,r2022,r1563,r1631,r1889,RE3295C
16,ASNPHELAT2tc,r2063,r1624,r2021,r2063,r1632,PHETA1m,EX_doco13ac
17,PHEtec,r2031,THRPHELAT2tc,r2020,r2031,r2062,r1623,sink_decdicoa_c
18,r1609,T4HCINNOX,r1618,r2019,PHEtec,r1609,VALPHELAT2tc,sink_c101coa_c
19,r1998,RE3571C,TYRPHELAT2tc,r2018,T4HCINNOX,r1630,r1608,sink_octdececoa_c
