,betweenness_centrality,closeness_centrality,eigenvector_centrality,global_reaching_centrality,harmonic_centrality,information_centrality,load_centrality,pagerank
0,PHETHPTOX2,SUCOASm,EX_retnglc_e,10FTHF5GLUtl,SUCOASm,EX_3aib_e,PHETHPTOX2,r1112
1,TYR3MO2,r0917,EX_bz_e,r2042,NAHCO3_HCLt,EX_gd1c_hs_e,TYRDOPO,r1095
2,TYRDOPO,MECOALm,EX_25hvitd2_e,r2040,MECOALm,EX_gq1b_hs_e,TYR3MO2,r1341
3,THBPT4ACAMDASE,ITCOALm,EX_crtstrn_e,r2039,ITCOALm,EX_gt1a_hs_e,THBPT4ACAMDASE,r1346
4,r0402,r2371,EX_4mptnl_e,r2038,SUCOAS1m,EX_gp1c_hs_e,MTHFD2,r1113
5,r0398,SUCOAS1m,EX_vitd2_e,r2037,MECOAS1m,EX_gd1b2_hs_e,r0402,r1099
6,MTHFD,MECOAS1m,EX_2425dhvitd2_e,r2036,ITCOAL1m,EX_gp1calpha_hs_e,r0398,r1100
7,MTHFD2,ITCOAL1m,EX_aldstrn_e,r2035,NAt3_1g,EX_acn13acngalgbside_hs_e,MTHFD,r1104
8,RE0938C,ACONT,EX_3aib_e,r2034,r0311,EX_acngalacglcgal14acglcgalgluside_hs_e,RE0938C,r1094
9,TRPHYDRO2,r1262,EX_6htststerone_e,r2032,r1262,EX_acnacngal14acglcgalgluside_hs_e,r0403,r1101
10,DHPR,r0311,EX_ebastine_e,r2031,UGT1A10r,EX_acnacngalgbside_hs_e,DHPR,r1103
11,r0403,r1257,EX_ebastineoh_e,r2030,PIt2m,EX_acn23acngalgbside_hs_e,TRPHYDRO2,r1093
12,r1616,r1253,EX_xoltri24_e,r2029,r1257,EX_fucgalgbside_hs_e,GLYPHEHYc,r1092
13,TRPO2,r1255,EX_xoltri25_e,r2028,UGT1A2r,EX_fuc13galacglcgal14acglcgalgluside_hs_e,TRPO2,r1102
14,r1615,r1259,EX_hestratriol_e,r2027,r1253,EX_fucgal14acglcgalgluside_hs_e,RE2269C,r1105
15,GLYPHEHYc,r1260,EX_dca_e,r2026,r1255,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,PHETA1,r1339
16,r1614,RE3114R,EX_txa2_e,r2024,GLUt6,EX_fucgalfucgalacglcgalgluside_hs_e,PPOR,r1098
17,RE2269C,r1251,EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_e,r2023,r1259,EX_fucfuc12gal14acglcgalgluside_hs_e,SPR,r1344
18,SPR,r1487,EX_galfucgalacglcgal14acglcgalgluside_hs_e,r2022,r1260,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,PHYCBOXL,r1345
19,PHETA1,r0573,EX_galgalgalthcrm_hs_e,r2021,GLYSNAT5tc,EX_fucfucgalacglcgalgluside_hs_e,GHMT2r,r1350
