Muestra,MDS_Componente_1,MDS_Componente_2,tSNE_Componente_1,tSNE_Componente_2,isomap_Componente_1,isomap_Componente_2,k-labels
M41,-0.5373145121157398,4.518616911842476,57.33469,-1.6037256,12.740242116478852,1.4106300732632746,B
M50,3.7444666501577872,8.36473300105433,60.923088,14.18877,19.12234449436311,-1.3978019874256875,E
M76,4.616106419254656,6.023077789492584,35.279297,-8.709634,8.320225917225029,2.2669731590853917,A
M24,1.80011045751883,8.814770347217989,58.830387,16.446745,19.61713915970573,-2.4769320606721896,E
M10,2.034824694298841,5.05480167939045,49.478836,6.3741207,13.95381306623143,1.7259498981952512,B
M92,3.496632307771943,4.875420603278832,61.50775,2.8532815,11.3430901037407,-0.16723837584247825,E
M07,1.0298292553346327,5.58527283051807,69.032585,5.278538,15.778349572162934,-9.192488162583672,E
M31,-1.2627292391181535,6.672733957440022,64.21017,11.780338,16.598955356801785,-1.8284468076084914,E
M23,-1.9574230549889338,4.8429131116962925,51.634827,-11.288616,15.79662258367737,-5.804409390648774,B
M08,2.0081948011475426,5.562916962786763,68.85075,6.567498,16.28476617073426,-5.983318442352571,E
M05,-0.6653814729671814,6.536996791845338,50.580647,1.1752324,13.136942797679968,-3.791926825046622,B
M63,-3.3512892039302526,6.600784857202855,35.63211,3.6507916,13.07973783118637,3.9148257099424666,B
M07,-0.16252341898857436,5.539048216773496,56.70477,0.3154124,15.38687676163911,-1.3947762694442896,B
M08,1.6750926275373448,5.277690201541001,58.450417,-6.440472,16.100746651440645,-4.276345064353403,E
M09,-7.900575935313288,-6.114803355312716,7.0126557,-34.091698,2.9108622048831037,-12.845464031438787,B
M34,-2.6263842394798718,4.929078171122923,39.200157,5.925373,14.529488790688221,1.8815012215140678,B
M39,0.7407569328982435,6.278355228789941,64.32471,1.2747744,18.17210557422758,0.10786997454968159,E
M17,1.2594210128190444,5.098654257910189,77.34065,3.6558616,15.471622732700006,-0.384686892034804,E
M15,-4.273794463325784,8.354705169187973,14.847213,46.25045,13.04410457738781,8.30715820982885,E
M14,-3.198185985037109,4.24199954191832,46.646687,-7.506616,10.060354370277821,4.912456889772505,B
M83,2.334124649874379,4.537108360668609,62.037296,-5.162781,11.563457386349965,0.4587303349183123,B
M07,5.657256205802544,5.13926599043015,31.95964,-36.43628,6.613371315482839,-9.26525979803403,E
