,tSNE_Componente_1,tSNE_Componente_2,isomap_Componente_1,isomap_Componente_2,k-labels
phe_L_e,80.73269,119.02103,0.06287582449777165,-0.3045932128947359,B
met_L_e,-19.042093,94.5427,0.07692747238867138,-0.03147513085638282,B
val_L_e,3.328201,193.99683,0.055548633641202584,0.6413394752683627,D
leu_L_e,26.986423,111.43142,0.02745027582006857,-0.6231892996693694,B
tyr_L_e,-47.980705,178.85634,0.05554863364120193,0.6413394752683648,D
pro_L_e,-60.862476,125.61845,0.0696358788974983,-0.1955700030131257,B
arg_L_e,-11.931732,142.53145,0.07692747238867147,-0.03147513085637989,B
gly_e,-102.05699,170.01624,0.01453598466400155,-0.604592675945641,B
ala_L_e,-111.406624,114.85659,0.07109408300158866,-0.17849806748406705,B
asp_L_e,47.6853,58.06438,1.05921181488738,-0.023077936745647804,C
glu_L_e,-113.83983,61.488224,-0.008828595392400088,-0.6254762769017526,B
citr_L_e,44.579823,161.05487,0.05161407249216049,0.6860931196387503,D
orn_e,-61.14187,72.07634,0.05161407249216054,0.6860931196387503,D
crn_e,-1.2251393,43.417686,0.9074557252741468,-0.020450302297646536,C
c4crn_e,-40.988422,-84.695854,0.09351068155920055,-0.006438679405306886,E
3bcrn_e,125.07526,-79.093155,0.09356707448434576,-0.006443124293479356,E
c5dc_e,32.818813,9.551213,-0.4002525829354231,0.006048883098193678,A
c51crn_e,5.5598063,-104.770035,0.09356942733473797,-0.006443309734163712,E
c6crn_e,-97.68551,-64.13023,0.09355789627472517,-0.0064424008229698225,E
c8crn_e,130.58092,-18.472067,0.09356946216552262,-0.0064433124543489305,E
c81crn_e,-7.8466377,-13.182951,0.09356397465523458,-0.00644287997734076,E
c10crn_e,-1.3321847,-58.460968,0.09357055152428488,-0.006443398319910353,E
c101crn_e,-47.5721,13.62532,-0.4007789466020722,0.006062219006259965,A
decdicrn_e,47.3793,-82.42948,-0.4007789466020722,0.006062219006259965,A
c12dc_e,36.91702,-145.5718,-0.39737662219761966,0.005976501527221245,A
tetdece1crn_e,83.3967,-49.325237,-0.4007789466020722,0.006062219006259965,A
tetdec2crn_e,37.998238,-35.44858,-0.40077894660207214,0.006062219006260002,A
3tdcrn_e,110.0592,39.951645,0.09356889202921302,-0.0064432675440409945,E
3hexdcrn_e,84.63046,-117.44236,0.09356889157885476,-0.006443267508546071,E
3hexdcrn_e,-25.890247,-145.26923,0.09356889157885476,-0.006443267508546068,E
3hdececrn_e,-78.912506,-117.61199,-0.400017768135951,0.006042939225529187,A
3hdececrn_e,-49.83513,-37.006992,-0.400017768135951,0.006042939225529187,A
3octdeccrn_e,-97.57971,-9.641569,0.09356885791189126,-0.006443264855081763,E
3octdece1crn_e,77.98433,0.34681517,-0.40001542197775664,0.006042880172742518,A
