,harmonic_centrality,eigenvector_centrality,degree_centrality,betweenness_centrality,closeness_centrality,load_centrality,information_centrality,second_order_centrality,current_flow_closeness_centrality,current_flow_betweenness_centrality,approximate_current_flow_betweenness_centrality,communicability_betweenness_centrality
DM_10fthf5glu,0.0006126859047877167,6.902901005276089e-10,-0.0009487666034153976,-0.0010750419218327374,-0.000293598572862097,-0.001111372663504097,-0.004464154505894854,0.0009427264696551244,-0.004464154505894854,-0.00041023516282840826,-0.7990711600316134,0.00032711140959973075
DM_10fthf6glu,0.0006126859047877167,6.902724320334065e-10,-0.0009487666034153976,-0.0010750419218327374,-0.000293598572862097,-0.001111372663504097,-0.004464170126572942,0.0009428274625894592,-0.004464170126572942,-0.0004102408528191607,-0.38507088705508985,0.0003271130717101164
DM_10fthf7glu,0.0006126859047877167,4.0500321342750887e-10,-0.0009487666034153976,-0.0010750419218327374,-0.000293598572862097,-0.001111372663504097,-0.005913962582991145,0.0009590030694156771,-0.005913962582991145,-0.0004102408665910023,-0.22349672616258998,0.00032711374513155885
DM_5thf,0.0006126859047877167,6.911080919159794e-10,-0.0009487666034153976,-0.0010784498280318208,-0.000293598572862097,-0.0011133568366938843,-0.004464068931544421,0.0009427469264555957,-0.004464068931544421,-0.0004091914783959096,-0.8170459231047297,0.00032704422104825383
DM_6dhf,0.0006126859047877167,6.902586565972487e-10,-0.0009487666034153976,-0.0010750419218327374,-0.000293598572862097,-0.001111372663504097,-0.004464180587588973,0.0009427693554817945,-0.004464180587588973,-0.0004102408664936544,-0.024477356781094545,0.0003271143874422107
DM_6thf,0.0006126859047877167,6.902728812324117e-10,-0.0009487666034153976,-0.0010750419218327374,-0.000293598572862097,-0.001111372663504097,-0.004464170105608076,0.000942827516799913,-0.004464170105608076,-0.00041023850762551204,-0.34079021690955913,0.0003271130654663403
DM_7dhf,0.0006126859047877167,4.0500321342750887e-10,-0.0009487666034153976,-0.0010750419218327374,-0.000293598572862097,-0.001111372663504097,-0.0059139625832174934,0.0009590027572044706,-0.0059139625832174934,-0.0004102408663377961,-0.07817553572648936,0.0003271137454253527
DM_7thf,0.0006126859047877167,4.0500321342750887e-10,-0.0009487666034153976,-0.0010750419218327374,-0.000293598572862097,-0.001111372663504097,-0.005913962582805878,0.0009590030697084398,-0.005913962582805878,-0.00041024085421459335,-1.071615781359603,0.00032711374505701416
DM_ahcys,0.0006263011471163257,9.205321415371436e-10,-0.0009487666034153976,-0.0010959334221354148,-0.0002642064010319051,-0.0011340049433289459,-0.003742233902877489,0.0009397103628248089,-0.003742233902877489,-0.0004192465066056605,-0.20394249438267265,0.0003287189634408039
DM_atp(c),0.00217843877257946,0.018763840703418487,0.011014764471525587,-0.0041303100388193955,0.0005836100579068085,-0.0037128085792793274,0.0009248035423310793,-0.00036497382393728986,0.0009248035423310793,-0.00940061165591342,0.0839782338088546,0.03168360455890869
DM_fald,0.0006399163894450896,2.0937779535152452e-10,-0.0009487666034153976,-0.0012334141456583978,-0.00025085023908972333,-0.0012147814270457643,-0.005930372748346082,0.0009597365432821912,-0.005930372748346082,-0.0002397019591282345,0.1520359941019684,0.0003118062672314756
DM_for,0.0006126859047877167,1.2083842544226295e-10,-0.0009487666034153976,-0.0010184901927831641,-0.000293598572862097,-0.0010043500513218328,-0.005940696360501636,0.000959843379336827,-0.005940696360501636,-0.0003495877184494809,-1.5984143220682876,0.00031812662028128126
DM_pheme(c),0.0005990706624589529,3.785450925584182e-10,-0.0009487666034153976,-0.0009981670041636092,-0.0003216274407732335,-0.001083419128278073,-0.005919590647265258,0.0009586976077654867,-0.005919590647265258,-0.0004194961246290904,-1.6607092034975304,0.0003282208567468143
DM_q10(m),0.0010892193862894978,3.2415692074585695e-06,-0.0009487666034153976,-0.0007867842971875379,0.00024381046644674504,-0.0008151785925379818,-0.0007933494630555088,0.0009170175204907936,-0.0007933494630555088,-0.00032595954210382815,-0.2101244678134717,0.0004274593741754974
DM_thf(c),0.0006535316317736986,8.17447857574263e-10,-0.0009487666034153976,-0.001377887422221043,-0.00022282137117858686,-0.001392361786005319,-0.0034440216014118273,0.0009321368995541174,-0.0034440216014118273,-0.00031310059565888216,-0.24568686739656923,0.00032226979562059146
EX_3aib(e),0.0004901487238300805,4.951670366723793e-13,-0.0009487666034153976,-0.0009515518450788371,-0.0006045897690999916,-0.0009879385993577308,-0.006768575973900915,0.0010377874713284661,-0.006768575973900915,-0.0005554024945966486,-0.9608789931846117,0.0003044254687723649
EX_4abut(e),0.0010892193862894978,6.515466351250977e-07,-0.0009487666034153976,-0.0006225498915223189,0.00024381046644674504,-0.0006076203100969345,-0.0030465224932431307,0.0009214552020600853,-0.0030465224932431307,0.00018224237822468418,-1.7517868108386832,0.000671717260332936
EX_ac(e),0.0010892193862894978,6.514231139334637e-07,-0.0009487666034153976,-0.0006225424879524746,0.00024381046644674504,-0.000607512259752089,-0.0030467287115061394,0.0009213438899154655,-0.0030467287115061394,0.00019119008180078537,-2.396865026985511,0.000671730258023646
