,harmonic_centrality,eigenvector_centrality,degree_centrality,betweenness_centrality,closeness_centrality,load_centrality,information_centrality,second_order_centrality,current_flow_closeness_centrality,current_flow_betweenness_centrality,approximate_current_flow_betweenness_centrality,communicability_betweenness_centrality
DM_10fthf5glu,,,,,-0.0004488743170360793,,,,,,,
DM_10fthf6glu,,,,,-0.0004488743170360793,,,,,,,
DM_10fthf7glu,,,,,-0.0004488743170360793,,,,,,,
DM_5thf,,,,,-0.0004398666234450219,,,,,,,
DM_6dhf,,,,,-0.0004488743170360793,,,,,,,
DM_6thf,,,,,-0.0004398666234450219,,,,,,,
DM_7dhf,,,,,-0.0004488743170360793,,,,,,,
DM_7thf,,,,,-0.0004488743170360793,,,,,,,
DM_ahcys,,,,,-0.00047207107281205035,,,,,,,
DM_atp(c),,,,,0.00018809806161340604,,,,,,,
DM_fald,,,,,-0.00048259962656039466,,,,,,,
DM_for,,,,,-0.000490683993223477,,,,,,,
DM_pheme(c),,,,,-0.00045167700673017164,,,,,,,
DM_q10(m),,,,,-2.660383452486094e-05,,,,,,,
DM_thf(c),,,,,-0.0004205790014247964,,,,,,,
EX_3aib(e),,,,,-0.0006455005498561006,,,,,,,
EX_4abut(e),,,,,2.7913461525496984e-05,,,,,,,
EX_ac(e),,,,,2.7913461525496984e-05,,,,,,,
EX_acac(e),,,,,2.7913461525496984e-05,,,,,,,
EX_acald(e),,,,,-0.00033457327172287376,,,,,,,
EX_ala-B(e),,,,,-6.631457965072727e-05,,,,,,,
EX_arg-L(e),,,,,-0.00021090406764633004,,,,,,,
EX_asn-L(e),,,,,-0.0001300249359524417,,,,,,,
EX_bhb(e),,,,,2.7913461525496984e-05,,,,,,,
EX_btn(e),,,,,2.7913461525496984e-05,,,,,,,
EX_co2(e),,,,,-0.00031234797505159446,,,,,,,
EX_crn(e),,,,,-0.0007406146049816786,,,,,,,
EX_cyan(e),,,,,-0.0005698001797709632,,,,,,,
EX_cys-L(e),,,,,-0.0001673846104657752,,,,,,,
EX_duri(e),,,,,-0.00033457327172287376,,,,,,,
EX_etoh(e),,,,,4.748568295143368e-06,,,,,,,
EX_fe2(e),,,,,2.7913461525496984e-05,,,,,,,
EX_glc(e),,,,,3.626608221443766e-05,,,,,,,
EX_gln-L(e),,,,,2.7913461525496984e-05,,,,,,,
EX_glu-L(e),,,,,4.4605025796073845e-05,,,,,,,
EX_gly(e),,,,,-0.0005468498493512853,,,,,,,
EX_glyc(e),,,,,0.0001558437817340187,,,,,,,
EX_h(e),,,,,2.6602722527342186e-06,,,,,,,
EX_h2o(e),,,,,-0.0003749363816389023,,,,,,,
EX_h2o2(e),,,,,-0.0003335582629577442,,,,,,,
EX_hco3(e),,,,,-0.0004041491577988747,,,,,,,
EX_ile-L(e),,,,,2.7913461525496984e-05,,,,,,,
EX_k(e),,,,,2.7913461525496984e-05,,,,,,,
EX_lac-D(e),,,,,2.7913461525496984e-05,,,,,,,
EX_lac-L(e),,,,,-0.0004180156427983389,,,,,,,
EX_leu-L(e),,,,,-0.00021090406764633004,,,,,,,
EX_lys-L(e),,,,,0.0001258131497886593,,,,,,,
EX_na1(e),,,,,2.7913461525496984e-05,,,,,,,
EX_nh4(e),,,,,-0.0003041508990294171,,,,,,,
EX_o2(e),,,,,-0.0005698001797709632,,,,,,,
EX_o2s(e),,,,,-0.00021904106866774695,,,,,,,
EX_orn(e),,,,,-7.625041400799024e-05,,,,,,,
EX_pe_hs(e),,,,,7.444912321176148e-05,,,,,,,
EX_pi(e),,,,,-0.0005737812055161145,,,,,,,
EX_ppa(e),,,,,2.7913461525496984e-05,,,,,,,
EX_pro-L(e),,,,,-7.625041400799024e-05,,,,,,,
EX_ps_hs(e),,,,,2.7913461525496984e-05,,,,,,,
EX_pyr(e),,,,,-0.0007432864452763717,,,,,,,
EX_sarcs(e),,,,,-9.72589526477053e-05,,,,,,,
EX_ser-L(e),,,,,-0.0003335582629577442,,,,,,,
EX_so4(e),,,,,-0.0005698001797709632,,,,,,,
