,harmonic_centrality,eigenvector_centrality,degree_centrality,betweenness_centrality,closeness_centrality,load_centrality,information_centrality,second_order_centrality,current_flow_closeness_centrality,current_flow_betweenness_centrality,approximate_current_flow_betweenness_centrality,communicability_betweenness_centrality
DM_10fthf5glu,0.0005740473501833417,-1.8296020280166058e-07,-0.0009489243404856549,-0.0018139681245410925,-0.00044836742482693396,-0.0018772450894980963,-0.0034102140280641785,0.0010435283077201835,-0.0034102140280641785,-0.0005265890943886881,-0.1823370391489748,-0.0006970963868911128
DM_10fthf6glu,0.0005740473501833417,-1.8296020280166058e-07,-0.0009489243404856549,-0.0018139681245410925,-0.00044836742482693396,-0.0018772450894980963,-0.0034102140280641785,0.0010441651059435633,-0.0034102140280641785,-0.0005263739883963227,-249134277.70759502,-0.0006970963868911128
DM_10fthf7glu,0.0005740473501833417,-1.8296020280166058e-07,-0.0009489243404856549,-0.0018139681245410925,-0.00044836742482693396,-0.0018772450894980963,-0.004421531761976883,0.0011302163692335704,-0.004421531761976883,-0.0005198491505834764,-0.3799498559935257,-0.0006970963868911128
DM_5thf,0.000583057233265264,-1.8296020280166058e-07,-0.0009489243404856549,-0.0018077821554422474,-0.0004403085953916972,-0.001870725858436031,-0.0034097233534751354,0.0010176918094068207,-0.0034097233534751354,-6.73294173399455e-06,-0.3218953497499979,-0.0006970963868911128
DM_6dhf,0.0005740473501833417,-1.8296020280166058e-07,-0.0009489243404856549,-0.0018139681245410925,-0.00044836742482693396,-0.0018772450894980963,-0.0034102140280641785,0.0010438012213438966,-0.0034102140280641785,-0.0005258003728689525,-0.19832508019387743,-0.0006970963868911128
DM_6thf,0.000583057233265264,-1.8296020280166058e-07,-0.0009489243404856549,-0.0018067511680196092,-0.0004403085953916972,-0.0018698181241312167,-0.003409846022077478,0.0010181466888921327,-0.003409846022077478,-4.369239095688123e-06,-0.409652272940814,-0.0006970963868911128
DM_7dhf,0.0005740473501833417,-1.8296020280166058e-07,-0.0009489243404856549,-0.0018139681245410925,-0.00044836742482693396,-0.0018772450894980963,-0.004421531761976883,0.0011302163692335704,-0.004421531761976883,-0.0005198491505834764,-0.48142090929301906,-0.0006970963868911128
DM_7thf,0.0005740473501833417,-1.8296020280166058e-07,-0.0009489243404856549,-0.0018139681245410925,-0.00044836742482693396,-0.0018772450894980963,-0.004421531761976883,0.0011300344583108789,-0.004421531761976883,-0.0005179849268392376,-0.4620931443277496,-0.0006970963868911128
DM_ahcys,0.0005572785241501826,-4.574006324374575e-07,-0.0009489243404856549,-0.0018637758902514236,-0.00047260968637426377,-0.0018850847835127046,-0.002906176290555068,0.0010280629587248197,-0.002906176290555068,-0.0006853625425933363,-0.6824566956721695,-0.0006969897881355494
DM_atp(c),0.001102602520718214,-0.02145731649826834,-0.0008781534204135292,-0.05011912795284797,0.00017340554863981358,-0.05219252804235406,-0.0003068170295576715,0.0023556092302483146,-0.0003068170295576715,-0.010834688408494383,-0.40748428175041224,0.0063511075989366676
DM_fald,0.0006628043007076615,1.8296013581709227e-07,0.11283981282244412,0.05971537058038529,-0.00047267468061172325,0.059691593683591095,-0.004305758139340651,0.0011355827116432747,-0.004305758139340651,0.02338660343739116,-0.3764680421784599,0.48414453884472114
DM_for,0.0005454315516374967,0.0,-0.0009489243404856549,-0.0018081786896313595,-0.0004887935122212556,-0.0018811236596231937,-0.00444003097613491,0.0011339455285457299,-0.00444003097613491,-0.00019744176793208123,-0.05173211904515871,-0.0006983755737284473
DM_pheme(c),0.0006621370140350427,0.0,0.11283981282244412,0.05969593997265136,-0.00044836742482693396,0.059673081112449754,-0.004298753585379139,0.0011251228383545079,-0.004298753585379139,0.023095194642425668,0.38641259295596797,0.22103141503699084
DM_q10(m),0.0008210928822204368,-0.00031405825213220827,-0.0009489243404856549,-0.0018642517845097162,-3.655852701993953e-05,-0.0018859100215986872,-0.0008451001688492074,0.0009166983086209064,-0.0008451001688492074,-0.0007026485111027014,0.1389169577850644,-0.0006824925689587662
DM_thf(c),0.0006026615101545241,-3.6592047244321433e-07,-0.0009489243404856549,-0.0018303851052362682,-0.00041613288605447756,-0.0018825265540852883,-0.002697892207576118,0.0009893974911705493,-0.002697892207576118,-0.000376324246473868,0.294676511147813,-0.0006970963868911128
EX_3aib(e),0.0004744272603582984,0.0,-0.0009489243404856549,-0.001847516441368442,-0.0006344064943370162,-0.0018733665494028982,-0.005014275510932415,0.001457730459138595,-0.005014275510932415,-0.0004820641259229078,0.2545286431022378,-0.0007021065540171615
EX_4abut(e),0.0008112534311988433,-7.40994176336169e-06,-0.0009489243404856549,-0.0018922510258104872,2.0063845884717855e-05,-0.0018923469253276262,-0.0024209471744380167,0.0009565522371053329,-0.0024209471744380167,-0.000671017793941329,-0.14680794491842336,-0.0006192853379030301
EX_ac(e),0.0008112534311988433,-7.40994176336169e-06,-0.0009489243404856549,-0.0018922510258104872,2.0063845884717855e-05,-0.0018923469253276262,-0.002421192028392104,0.0009560973015250385,-0.002421192028392104,-0.0006703005673041635,-225960120.7106714,-0.0006192853379030301
EX_acac(e),0.0008112534311988433,-7.40994176336169e-06,-0.0009489243404856549,-0.0018922510258104872,2.0063845884717855e-05,-0.0018923469253276262,-0.002420885960968179,0.0009562792758068371,-0.002420885960968179,-0.0006704440125493343,0.047749343884034526,-0.0006191787557244142
EX_acald(e),0.0006031620348145847,-1.8296020280166058e-07,-0.0009489243404856549,-0.0018656794699968633,-0.00033529572049776805,-0.0018872304053641977,-0.0027027307677740435,0.0009881237542582542,-0.0027027307677740435,-0.0005029279897127737,0.2150202480458089,-0.000605429845071137
EX_ala-B(e),0.0007898227697459104,-7.958830706932835e-06,-0.0009303683077266931,-0.0017459266658555457,-7.68214542125978e-05,-0.0017462165787876208,-0.0024163561849464836,0.000914787423949814,-0.0024163561849464836,0.0010922566970660707,0.14708864678444966,-0.0005783594509313667
EX_arg-L(e),0.0006489579196486998,-4.574006324374575e-07,-0.0009489243404856549,-0.0015493086716570116,-0.0002141294245783973,-0.0007327298390693035,-0.0016809332728008955,0.0010367963911288812,-0.0016809332728008955,-0.000700640152149743,0.28330712913113226,-0.0006769496255739536
EX_asn-L(e),0.0006799032177049801,-1.8296020280166058e-07,-0.0009489243404856549,-0.0018873331987443395,-0.0001333248995972436,-0.0018878905985520336,-0.00253432735005607,0.0009762960421030131,-0.00253432735005607,-0.0005327555054986008,0.16847721177742794,-0.0005997811773307734
EX_bhb(e),0.0008112534311988433,-7.40994176336169e-06,-0.0009489243404856549,-0.0018922510258104872,2.0063845884717855e-05,-0.0018923469253276262,-0.002421192028392104,0.0009560973015250385,-0.002421192028392104,-0.0006703005673041635,0.15021523112001378,-0.0006192853379030301
EX_btn(e),0.0008112534311988433,-1.9851572445744107e-05,-0.0009489243404856549,-0.0018922510258104872,2.0063845884717855e-05,-0.0018923469253276262,-0.001408642651925408,0.0009270715550056495,-0.001408642651925408,-0.0006703722899216675,-0.5426019576984985,-0.000618859009324956
EX_co2(e),0.0006301062057405797,-1.8296020280166058e-07,-0.0009489243404856549,0.004853573397312593,-0.00031112508611968445,0.0009403771019776699,-0.0028319804803070723,0.0010060467535342832,-0.0028319804803070723,0.0007164681455828748,-0.3324119605065678,-0.0004943866032945583
EX_crn(e),0.0004580723161528488,0.0,-0.0009489243404856549,-0.0018584617684133011,-0.0007152920114007376,-0.001863464030053977,-0.003965351551264176,0.0011850594910790167,-0.003965351551264176,-0.00048658097108664574,-0.47182804382770227,-0.0006994415652577698
EX_cyan(e),0.0004940357991462884,0.0,-0.0009489243404856549,-0.0018909819045263155,-0.0005617247170764773,-0.001890861478664253,-0.004992432619210048,0.0014499133583917776,-0.004992432619210048,-0.000705876247737391,-0.48660827734058404,-0.0007005075590582154
EX_cys-L(e),0.0007362837932519872,0.0,0.0004598505384879817,0.0009874167518394428,-0.0001737255300286117,-0.00032682318651792845,-0.0006925095038698529,0.0006654907992366862,-0.0006925095038698529,0.002410069688305718,-0.4829842730528315,0.016819468325790704
EX_duri(e),0.0006031620348145847,-1.8296020280166058e-07,-0.0009489243404856549,-0.0018656001540297777,-0.00033529572049776805,-0.0018869828331430874,-0.0029356493492130207,0.0010104136813016372,-0.0029356493492130207,-0.0006515095957544104,-0.6580715151417363,-0.0006119312208480401
EX_etoh(e),0.000767640650035832,0.0,-0.0009489243404856549,-0.0018900300656733019,3.831023053265285e-06,-0.001889788658813505,-0.002042117778810109,0.0010231503358909743,-0.002042117778810109,-0.0007557294911338636,0.09415027973016497,-0.0007150053002217944
