,harmonic_centrality,eigenvector_centrality,degree_centrality,betweenness_centrality,closeness_centrality,load_centrality,information_centrality,second_order_centrality,current_flow_closeness_centrality,current_flow_betweenness_centrality,approximate_current_flow_betweenness_centrality,communicability_betweenness_centrality
DM_10fthf5glu,0.0006055464978125051,6.937490306974063e-10,-0.0009487666034156929,-0.0009815382573235998,-0.00029756397342151335,-0.0010146499096641086,-0.004607052178471956,0.0009460669721236182,-0.004607052178471956,-0.00035710036246433275,-0.7797946167522738,0.0003292391046197676
DM_10fthf6glu,0.0006055464978125051,6.937307960266624e-10,-0.0009487666034156929,-0.0009815382573235998,-0.00029756397342151335,-0.0010146499096641086,-0.0046070684274459005,0.0009461129567236222,-0.0046070684274459005,-0.00035710221798835944,-0.46942641046815736,0.0003292407686623701
DM_10fthf7glu,0.0006055464978125051,4.0573675775267097e-10,-0.0009487666034156929,-0.0009815382573235998,-0.00029756397342151335,-0.0010146499096641086,-0.006116186487254311,0.0009534675669294208,-0.006116186487254311,-0.00035710222170455715,-0.2093678534640434,0.0003292414410397414
DM_5thf,0.0006055464978125051,6.945814019744329e-10,-0.0009487666034156929,-0.0009861048321728114,-0.00029756397342151335,-0.0010172933295544708,-0.0046069644537463745,0.0009460675942406725,-0.0046069644537463745,-0.0003566343356650234,-0.6018568560283603,0.000329171761183176
DM_6dhf,0.0006055464978125051,6.937169128114369e-10,-0.0009487666034156929,-0.0009815382573235998,-0.00029756397342151335,-0.0010146499096641086,-0.004607079315774779,0.0009460865365750573,-0.004607079315774779,-0.000357102221641263,-0.05460120359723991,0.0003292420852054678
DM_6thf,0.0006055464978125051,6.937312104509975e-10,-0.0009487666034156929,-0.0009815382573235998,-0.00029756397342151335,-0.0010146499096641086,-0.004607068409241233,0.000946112958040722,-0.004607068409241233,-0.00035710123895560625,-0.3873103342304047,0.0003292407624363334
DM_7dhf,0.0006055464978125051,4.0573675775267097e-10,-0.0009487666034156929,-0.0009815382573235998,-0.00029756397342151335,-0.0010146499096641086,-0.006116186487489518,0.0009534674249797083,-0.006116186487489518,-0.0003571022214740782,-0.0649528389775052,0.00032924144129613004
DM_7thf,0.0006055464978125051,4.0573675775267097e-10,-0.0009487666034156929,-0.0009815382573235998,-0.00029756397342151335,-0.0010146499096641086,-0.006116186487080827,0.0009534675669382088,-0.006116186487080827,-0.00035710221661521327,-1.1402663410176974,0.0003292414410079752
DM_ahcys,0.0006188234747496064,9.33655755673664e-10,-0.0009487666034156929,-0.0009989210865687251,-0.0002678282798900209,-0.001039116291746954,-0.0038556653241707296,0.000944699300792841,-0.0038556653241707296,-0.00036556125962376355,-0.13806818272213248,0.00033084647906925793
DM_atp(c),0.002215550378545424,0.016122800976634447,0.00962806218751683,-0.0028410149617712223,0.0005921926058128761,-0.0025767693964812797,0.00102717004479993,0.0013245646298750279,0.00102717004479993,-0.009675426027869229,0.07304187943882946,0.030481074060151544
