,Metabolite ID,Metabolite Name,Dual solution
0,10fthf5glu_c,10-Formyltetrahydrofolate-[Glu](5),-1.7340583749647895e-17
1,10fthf5glu_l,10-Formyltetrahydrofolate-[Glu](5),-1.7340583749647895e-17
2,10fthf5glu_m,10-Formyltetrahydrofolate-[Glu](5),0.0
3,10fthf6glu_c,10-Formyltetrahydrofolate-[Glu](6),0.0
4,10fthf6glu_l,10-Formyltetrahydrofolate-[Glu](6),0.0
5,10fthf6glu_m,10-Formyltetrahydrofolate-[Glu](6),0.0
6,10fthf7glu_c,10-Formyltetrahydrofolate-[Glu](7),0.0
7,10fthf7glu_l,10-Formyltetrahydrofolate-[Glu](7),0.0
8,10fthf7glu_m,10-Formyltetrahydrofolate-[Glu](7),0.0
9,10fthf_c,10-Formyltetrahydrofolate,9.25577887729845e-19
10,10fthf_l,10-Formyltetrahydrofolate,9.25577887729845e-19
11,10fthf_m,10-Formyltetrahydrofolate,9.25577887729845e-19
12,11docrtsl_c,11-Deoxycortisol,0.0
13,11docrtsl_m,11-Deoxycortisol,0.0
14,11docrtsl_r,11-Deoxycortisol,0.0
15,11docrtstrn_c,11-Deoxycorticosterone,0.0
16,11docrtstrn_m,11-Deoxycorticosterone,0.0
17,11docrtstrn_r,11-Deoxycorticosterone,0.0
18,13dampp_c,Trimethylenediaminium,0.0
19,h2o_c,Water,5.0809224399718005e-17
20,o2_c,Oxygen,6.5527042531293e-17
21,bamppald_c,Beta-Aminopropion Aldehyde,0.0
22,h2o2_c,Hydrogen Peroxide,6.982494896479313e-17
23,nh4_c,Ammonium,7.225126635354254e-17
24,h2o_m,Water,2.0816681711721685e-17
25,o2_m,Oxygen,8.897155340275081e-17
26,2425dhvitd2_m,"24R,25-Dihyoxyvitamin D2",0.0
27,h_m,Proton,-6.1297209389627915e-18
28,nadph_m,Nicotinamide Adenine Dinucleotide Phosphate - Reduced,5.551115123125783e-17
29,1a2425thvitd2_m,"1-Alpha,24R,25-Trihydroxyvitamin D2",0.0
30,nadp_m,Nicotinamide Adenine Dinucleotide Phosphate,0.0
31,2425dhvitd3_m,"(24R)-24,25-Dihydroxycalciol",0.0
32,1a25dhvitd2_m,"1-Alpha,25-Dihydroxyvitamin D2",0.0
33,1a25dhvitd3_m,Calcitriol,0.0
34,h_c,Proton,-1.5590731098843668e-17
35,1mncam_c,1-Methylnicotinamide,2.331653564441658e-17
36,1mncam_e,1-Methylnicotinamide,-0.0
37,atp_c,Adenosine Triphosphate,-0.1399682275233928
38,adp_c,Adenosine Diphosphate,-0.09331215168226181
39,pi_c,Orthophosphate,-0.0
40,h_x,Proton,-1.1593574232251334e-16
41,1pipdn2c_x,1-Piperideine-2-Carboxylate,1.902381212215833e-16
42,nadh_x,Nicotinamide Adenine Dinucleotide - Reduced,-0.13996822752339275
43,Lpipecol_x,L-Pipecolic Acid,1.3472696999032548e-16
44,nad_x,Nicotinamide Adenine Dinucleotide,-0.1399682275233929
45,2425dhvitd2_c,"24R,25-Dihyoxyvitamin D2",0.0
46,2425dhvitd2_e,"24R,25-Dihyoxyvitamin D2",0.0
47,2425dhvitd3_c,"(24R)-24,25-Dihydroxycalciol",0.0
48,2425dhvitd3_e,"(24R)-24,25-Dihydroxycalciol",0.0
49,25hvitd2_m,25-Hydroxyvitamin D2,0.0
50,25hvitd3_m,Calcidiol,0.0
51,24nph_e,2-Hydroxy-4-Nitrophenolate,0.0
52,24nph_c,2-Hydroxy-4-Nitrophenolate,0.0
53,25hvitd2_c,25-Hydroxyvitamin D2,0.0
54,25hvitd2_e,25-Hydroxyvitamin D2,0.0
55,25hvitd3_c,Calcidiol,0.0
56,25hvitd3_e,Calcidiol,0.0
57,2amac_c,2-Aminoacrylic Acid,6.743169170344935e-17
58,pyr_c,Pyruvate,4.5989649749624816e-17
59,nadph_c,Nicotinamide Adenine Dinucleotide Phosphate - Reduced,-0.13996822752339289
60,nadp_c,Nicotinamide Adenine Dinucleotide Phosphate,-0.13996822752339297
61,paps_c,3'-Phosphoadenylyl Sulfate,-0.046656075841130844
62,Lcyst_c,L-Cysteic Acid,3.1629997217309343e-18
63,pap_c,"Adenosine 3,5-Bismonophosphate",-0.04665607584113088
64,L2aadp_c,L-2-Aminoadipate,0.0
65,L2aadp_m,L-2-Aminoadipate,2.6494053599487728e-17
66,akg_m,2-Oxoglutarate,-1.654826143113508e-17
67,akg_c,2-Oxoglutarate,-8.018180134961864e-17
68,2dr1p_c,2-Deoxy-D-Ribose 1-Phosphate,1.532784423851618e-17
69,drib_c,2-Deoxy-D-Ribose,0.0
70,nadh_c,Nicotinamide Adenine Dinucleotide - Reduced,-0.13996822752339289
71,nad_c,Nicotinamide Adenine Dinucleotide,-0.1399682275233929
72,2hb_c,2-Hydroxybutyrate,3.512630971326628e-18
73,2obut_c,2-Oxobutanoate,0.0
74,h_e,Proton,-3.984863534331155e-18
75,2hb_e,2-Hydroxybutyrate,0.0
76,hco3_e,Bicarbonate,2.5042848564273597e-17
77,hco3_c,Bicarbonate,2.7597489270692962e-17
78,na1_e,Sodium,-1.0678851615030888e-16
79,na1_c,Sodium,-1.1445243826956697e-16
80,2mcit_c,2-Methylcitrate,4.163336342344337e-17
81,2mcit_e,2-Methylcitrate,-0.0
82,nadh_m,Nicotinamide Adenine Dinucleotide - Reduced,-0.13996822752339286
83,nad_m,Nicotinamide Adenine Dinucleotide,-0.1399682275233929
84,2oxoadp_m,2-Oxoadipate,-1.6548261431135083e-17
85,coa_m,Coenzyme A,-0.04665607584113115
86,co2_m,Carbon Dioxide,-3.735441063560101e-17
87,glutcoa_m,Glutaryl Coenzyme A,-0.04665607584113134
88,2oxoadp_c,2-Oxoadipate,-8.018180134961864e-17
89,34dhmald_c,"3,4-Dihydroxymandelaldehyde",0.0
90,34dhoxpeg_c,"3,4-Dihydroxyphenylethyleneglycol",0.0
91,34dhoxpeg_e,"3,4-Dihydroxyphenylethyleneglycol",0.0
92,34dhpha_c,"(3,4-Dihydroxyphenyl)Acetate",0.0
93,amet_c,S-Adenosyl-L-Methionine,-1.2164844516785246e-17
94,ahcys_c,S-Adenosyl-L-Homocysteine,-3.5481380161201825e-17
95,homoval_c,Homovanillate,-8.018180134961864e-17
96,34dhphe_e,L-Dopa,5.5109768229469246e-17
97,34dhphe_c,L-Dopa,5.5109768229469246e-17
98,34dhpac_c,"3,4-Dihydroxyphenylacetaldehyde",0.0
99,34dhoxmand_c,"3,4-Dihydroxymandelate",0.0
100,34hpp_m,3-(4-Hydroxyphenyl)Pyruvate,-5.551115123125783e-17
101,34hpl_m,3-(4-Hydroxyphenyl)Lactate,0.0
102,co2_c,Carbon Dioxide,-2.7755575615628914e-17
103,34hpp_c,3-(4-Hydroxyphenyl)Pyruvate,-8.492931912687199e-17
