,harmonic_centrality,eigenvector_centrality,degree_centrality,betweenness_centrality,closeness_centrality,load_centrality,information_centrality,second_order_centrality,current_flow_closeness_centrality,current_flow_betweenness_centrality,approximate_current_flow_betweenness_centrality,communicability_betweenness_centrality
DM_10fthf5glu,0.00080362306,-1.7198266e-07,-0.0013679103,-0.0007837658,-0.00064593944,-0.00082145096,-0.006686074,0.0013968545,-0.006686074,-0.00037892754,-0.21212325,-0.00022333676
DM_10fthf6glu,0.00080362306,-1.7198266e-07,-0.0013679103,-0.0007837658,-0.00064593944,-0.00082145096,-0.006686074,0.0013970264,-0.006686074,-0.0003786695,-0.30909044,-0.00022333676
DM_10fthf7glu,0.00080362306,-1.7198266e-07,-0.0013679103,-0.0007837658,-0.00064593944,-0.00082145096,-0.008870649,0.0014217676,-0.008870649,-0.00037385273,0.043952275,-0.00022333676
DM_5thf,0.0008235618,-1.7198266e-07,-0.0013679103,0.017605662,-0.00063174457,0.01803272,-0.0066850376,0.0013915283,-0.0066850376,0.0064553516,-0.029991122,-7.051461e-05
DM_6dhf,0.00080362306,-1.7198266e-07,-0.0013679103,-0.0007837658,-0.00064593944,-0.00082145096,-0.006686074,0.0013968545,-0.006686074,-0.00037798137,0.089045666,-0.00022333676
DM_6thf,0.0008235618,-1.7198266e-07,-0.0013679103,0.017824134,-0.00063174457,0.018275749,-0.0066850376,0.0013918718,-0.0066850376,0.006458091,0.1027802,-6.9998634e-05
DM_7dhf,0.00080362306,-1.7198266e-07,-0.0013679103,-0.0007837658,-0.00064593944,-0.00082145096,-0.008870649,0.0014217676,-0.008870649,-0.00037359467,0.050173488,-0.00022333676
DM_7thf,0.00080362306,-1.7198266e-07,-0.0013679103,-0.00081904186,-0.00064593944,-0.0008576744,-0.008870649,0.0014217676,-0.008870649,-0.00034710273,-0.082513824,-0.00022333676
DM_ahcys,0.00078127754,-1.7198266e-07,-0.0013679103,-0.00066047854,-0.0006775127,-0.0006774267,-0.005597098,0.001392731,-0.005597098,-0.0004732879,-0.43694177,-0.00022402478
DM_atp(c),0.0016289596,-0.0008888221,0.000704269,-0.0024495635,0.0002938884,-0.0023570547,2.6657064e-05,0.0039316644,2.6657064e-05,-0.0041237543,-0.69224286,-0.0011507648
DM_fald,0.0008412658,0.0,-0.0008501027,0.035912946,-0.00070762413,0.03688995,-0.008877052,0.0012822485,-0.008877052,0.013836684,-0.12553395,0.00044038033
DM_for,0.0007573847,0.0,-0.0013679103,0.007959203,-0.00070745207,0.0056862207,-0.008910969,0.0014229703,-0.008910969,1.7198263e-07,-0.5230326,-0.00021637039
DM_pheme(c),0.0008713449,-1.7198266e-07,-0.0008501027,0.037133012,-0.00065333804,0.038377,-0.00886044,0.0012801866,-0.00886044,0.013638734,-0.29244465,0.00045035227
DM_q10(m),0.0011777723,-4.4974164e-05,-0.0013679103,-0.0015991207,-2.2873874e-05,-0.0016326949,-0.0011415564,0.0013592263,-0.0011415564,-0.00064215413,0.05724711,-0.00021989657
DM_thf(c),0.00082940585,-1.7198266e-07,-0.0013679103,-0.0007607938,-0.0006105816,-0.0010258972,-0.0051473253,0.0013808756,-0.0051473253,-0.00014447265,-0.002337503,-0.0002241968
EX_3aib(e),0.0006509794,0.0,-0.0013679103,-0.0002784668,-0.0009460427,-0.00013226071,-0.0101507865,0.0015160901,-0.0101507865,0.00017266025,-0.2641827,-0.00022841104
EX_4abut(e),0.0011525112,-1.3758619e-06,-0.0013679103,-0.0010823488,5.2797706e-05,-0.0011030023,-0.0045488817,0.0013715973,-0.0045488817,-0.0007005694,0.17388846,-0.00019048336
EX_ac(e),0.0011525112,-1.3758619e-06,-0.0013679103,-0.0010823488,5.2797706e-05,-0.0011028302,-0.004549054,0.0013714256,-0.004549054,-0.0006966119,-0.1455322,-0.00019065537
EX_acac(e),0.0011525112,-1.3758619e-06,-0.0013679103,-0.0010863934,5.2797706e-05,-0.001107047,-0.0045485366,0.0013714256,-0.0045485366,-0.0006986767,-0.3643796,-0.00019048336
EX_acald(e),0.00082923396,-1.7198266e-07,-0.0013679103,-0.0012723726,-0.00047844907,-0.0013312438,-0.0051573357,0.0013803601,-0.0051573357,-0.0007291327,0.022412179,-0.0002031258
EX_ala-B(e),0.0011377324,1.8918079e-06,-0.0008501027,0.036202963,-7.808224e-05,0.03715413,-0.0045377538,0.0013583672,-0.0045377538,0.013221792,-0.033758428,0.00040840099
EX_arg-L(e),0.0009125952,-1.7198266e-07,-0.0013679103,-0.0014889339,-0.00029842075,-0.0012506838,-0.0029488164,0.0013953082,-0.0029488164,-0.00068181433,-0.22956184,-0.00021877851
EX_asn-L(e),0.00095229753,-1.7198266e-07,-0.0013679103,-0.0010815742,-0.0001816251,-0.0006218513,-0.0047934577,0.0013755491,-0.0047934577,-0.00048352423,-0.3133986,-0.00019246142
EX_bhb(e),0.0011525112,-1.3758619e-06,-0.0013679103,-0.0010823488,5.2797706e-05,-0.0011028302,-0.004549054,0.0013714256,-0.004549054,-0.0006966119,-0.31718743,-0.00019065537
EX_btn(e),0.0011525112,-2.4937506e-06,-0.0013679103,-0.0010823488,5.2797706e-05,-0.0011028302,-0.002360414,0.0013626628,-0.002360414,-0.00069712807,-0.06498759,-0.00019065537
