,betweenness_centrality,closeness_centrality,eigenvector_centrality,global_reaching_centrality,harmonic_centrality,information_centrality,load_centrality,pagerank
10FTHF5GLUtl,0.0003909954844923799,-6.148343572933448e-05,0.0005266674760458227,-0.00014197478508593718,-0.00026776574268855307,0.00010543463248340268,0.0003905195489007833,9.242484455433883e-05
10FTHF5GLUtm,0.0003900563233671481,-5.854744691092067e-05,0.0005871532708128123,-0.00014197478508593718,-0.00026105669997023603,0.00010535907012404523,0.0003900522177008863,9.164876728189111e-05
10FTHF6GLUtl,0.0003907221694684717,8.647962459473385e-07,0.0008712948995285432,-0.00014197478508593718,-0.00018265480241164608,0.00010551147999732333,0.0003904421535997104,9.243714032708183e-05
10FTHF6GLUtm,0.0003900296615676111,4.4388253599152826e-06,0.0009109031050513019,-0.00014197478508593718,-0.00017870444712880782,0.00010543741426092538,0.00039002299261308777,9.168155211750465e-05
10FTHF7GLUtl,0.00039020818568702995,8.204883372961817e-07,0.0008712948952145322,-0.00014197478508593718,-0.0001827589256500384,0.00013308698749497114,0.0003901101019794019,0.00010907897202606946
10FTHF7GLUtm,0.00039002485994002115,4.3928858622677036e-06,0.0009109031059556987,-0.00014197478508593718,-0.00017880411400388862,0.0001330402036313185,0.00039002299261308777,0.00010870118384185147
10FTHFtl,0.000393984529477234,-6.108064786863061e-05,0.0003908663252888184,-0.00014197478508593718,-0.0002667425833706937,8.06933012126726e-05,0.0003908583812960856,8.543938132836268e-05
10FTHFtm,0.0003731763324804716,-5.812022881819885e-05,0.0004259245590135216,-0.00014197478508593718,-0.0002599825280753856,6.981143956769001e-05,0.00034845045498749396,8.948883163367358e-05
11DOCRTSLtm,0.0005595197163774328,-3.1523211863196186e-05,0.0014248078013961395,-0.00014197478508593718,-0.00021824861321939786,0.00015477131167287747,0.00041982865443992285,0.00013025371165138196
11DOCRTSLtr,0.00039002299261340804,-3.706494305070692e-05,0.0007748921665367616,-0.00014197478508593718,-0.0002283772607323959,0.0001547729223203513,0.00039002299261340804,0.00013038882204188408
11DOCRTSTRNtm,0.0006570170097217988,-3.149850980985268e-05,0.0014248129990392395,-0.00014197478508593718,-0.00021816940284964377,0.00013580135722400372,0.00042905537764773775,0.00013045852182363591
11DOCRTSTRNtr,0.00039002299261308777,-3.702459142690703e-05,0.0008021546413556094,-0.00014197478508593718,-0.00022832665927945026,0.0001512602286220796,0.00039002299261308777,0.00010874701320089507
13DAMPPOX,0.0021408311652102935,-0.00010753309810818895,-0.0011260208761159508,-0.00014197478508593718,-0.00038213207029499566,-1.5086392570739927e-05,0.0021331984053997513,0.00022311970022487827
1a_24_25VITD2Hm,0.00024145930352186302,-4.7799556763357065e-05,0.001077223976481618,-0.00014197478508593718,-0.00022397807518016602,-4.98433042624903e-06,0.0002446041451540357,0.00027708022542529114
1a_24_25VITD3Hm,0.0007951034525882316,-4.7799556763357065e-05,0.0010772197883793142,-0.00014197478508593718,-0.00022397807518016602,-4.985186673878569e-06,0.0006169819274181977,0.0002597689615823215
1a_25VITD2Hm,0.0009156981995184054,-4.782208143936152e-05,0.0010772231782361994,-0.00014197478508593718,-0.00022403024614718885,-4.9828277207541775e-06,0.0007067943666582804,0.00023380126741995666
1a_25VITD3Hm,0.0009156981995184054,-4.782208143936152e-05,0.0010772231782361994,-0.00014197478508593718,-0.00022403024614718885,-4.9828277207541775e-06,0.0007067943666582804,0.00023380126741995666
1MNCAMti,-0.00023665553646766101,-9.568361271847086e-05,-0.0001003433937592705,-0.00014197478508593718,-0.0003311325951592861,-8.997652507585272e-06,-0.0002017338541128004,0.000390178876340789
1PPDCRp,0.0005033408092911286,2.6988461814414486e-06,0.0009541950405513102,-0.00014197478508593718,-0.0001753428954911881,-1.0832585328800062e-06,0.00039139386285268755,0.00017058009808185545
24_25DHVITD2t,0.0001949983163371389,-2.7169897793509512e-05,0.001790249258909538,-0.00014197478508593718,-0.00021785094241001557,0.0001749343790144626,0.0001949983163371389,0.00023825202109019236
24_25DHVITD2tm,0.00019497194913576784,-3.463650421201609e-05,0.0014248143609645353,-0.00014197478508593718,-0.00022199528715115345,0.00014473731387621054,0.00019497194913576784,0.00013045852182363591
24_25DHVITD3t,0.0001949983163371389,-6.355744148421379e-05,0.00018320874726731557,-0.00014197478508593718,-0.0002730963223326517,0.00014825659694517565,0.0001949983163371389,0.00022101498658010248
24_25DHVITD3tm,0.00039002299261308777,-5.9112939824362125e-05,0.00039024749073934736,-0.00014197478508593718,-0.0002624370226963714,0.00010852614649634542,0.00039002299261308777,0.00010909568925973721
24_25VITD2Hm,0.0002177343107143859,-4.776200031085704e-05,0.0010772263741487393,-0.00014197478508593718,-0.00022387959628755995,-4.988295953295019e-06,0.00021971602356832352,0.0003203579189757369
24_25VITD3Hm,0.0007009763574895091,-4.776200031085704e-05,0.0010771862593062002,-0.00014197478508593718,-0.00022387959628755995,-4.990624193790847e-06,0.0005614905039090542,0.00028337581365013136
24NPHte,0.0001949983163371389,-6.36053252273947e-05,0.0001827337081329191,-0.00014197478508593718,-0.00027326875122217004,0.00016586488407173677,0.0001949983163371389,0.0001950469351228042
25HVITD2t,0.0001949719496697069,-2.712595854019915e-05,0.0017908571265572207,-0.00014197478508593718,-0.00021762091289018428,0.00014594855172532593,0.0001949719496697069,0.00020579212696757529
25HVITD2tin,0.0001949719496697069,-2.712595854019915e-05,0.0017908571265572207,-0.00014197478508593718,-0.00021762091289018428,0.00014594855172532593,0.0001949719496697069,0.00020579212696757529
25HVITD2tin_m,0.00019491919316101878,-3.45949019635926e-05,0.0014250955319958123,-0.00014197478508593718,-0.00022179392822739083,0.00011213103807445438,0.00019491919316101878,0.0001523040931666454
25HVITD2tm,0.00019491919316101878,-3.45949019635926e-05,0.0014250955319958123,-0.00014197478508593718,-0.00022179392822739083,0.00011213103807445438,0.00019491919316101878,0.0001523040931666454
25HVITD3t,0.0001949719496697069,-6.346156921937557e-05,0.000183576262963442,-0.00014197478508593718,-0.00027268337946549876,8.684444712442354e-05,0.0001949719496697069,0.000170187678743016
25HVITD3tin,0.0001949719496697069,-6.346156921937557e-05,0.000183576262963442,-0.00014197478508593718,-0.00027268337946549876,8.684444712442354e-05,0.0001949719496697069,0.000170187678743016
25HVITD3tin_m,0.00039002299261308777,-5.904250967111795e-05,0.0002610603217589012,-0.00014197478508593718,-0.00026210327286995766,6.652270199560167e-05,0.00039002299261308777,0.00011050832023560181
25HVITD3tm,0.00039002299261308777,-5.904250967111795e-05,0.0002610603217589012,-0.00014197478508593718,-0.00026210327286995766,6.652270199560167e-05,0.00039002299261308777,0.00011050832023560181
25VITD2Hm,0.00023698782399312907,-4.778453648167137e-05,0.0010772255759859087,-0.00014197478508593718,-0.00022393172138220708,-4.9867991762377865e-06,0.0002399889369608237,0.0002770805488352496
25VITD3Hm,0.0007421812405907016,-4.778453648167137e-05,0.001077189648690691,-0.00014197478508593718,-0.00022393172138220708,-4.988276663475287e-06,0.0006032503452280657,0.00025740863882722293
2AMACHYD,-0.0010151687789300683,-0.00010632349276668606,-0.0010837071808318388,-0.00014197478508593718,-0.00037960164955397384,-1.580236319394507e-05,-0.0008002101913594006,0.00019601080232156478
2AMACSULT,0.0005265124747228559,-8.591566127299361e-06,0.0006113275185473378,-0.00014197478508593718,-0.00017803869748651247,-6.006820368077246e-06,0.0005278551891310586,0.0001974800655086569
2AMADPTm,0.00035002270666527005,-4.880638822528856e-05,0.00018604222675652258,-0.00014197478508593718,-0.00024032767504638075,6.688647482282414e-06,0.00022765564397361966,0.00016638790355729945
2DR1PP,-0.0008126674542284983,-0.00010635073625315099,-0.0010600154360668802,-0.00014197478508593718,-0.00037924408078842265,-1.5525150439637e-05,-0.0006956321686068335,0.00022703700883289096
2HBO,0.00037606046241261585,-8.410752543672164e-06,0.0006141408496326371,-0.00014197478508593718,-0.00017784117583859364,-6.010363701219405e-06,0.0003867054851623621,0.00022491160951689727
2HBt2,0.00034504975791567867,-5.879217785420526e-06,0.0006151458803810313,-0.00014197478508593718,-0.00017576122965539545,-6.040601503488572e-06,0.00037027125548647554,0.00027043240332990493
2HCO3_NAt,0.0007899229542372059,-3.9048144170619605e-05,-0.00047337674824387665,-0.00014197478508593718,-0.00021308020532366978,-5.443687671931287e-06,0.0005965912163092978,0.0002907582578527138
2MCITt,0.0001949983163371389,-6.208003345552081e-05,0.0002133686235899184,-0.00014197478508593718,-0.0002706981934231051,0.00016589064611959584,0.0001949983163371389,0.0001950445056433081
2OXOADOXm,0.0002703388408683495,-5.0692735687616345e-05,0.0011158000065211856,-0.00014197478508593718,-0.0002269821092614835,-4.994881234476082e-06,0.00015418926720510534,0.00025400331196325323
2OXOADPTm,0.00023655325585115157,-4.8910012700196225e-05,0.0001940860731959829,-0.00014197478508593718,-0.00024048791931439143,6.669146876772307e-06,0.00017289286063707605,0.00015039185865321701
