,eigenvector_centrality,pagerank,katz_centrality,global_reaching_centrality,closeness_centrality,harmonic_centrality,information_centrality,load_centrality,betweenness_centrality
10FTHF5GLUtl,3.967210902300146e-05,0.0001351427254190509,0.01101235105792649,0.2109971827353095,0.34234150856085144,2693.699999999898,0.00036029635141498996,4.678273101876741e-06,3.741765740664438e-06
10FTHF5GLUtm,4.251155042852949e-05,0.00013514264464409585,0.01101245548696682,0.2109971827353095,0.3498699456136202,2762.9333333333116,0.0003606142139477031,5.258525702121378e-06,8.412424387412144e-07
10FTHF6GLUtl,3.7729107366746906e-05,0.00013514272669921688,0.011012319044084243,0.2109971827353095,0.33481173062997827,2632.659523809383,0.00036028996200706474,6.532612283396942e-06,5.216469756077683e-06
10FTHF6GLUtm,4.052968551979174e-05,0.00013514264805675183,0.011012415820243813,0.2109971827353095,0.3409216589861751,2690.8595238094053,0.00036060177199571475,4.685700298388498e-06,5.957776592006527e-07
10FTHF7GLUtl,1.886453720263223e-05,0.00013514445881295935,0.011009895107858061,0.2109971827353095,0.334735984797068,2631.1595238093823,0.00024933796635695846,6.286846082478913e-06,4.926394138457131e-06
10FTHF7GLUtm,2.026482583188174e-05,0.00013514441949172683,0.011009943495937568,0.2109971827353095,0.3408431237042156,2689.359523809404,0.0002495334406377895,6.4022984059049765e-06,5.319500543822622e-07
10FTHFtl,8.516019168168965e-05,0.00013514199836499026,0.011016105867379718,0.2109971827353095,0.34337433279183105,2704.0333333332405,0.00045973259228895776,7.088136636255558e-06,3.1339171560849266e-06
10FTHFtm,8.81548661739738e-05,0.0001351424198347812,0.011018451368818028,0.2109971827353095,0.3509654158166896,2774.349999999991,0.0005036377625604726,6.477383452162839e-06,1.4445932168473945e-06
11DOCRTSLtm,1.3733873582378953e-06,0.00013514666275560303,0.011008646950186093,0.2109971827353095,0.2794439827755534,2203.2761904760505,0.00016210595395169634,3.9151488728071114e-05,3.495109645599508e-05
11DOCRTSLtr,3.794078728264868e-08,0.00013514667681850315,0.01100861540839616,0.2109971827353095,0.26997044119257013,2105.5523809524107,0.0001620010758920765,2.1677595201207358e-05,1.9506420285203503e-05
11DOCRTSTRNtm,2.7467195122646033e-06,0.00013514668407317386,0.011009822614216666,0.2109971827353095,0.27948621080468455,2204.0761904760498,0.0002384654131882841,3.9573626866906306e-05,3.795779494563339e-05
11DOCRTSTRNtr,3.8987974216206705e-08,0.00013514442426185134,0.011008615525962497,0.2109971827353095,0.2700394218134034,2106.019047619077,0.0001761325202694277,2.1171907618473984e-05,1.9432236305985494e-05
13DAMPPOX,0.014703206668625088,0.00013515632852006108,0.012223266473894899,0.2109971827353095,0.448526736995271,3774.8833333336115,0.0008076565810434206,0.00010940420164265922,0.00011863308119099139
1a_24_25VITD2Hm,0.0018680920998019185,0.0001351619460516881,0.011755540483383406,0.2109971827353095,0.37742972297331767,3220.366666667029,0.0008049676276224302,0.00044874516123393355,0.0004331236144797722
1a_24_25VITD3Hm,0.0018681078740223121,0.00013516014400636665,0.011755540733197394,0.2109971827353095,0.37742972297331767,3220.366666667029,0.0008049689430760973,6.35397906519148e-05,4.338112028074243e-05
1a_25VITD2Hm,0.0018680900071406793,0.0001351574409046009,0.011754439611209764,0.2109971827353095,0.3773719649051214,3219.6166666670283,0.0008049585808639492,4.366872957738481e-05,2.8047182823221495e-05
1a_25VITD3Hm,0.0018680900071406793,0.0001351574409046009,0.011754439611209764,0.2109971827353095,0.3773719649051214,3219.6166666670283,0.0008049585808639822,4.366872957738481e-05,2.8047182823221495e-05
1MNCAMti,0.02895436257196247,0.0001351737204536078,0.01326802618667946,0.2109971827353095,0.5092936802973977,4356.3499999998585,0.0008099887117737574,0.00039734138313142963,0.00043916868389176476
1PPDCRp,7.096486190590199e-05,0.00013515086017951058,0.011251285782953013,0.2109971827353095,0.3379471015485816,2742.449999999886,0.0007881691276179998,1.660181251523678e-06,1.2346326678923217e-06
24_25DHVITD2t,2.0943923088270963e-09,0.00013515790422129117,0.01100857215397799,0.2109971827353095,0.2151644708140651,1655.4738095240177,8.111653968029213e-05,0.0002703433360367665,0.0002703433360367669
24_25DHVITD2tm,2.746688887349359e-06,0.00013514668407327992,0.011009822609959535,0.2109971827353095,0.27412183192530015,2166.0880952380344,0.00020271878141919173,0.0005406135766737664,0.0005406135766737672
24_25DHVITD3t,2.056919521839081e-05,0.00013515610996130375,0.011009894776861012,0.2109971827353095,0.3370233702337023,2641.116666666551,0.0001872359007457361,0.0002703433360367665,0.0002703433360367668
24_25DHVITD3tm,2.4688332016002234e-05,0.00013514446055249663,0.011012321010406938,0.2109971827353095,0.3484199124005086,2748.399999999962,0.0003477029811650386,1.570758598387649e-05,4.883119869763954e-06
24_25VITD2Hm,0.0018680983830038416,0.00013516645123223974,0.011757742903363443,0.2109971827353095,0.3775260257195346,3221.783333333697,0.0008049869132727665,0.00089913464946238,0.0008835131027082071
24_25VITD3Hm,0.001868234230275811,0.00013516260140814388,0.011757744446434282,0.2109971827353095,0.3775260257195346,3221.783333333697,0.0008049913931356982,8.756538373581213e-05,6.26969800610157e-05
24NPHte,2.05511456777716e-05,0.0001351534069113016,0.011008793104057111,0.2109971827353095,0.3369005874584453,2639.449999999884,0.00011587910806785849,0.0002703433360367663,0.0002703433360367668
25HVITD2t,6.293608404492496e-09,0.00013515452538631352,0.011010774999568897,0.2109971827353095,0.2152208064234596,1657.2238095240177,0.00019785734763682318,0.00013515339416844167,0.00013515339416844175
25HVITD2tin,6.293608404492496e-09,0.00013515452538631352,0.011010774999568897,0.2109971827353095,0.2152208064234596,1657.2238095240177,0.0001978573476368233,0.00013515339416844167,0.00013515339416844175
25HVITD2tin_m,4.123190534232086e-06,0.00013514895788025455,0.011013201112196684,0.2109971827353095,0.27419295059486304,2168.0547619046984,0.00033394596906083433,0.00040535053940567514,0.0004053505394056754
25HVITD2tm,4.123190534232086e-06,0.00013514895788025455,0.011013201112196684,0.2109971827353095,0.27419295059486304,2168.0547619046984,0.0003339459690608339,0.00040535053940567514,0.0004053505394056754
25HVITD3t,8.239078314100651e-05,0.0001351508193314226,0.011016066314416597,0.2109971827353095,0.3372692044677456,2645.116666666552,0.00043434391672534273,0.0001351533941684415,0.00013515339416844165
25HVITD3tin,8.239078314100651e-05,0.0001351508193314226,0.011016066314416597,0.2109971827353095,0.3372692044677456,2645.116666666552,0.00043434391672534273,0.0001351533941684415,0.00013515339416844165
25HVITD3tin_m,8.788027172070028e-05,0.0001351446075813674,0.011019668084194554,0.2109971827353095,0.3486005089058524,2751.8999999999646,0.0005166198338673168,8.901337224729437e-06,2.770186613470945e-06
25HVITD3tm,8.788027172070028e-05,0.00013514460758136743,0.011019668084194554,0.2109971827353095,0.3486005089058524,2751.8999999999646,0.0005166198338673178,8.901337224729437e-06,2.770186613470945e-06
25VITD2Hm,0.001868096290342603,0.00013516194608536512,0.0117566420311898,0.2109971827353095,0.37746823817541714,3221.033333333696,0.0008049779061922078,0.0004935100023077186,0.0004778884555535592
25VITD3Hm,0.0018682163633941783,0.00013515989830659077,0.01175664332444665,0.2109971827353095,0.37746823817541714,3221.033333333696,0.0008049810894109634,6.765777496139907e-05,4.7326494903611494e-05
