ids,formula,flux,sensitivity,baseline_centrality,preturbed_centrality,log2_centrality_contribution
A_Exchange,A[e] <-- ,-3.2999999999999994,0.0,8.574019990692939,3.9991425460691903,1.1002810751490937
A_Uptake,A[e] --> A[c],3.3,2.1428571428571432,6.56233109150247,3.7806399493885317,0.7955779241880403
r1,A[c] + atp[c] --> B[c],3.3,-2.220446049250313e-16,3.9162527296399694,2.708868316657888,0.531783607118692
r2,B[c] --> C[c] + 2 atp[c] + 0.5 nadh[c],3.3,0.0,3.7957371852667046,2.4729297482146504,0.6181588486499288
r3,C[c] --> 4 nadh[c],1.1547619047619042,0.0,4.134524049747174,2.5113021574009378,0.7192856388405334
r5,C[c] + 2 nadh[c] <=> 3 E[c],-0.7333333333333334,-0.0,3.916252729639969,2.708868316657888,0.531783607118692
OxPhox,6 nadh[c] + o2[c] --> 2 atp[c],1.289285714285714,1.1102230246251565e-16,3.628250448149726,2.640172458167132,0.45864187392400757
ATP_demand,atp[c] --> ,3.0,-0.8571428571428572,4.134524049747174,2.5113021574009373,0.7192856388405336
C_sink,C[c] + atp[c] --> ,2.878571428571429,0.0,3.7957371852667046,2.4729297482146504,0.6181588486499288
O2_Exchange,o2[e] <-- ,-1.289285714285714,0.0,8.452321343302426,3.9445097427857747,1.0995016162262077
O2_Uptake,o2[e] --> o2[c],1.289285714285714,0.0,6.408560737610983,3.7062995781274957,0.7900208881934982
E_Exchange,E[e] <=> ,-2.2,0.0,8.574019990692932,3.999142546069194,1.1002810751490912
E_Uptake,E[e] <=> E[c],2.2,0.5714285714285714,6.56233109150247,3.780639949388533,0.7955779241880397
