ID,Module
"1a,24,25VITD2Hm",Hyper
"1a,24,25VITD3Hm",Hyper
"1a,25VITD2Hm",Hyper
"1a,25VITD3Hm",Hyper
"24,25VITD2Hm",Hyper
"24,25VITD3Hm",Hyper
25VITD2Hm,Hyper
25VITD3Hm,Hyper
3AIBtm,Hyper
3DPHBH1,Hyper
3DPHBH2,Hyper
AASAD3m,Hyper
ADPRDPm,Hyper
AKGDm,Hyper
ALCD2yf,Hyper
ALDD2xm,Hyper
ALDD2y,Hyper
ALR,Hyper
ASNt4,Hyper
ASPGLUm,Hyper
ATPtm,Hyper
CO2t,Hyper
COQ7m,Hyper
CYSGLUexR,Hyper
CYSO,Hyper
DGNSKm,Hyper
DURIK1m,Hyper
ETF,Hyper
ETOHMO,Hyper
FPGS8m,Hyper
GCC2bim,Hyper
GCCbim,Hyper
GLCt1r,Hyper
GLCt2r,Hyper
GLNS,Hyper
GLUDym,Hyper
GLUNm,Hyper
GLUVESSEC,Hyper
GLUt6,Hyper
GLYOXm,Hyper
GND,Hyper
GTHOm,Hyper
H2Ot,Hyper
HMGLm,Hyper
Htm,Hyper
ICDHxm,Hyper
L-LACtm,Hyper
LCADi_Dm,Hyper
LDH_L,Hyper
LSOProd,Hyper
MMCDm,Hyper
MMSAD1m,Hyper
MMSAD3m,Hyper
NTD5m,Hyper
O2t,Hyper
P45011A1m,Hyper
PCm,Hyper
PRO1xm,Hyper
PROD2m,Hyper
PSFLIP,Hyper
PSFLIPm,Hyper
SERGLNexR,Hyper
SERt4,Hyper
SPODMm,Hyper
SSALxm,Hyper
GLGNS1,Hyper
LacLtm,Hyper
GLNtN1,Hyper
PCREATtmdiffir,Hyper
ASNt4_Int,Hyper
BTNt2_Int,Hyper
BTNt4i_Int,Hyper
CO2t_Int,Hyper
CYSGLUexR_Int,Hyper
GLCt2r_Int,Hyper
GLUt6_Int,Hyper
Kt1r_Int,Hyper
L-LACt2r_Int,Hyper
NH4t3r_Int,Hyper
NaKt_Int,Hyper
O2t_Int,Hyper
ORNtiDF_Int,Hyper
PEFLIP_Int,Hyper
PSFLIP_Int,Hyper
PYRt2r_Int,Hyper
SERGLNexR_Int,Hyper
SERt4_Int,Hyper
GLNtN1_Int,Hyper
3DPHBH2_Neuron,Hyper
AACOAT_Neuron,Hyper
ACACt2_Neuron,Hyper
ACOAD1fm_Neuron,Hyper
ACOAD8m_Neuron,Hyper
ACONTm_Neuron,Hyper
ACSm_Neuron,Hyper
ADK1_Neuron,Hyper
ADPRDPm_Neuron,Hyper
AKGMALtm_Neuron,Hyper
ALCD2if_Neuron,Hyper
ALCD2yf_Neuron,Hyper
ALDD2x_Neuron,Hyper
ALR_Neuron,Hyper
APOCFm_Neuron,Hyper
ASNt4_Neuron,Hyper
ASPGLUm_Neuron,Hyper
ASPTA_Neuron,Hyper
ASPTAm_Neuron,Hyper
ATPtm_Neuron,Hyper
BHBt_Neuron,Hyper
C160CPT2_Neuron,Hyper
C204CPT2_Neuron,Hyper
C226CPT2_Neuron,Hyper
CO2t_Neuron,Hyper
CO2tm_Neuron,Hyper
COQ3m_Neuron,Hyper
CSm_Neuron,Hyper
DURIK1m_Neuron,Hyper
DUTPDPm_Neuron,Hyper
ETF_Neuron,Hyper
ETFQO_Neuron,Hyper
ETOHMO_Neuron,Hyper
FUMm_Neuron,Hyper
GLNtm_Neuron,Hyper
GLUDym_Neuron,Hyper
GLUNm_Neuron,Hyper
GLUVESSEC_Neuron,Hyper
GLUt2m_Neuron,Hyper
GLYCLTDym_Neuron,Hyper
GLYKm_Neuron,Hyper
GLYOXm_Neuron,Hyper
GTHOm_Neuron,Hyper
H2Otm_Neuron,Hyper
HMGCOASim_Neuron,Hyper
HMGLm_Neuron,Hyper
Htm_Neuron,Hyper
ICDHxm_Neuron,Hyper
ICDHyrm_Neuron,Hyper
Kt1r_Neuron,Hyper
L-LACt2r_Neuron,Hyper
L-LACtm_Neuron,Hyper
LDH_L_Neuron,Hyper
LSOProd_Neuron,Hyper
MDH_Neuron,Hyper
MDHm_Neuron,Hyper
MMSAD1m_Neuron,Hyper
NH4t3r_Neuron,Hyper
NMNATm_Neuron,Hyper
NaKt_Neuron,Hyper
O2t_Neuron,Hyper
O2tm_Neuron,Hyper
OCOAT1m_Neuron,Hyper
P45011A1m_Neuron,Hyper
PCFLOPm_Neuron,Hyper
PDHm_Neuron,Hyper
PEFLIP_Neuron,Hyper
PEFLIPm_Neuron,Hyper
PIt2m_Neuron,Hyper
PNTKm_Neuron,Hyper
PPAt_Neuron,Hyper
PROD2m_Neuron,Hyper
PSFLIP_Neuron,Hyper
PSFLIPm_Neuron,Hyper
PYRt2m_Neuron,Hyper
SUCD1m_Neuron,Hyper
SUCOAS1m_Neuron,Hyper
SUCOASm_Neuron,Hyper
THD1m_Neuron,Hyper
TMDK1m_Neuron,Hyper
DAKm_Neuron,Hyper
DTKm_Neuron,Hyper
DCKm_Neuron,Hyper
DGKm_Neuron,Hyper
NH3tm_Neuron,Hyper
NDPK1_Neuron,Hyper
GLNtN1_Neuron,Hyper
CKc_Neuron,Hyper
CREATtmdiffir_Neuron,Hyper
NaEX_Neuron,Hyper
GLCt1r_Neuron,Hyper
10FTHF5GLUtm,Central
10FTHF6GLUtm,Central
10FTHF7GLUtm,Central
10FTHFtm,Central
25HVITD2t,Central
25HVITD2tin,Central
