ID,Centrality,Optimality,recon3_genes,Lewis2010_genes,VMH_gene_IDs,KEGG_genes,Name,Reaction,Node type
10FTHF5GLUtm,0.029943024198451646,0,,,NA,NA,"5-glutamyl-10FTHF transport, mitochondrial Astrocyte",10fthf5glu[mA] --> 10fthf5glu[cA],Astrocyte
10FTHF6GLUtm,0.029942834175851085,0,,,NA,NA,"6-glutamyl-10FTHF transport, mitochondrial Astrocyte",10fthf6glu[mA] --> 10fthf6glu[cA],Astrocyte
10FTHF7GLUtm,0.039344896715871464,0,,,NA,NA,"7-glutamyl-10FTHF transport, mitochondrial Astrocyte",10fthf7glu[mA] --> 10fthf7glu[cA],Astrocyte
10FTHFtm,0.005784951481743322,0,,,NA,NA,10-Formyltetrahydrofolate mitochondrial transport via diffusion Astrocyte,10fthf[cA] <=> 10fthf[mA],Astrocyte
1a2425VITD2Hm,0.7242756702738036,0.2545083847575639,,1594,NA,NA,"1-alpha-Vitamin D-24,25-hydroxylase (D2) Astrocyte",2425dhvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd2[mA] + h2o[mA] + nadp[mA],Astrocyte
1a2425VITD3Hm,0.724275670274329,0.2545083847575639,NA,1594,NA,NA,"1-alpha-Vitamin D-24,25-hydroxylase (D3) Astrocyte",2425dhvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd3[mA] + h2o[mA] + nadp[mA],Astrocyte
1a25VITD2Hm,0.7242756702753971,0.2545083847575639,,1591,NA,NA,"1-alpha,24R,25-Vitamin D-hydroxylase (D2) Astrocyte",1a25dhvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd2[mA] + h2o[mA] + nadp[mA],Astrocyte
1a25VITD3Hm,0.7242756702730215,0.2545083847575639,NA,1591,NA,NA,"1-alpha,24R,25-Vitamin D-hydroxylase (D3) Astrocyte",1a25dhvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd3[mA] + h2o[mA] + nadp[mA],Astrocyte
2425VITD2Hm,0.7233015290811406,0.39035911036230603,1591,"1594, 1591",NA,NA,24R-Vitamin D-25-hydroxylase (D2) Astrocyte,25hvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 2425dhvitd2[mA] + h2o[mA] + nadp[mA],Astrocyte
2425VITD3Hm,0.7233015768465058,0.39035911036230603,1591,"1594, 1591",NA,NA,24R-Vitamin D-25-hydroxylase (D3) Astrocyte,25hvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 2425dhvitd3[mA] + h2o[mA] + nadp[mA],Astrocyte
25HVITD2t,0.00653166705374239,2.2778964026779857e-16,,,NA,NA,25-hydroxyvitamin D2 transport from cytoplasm Astrocyte,25hvitd2[cA] --> 25hvitd2[e],Astrocyte
25HVITD2tin,0.006531667053935406,1.1389482013389929e-16,,,NA,NA,25-hydroxyvitamin D2 transport in cytoplasm Astrocyte,25hvitd2[e] --> 25hvitd2[cA],Astrocyte
25HVITD2tinm,0.008787579034871916,2.2778964026779857e-16,,,NA,NA,25-hydroxyvitamin D2 transport in mitochondria Astrocyte,25hvitd2[cA] --> 25hvitd2[mA],Astrocyte
25HVITD2tinm,0.008787579034871916,2.2778964026779857e-16,,,NA,NA,25-hydroxyvitamin D2 transport in mitochondria Astrocyte,25hvitd2[cA] --> 25hvitd2[mA],Astrocyte
25HVITD2tm,0.008787579034783877,1.1389482013389929e-16,,,NA,NA,25-hydroxyvitamin D2 transport from mitochondria Astrocyte,25hvitd2[mA] --> 25hvitd2[cA],Astrocyte
25HVITD3t,0.006531656279981613,2.2778964026779857e-16,,,NA,NA,25-hydroxyvitamin D3 transport from cytoplasm Astrocyte,25hvitd3[cA] --> 25hvitd3[e],Astrocyte
25HVITD3tin,0.006531656279741564,1.1389482013389929e-16,,,NA,NA,25-hydroxyvitamin D3 transport in cytoplasm Astrocyte,25hvitd3[e] --> 25hvitd3[cA],Astrocyte
25HVITD3tinm,0.008787904655763644,2.2778964026779857e-16,,,NA,NA,25-hydroxyvitamin D3 transport in mitochondria Astrocyte,25hvitd3[cA] --> 25hvitd3[mA],Astrocyte
25HVITD3tinm,0.008787904655763644,2.2778964026779857e-16,,,NA,NA,25-hydroxyvitamin D3 transport in mitochondria Astrocyte,25hvitd3[cA] --> 25hvitd3[mA],Astrocyte
25HVITD3tm,0.008787904655526018,1.1389482013389929e-16,,,NA,NA,25-hydroxyvitamin D3 transport from mitochondria Astrocyte,25hvitd3[mA] --> 25hvitd3[cA],Astrocyte
25VITD2Hm,0.7233015290846315,0.39035911036230603,"1591, 1594","1594, 1591",NA,NA,1-alpha-Vitamin D-25-hydroxylase (D2) Astrocyte,25hvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a25dhvitd2[mA] + h2o[mA] + nadp[mA],Astrocyte
25VITD3Hm,0.7233015768483442,0.39035911036230603,"1591, 1594","1594, 1591",NA,NA,1-alpha-Vitamin D-25-hydroxylase (D3) Astrocyte,25hvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a25dhvitd3[mA] + h2o[mA] + nadp[mA],Astrocyte
2AMADPTm,0.00741538657331354,0,89874,89874,NA,NA,L-2-aminoadipate shuttle (cytosol/mitochondria) Astrocyte,L2aadp[cA] + akg[mA] <=> L2aadp[mA] + akg[cA],Astrocyte
