ID,Centrality,Optimality,recon3_genes,Lewis2010_genes,VMH_gene_IDs,KEGG_genes,Name,Reaction,Node type
10FTHF5GLUtmNeuron,0.03133301751579723,0,,,NA,NA,"5-glutamyl-10FTHF transport, mitochondrial Neuron",10fthf5glu[mN] --> 10fthf5glu[cN],Neuron
10FTHF6GLUtmNeuron,0.031332829679187754,0,,,NA,NA,"6-glutamyl-10FTHF transport, mitochondrial Neuron",10fthf6glu[mN] --> 10fthf6glu[cN],Neuron
10FTHF7GLUtmNeuron,0.04072785025875881,0,,,NA,NA,"7-glutamyl-10FTHF transport, mitochondrial Neuron",10fthf7glu[mN] --> 10fthf7glu[cN],Neuron
10FTHFtmNeuron,0.0068345107206594004,0,,,NA,NA,10-Formyltetrahydrofolate mitochondrial transport via diffusion Neuron,10fthf[cN] <=> 10fthf[mN],Neuron
1a2425VITD2HmNeuron,0.5213036093084393,0,,1594,NA,NA,"1-alpha-Vitamin D-24,25-hydroxylase (D2) Neuron",2425dhvitd2[mN] + h[mN] + nadph[mN] + o2[mN] --> 1a2425thvitd2[mN] + h2o[mN] + nadp[mN],Neuron
1a2425VITD3HmNeuron,0.5213036093062093,5.22017925613705e-17,NA,1594,NA,NA,"1-alpha-Vitamin D-24,25-hydroxylase (D3) Neuron",2425dhvitd3[mN] + h[mN] + nadph[mN] + o2[mN] --> 1a2425thvitd3[mN] + h2o[mN] + nadp[mN],Neuron
1a25VITD2HmNeuron,0.5213036093089645,0,,1591,NA,NA,"1-alpha,24R,25-Vitamin D-hydroxylase (D2) Neuron",1a25dhvitd2[mN] + h[mN] + nadph[mN] + o2[mN] --> 1a2425thvitd2[mN] + h2o[mN] + nadp[mN],Neuron
1a25VITD3HmNeuron,0.5213036093086744,1.04403585122741e-16,NA,1591,NA,NA,"1-alpha,24R,25-Vitamin D-hydroxylase (D3) Neuron",1a25dhvitd3[mN] + h[mN] + nadph[mN] + o2[mN] --> 1a2425thvitd3[mN] + h2o[mN] + nadp[mN],Neuron
2425VITD2HmNeuron,0.519303842456168,7.592988008926619e-17,1591,"1594, 1591",NA,NA,24R-Vitamin D-25-hydroxylase (D2) Neuron,25hvitd2[mN] + h[mN] + nadph[mN] + o2[mN] --> 2425dhvitd2[mN] + h2o[mN] + nadp[mN],Neuron
2425VITD3HmNeuron,0.5193038831742829,5.22017925613705e-17,1591,"1594, 1591",NA,NA,24R-Vitamin D-25-hydroxylase (D3) Neuron,25hvitd3[mN] + h[mN] + nadph[mN] + o2[mN] --> 2425dhvitd3[mN] + h2o[mN] + nadp[mN],Neuron
25HVITD2tNeuron,0.004451381890124079,0,,,NA,NA,25-hydroxyvitamin D2 transport from cytoplasm Neuron,25hvitd2[cN] --> 25hvitd2[I],Neuron
25HVITD2tinNeuron,0.004451381890124079,0,,,NA,NA,25-hydroxyvitamin D2 transport in cytoplasm Neuron,25hvitd2[I] --> 25hvitd2[cN],Neuron
25HVITD2tinmNeuron,0.006585514492067251,0,,,NA,NA,25-hydroxyvitamin D2 transport in mitochondria Neuron,25hvitd2[cN] --> 25hvitd2[mN],Neuron
25HVITD2tinmNeuron,0.006585514492067251,0,,,NA,NA,25-hydroxyvitamin D2 transport in mitochondria Neuron,25hvitd2[cN] --> 25hvitd2[mN],Neuron
25HVITD2tmNeuron,0.006585514492067251,0,,,NA,NA,25-hydroxyvitamin D2 transport from mitochondria Neuron,25hvitd2[mN] --> 25hvitd2[cN],Neuron
25HVITD3tNeuron,0.004451278656716804,0,,,NA,NA,25-hydroxyvitamin D3 transport from cytoplasm Neuron,25hvitd3[cN] --> 25hvitd3[I],Neuron
25HVITD3tinNeuron,0.004451278656716804,0,,,NA,NA,25-hydroxyvitamin D3 transport in cytoplasm Neuron,25hvitd3[I] --> 25hvitd3[cN],Neuron
25HVITD3tinmNeuron,0.006585865678552944,0,,,NA,NA,25-hydroxyvitamin D3 transport in mitochondria Neuron,25hvitd3[cN] --> 25hvitd3[mN],Neuron
25HVITD3tinmNeuron,0.006585865678552944,0,,,NA,NA,25-hydroxyvitamin D3 transport in mitochondria Neuron,25hvitd3[cN] --> 25hvitd3[mN],Neuron
25HVITD3tmNeuron,0.006585865678552944,0,,,NA,NA,25-hydroxyvitamin D3 transport from mitochondria Neuron,25hvitd3[mN] --> 25hvitd3[cN],Neuron
