ID,Node,variable,value
NaEX_Neuron,Neuron,Sensitivity,2.404446202826763e-16
DM_pheme(c)_Neuron,Terminal,Sensitivity,0.9814617221041976
DM_pheme(c),Terminal,Sensitivity,0.9814459617323242
GLCt1r,Astrocyte,Sensitivity,0.71772297091666315
Kt1r_Neuron,Neuron,Sensitivity,0
DM_7dhf,Terminal,Sensitivity,0.8976463810166139
DM_thf(c),Terminal,Sensitivity,0.8976463810166139
DM_10fthf7glu_Neuron,Terminal,Sensitivity,0.8944516349892881
sink_dhf(c)_Neuron,Terminal,Sensitivity,0.8939939869465993
DM_7thf_Neuron,Terminal,Sensitivity,0.8917709532359083
H2Otm_Neuron,Neuron,Sensitivity,0
GLGNS1,Astrocyte,Sensitivity,0.8826984114934228
DM_6dhf,Terminal,Sensitivity,0.866475314959735
DM_10fthf6glu_Neuron,Terminal,Sensitivity,0.8633720283068888
DM_6thf_Neuron,Terminal,Sensitivity,0.860151950077783
ATPS4m_Neuron,Neuron,Sensitivity,0
ATPtm_Neuron,Neuron,Sensitivity,0
PIt2m_Neuron,Neuron,Sensitivity,4.7456175055791374e-18
GLCt1r_Neuron,Neuron,Sensitivity,0.7000939622226612
DM_10fthf5glu_Neuron,Terminal,Sensitivity,0.8253601184133872
DM_5thf_Neuron,Terminal,Sensitivity,0.8213289154971173
NaKt_Neuron,Neuron,Sensitivity,0
DM_atp(c)_Neuron,Terminal,Sensitivity,0.15069627744127106
sink_tyr-L(m),Terminal,Sensitivity,0.7396261700628295
GLCt2r,Astrocyte,Sensitivity,0.71772297091666315
GLCt2r_Int,Astrocyte,Sensitivity,0.71772297091666315
CYOR-u10m_Neuron,Neuron,Sensitivity,1.518597601785324e-16
EX_crn(e),Exchange,Sensitivity,0.7123613683567176
DM_5thf,Terminal,Sensitivity,0.7098445200998579
3DPHBH2,Astrocyte,Sensitivity,0.708336244735217
3DPHBH1,Astrocyte,Sensitivity,0.70729558371078
DM_10fthf5glu,Terminal,Sensitivity,0.6981407960164098
EX_leu-L(e),Exchange,Sensitivity,0.6963535691975361
NADH2-u10m_Neuron,Neuron,Sensitivity,0
EX_ile-L(e),Exchange,Sensitivity,0.6791874359907907
EX_bhb(e),Exchange,Sensitivity,0.6462000496953882
EX_val-L(e),Exchange,Sensitivity,0.6395257899722554
EX_acac(e),Exchange,Sensitivity,0.6305919084457943
AACOAT_Neuron,Neuron,Sensitivity,0.6265040045668269
EX_pro-L(e),Exchange,Sensitivity,0.6247002506112946
EX_lys-L(e),Exchange,Sensitivity,0.6228772908105258
EX_etoh(e),Exchange,Sensitivity,0.6110154674983029
EX_NACASPt_Int,Exchange,Sensitivity,0.6084681687916371
sink_4hpro-LT(m)_Neuron,Terminal,Sensitivity,0.6005522911693192
EX_h2o(e),Exchange,Sensitivity,0
O2t_Int,Astrocyte,Sensitivity,3.6066693042401447e-16
CYOOm2_Neuron,Neuron,Sensitivity,4.176143404909641e-16
O2t_Neuron,Neuron,Sensitivity,0
O2tm_Neuron,Neuron,Sensitivity,0
EX_o2(e),Exchange,Sensitivity,0
O2t,Astrocyte,Sensitivity,0
CO2t,Astrocyte,Sensitivity,0
CO2t_Int,Astrocyte,Sensitivity,0
CO2t_Neuron,Neuron,Sensitivity,0
CO2tm_Neuron,Neuron,Sensitivity,0
EX_co2(e),Exchange,Sensitivity,0
sink_4hpro-LT(m),Terminal,Sensitivity,0.59382363189706
EX_lac-L(e),Exchange,Sensitivity,0.5927344046472
DM_10fthf6glu,Terminal,Sensitivity,0.5914578653246297
DM_6thf,Terminal,Sensitivity,0.5914578653246297
GLUVESSEC,Astrocyte,Sensitivity,0.5879223687504413
DM_6dhf_Neuron,Terminal,Sensitivity,0.5878126418006673
EX_ppa(e),Exchange,Sensitivity,0.5867312899602047
EX_3aib(e),Exchange,Sensitivity,0.5764691026112128
EX_4abut(e),Exchange,Sensitivity,0.5735118844228787
GLUt6,Astrocyte,Sensitivity,0.5735118844228786
EX_acald(e),Exchange,Sensitivity,0.5710311749817156
EX_orn(e),Exchange,Sensitivity,0.557298301938828
EX_pyr(e),Exchange,Sensitivity,0.5476039258877619
MDHm_Neuron,Neuron,Sensitivity,2.372808752789569e-17
EX_ac(e),Exchange,Sensitivity,0.5187903070258014
C160CPT2_Neuron,Neuron,Sensitivity,0.5035992905001541
C204CPT2_Neuron,Neuron,Sensitivity,0.5035992905001541
C226CPT2_Neuron,Neuron,Sensitivity,0.5035992905001541
CYSGLUexR,Astrocyte,Sensitivity,0.49186567223944955
SERGLNexR,Astrocyte,Sensitivity,0.49186567223944955
GLNtN1,Astrocyte,Sensitivity,0.4877863136962159
DM_1a2425thvitd2_Neuron,Terminal,Sensitivity,0.47994003517726846
DM_1a2425thvitd3_Neuron,Terminal,Sensitivity,0.47994003517726846
EX_cys-L(e),Exchange,Sensitivity,0.47567183422225523
sink_dmgly,Terminal,Sensitivity,0.4744738909210171
EX_ala-B(e),Exchange,Sensitivity,0.4721204431420494
sink_dmgly_Neuron,Terminal,Sensitivity,0.4569737160686775
GLYCLTDym_Neuron,Neuron,Sensitivity,0.45697371606867704
EX_nh4(e),Exchange,Sensitivity,0.444801894356584
ETOHMO_Neuron,Neuron,Sensitivity,0.43212301374922046
EX_sarcs(e),Exchange,Sensitivity,0.4287387231595196
GND,Astrocyte,Sensitivity,0.4127056666134207
AKGMALtm_Neuron,Neuron,Sensitivity,0
HMGCOASim_Neuron,Neuron,Sensitivity,2.0406155273990293e-16
CSm_Neuron,Neuron,Sensitivity,9.96579676171619e-17
FUMm_Neuron,Neuron,Sensitivity,7.59298800892662e-17
ICDHyrm_Neuron,Neuron,Sensitivity,7.59298800892662e-17
PYRt2m_Neuron,Neuron,Sensitivity,2.847370503347483e-17
SUCD1m_Neuron,Neuron,Sensitivity,5.694741006694966e-17
ACONTm_Neuron,Neuron,Sensitivity,0
AKGDm_Neuron,Terminal,Sensitivity,0
ETF_Neuron,Neuron,Sensitivity,0
ETFQO_Neuron,Neuron,Sensitivity,0
HMGLm_Neuron,Neuron,Sensitivity,0
OCOAT1m_Neuron,Neuron,Sensitivity,0
PDHm_Neuron,Neuron,Sensitivity,0
THD1m_Neuron,Neuron,Sensitivity,4.745617505579138e-17
MDH_Neuron,Neuron,Sensitivity,8.58956768509824e-16
ASPGLUm_Neuron,Neuron,Sensitivity,1.8033346521200724e-16
ASPTA_Neuron,Neuron,Sensitivity,0
ASPTAm_Neuron,Neuron,Sensitivity,0
"24,25VITD2Hm",Astrocyte,Sensitivity,0.39035911036230614
"24,25VITD3Hm",Astrocyte,Sensitivity,0.39035911036230614
25VITD2Hm,Astrocyte,Sensitivity,0.39035911036230614
25VITD3Hm,Astrocyte,Sensitivity,0.39035911036230614
ALR,Astrocyte,Sensitivity,0.3815111982957977
ACSm_Neuron,Neuron,Sensitivity,0.37166381573125856
EX_ser-L(e),Exchange,Sensitivity,0.36645008372959603
COQ3m_Neuron,Neuron,Sensitivity,0.36493086035184585
ETOHMO,Astrocyte,Sensitivity,0.3461492786152285
ALCD2yf,Astrocyte,Sensitivity,0.3461492786152284
ALDD2y,Astrocyte,Sensitivity,0.3461492786152284
PYK,Astrocyte,Sensitivity,1.8412995921647056e-15
GAPD,Astrocyte,Sensitivity,9.491235011158273e-17
PGK,Astrocyte,Sensitivity,1.898247002231655e-17
ENO,Astrocyte,Sensitivity,7.7116284465661e-17
PGM,Astrocyte,Sensitivity,0
LDH_L_Neuron,Neuron,Sensitivity,5.220179256137051e-17
L-LACt2r_Int,Astrocyte,Sensitivity,2.8450946632094066e-32
L-LACt2r_Neuron,Neuron,Sensitivity,2.8450946632094066e-32
LDH_L,Astrocyte,Sensitivity,2.8450946632094066e-32
COQ7m,Astrocyte,Sensitivity,0.32708682277580464
DGNSKm,Astrocyte,Sensitivity,0.31753593914627465
MMSAD1m,Astrocyte,Sensitivity,0.3085852034991958
ACOAD8m_Neuron,Neuron,Sensitivity,0.30007410073172475
P45011A1m_Neuron,Neuron,Sensitivity,0.2968668141841054
GTHOm_Neuron,Neuron,Sensitivity,0.29686681418410504
NMNATm_Neuron,Neuron,Sensitivity,0.296866814184104
EX_glc(e),Exchange,Sensitivity,0
GLYOXm,Astrocyte,Sensitivity,0.28164175271335695
DM_nadph(c)_Neuron,Terminal,Sensitivity,0.28164175271335673
GLYOXm_Neuron,Neuron,Sensitivity,0.28164175271335673
EX_lac-D(e),Exchange,Sensitivity,0.2816417527133566
CYSO,Astrocyte,Sensitivity,0.2730459438691784
PPAt_Neuron,Neuron,Sensitivity,0.2613192597124655
H2Ot,Astrocyte,Sensitivity,7.474347571287142e-17
NH4t3r_Neuron,Neuron,Sensitivity,1.5185976017853245e-16
NH3tm_Neuron,Neuron,Sensitivity,4.745617505579138e-17
NH4t3r_Int,Astrocyte,Sensitivity,2.8450946632094066e-32
GLNtN1_Neuron,Neuron,Sensitivity,2.2778964026779867e-16
GLNS,Astrocyte,Sensitivity,1.138948201338993e-16
GLNtN1_Int,Astrocyte,Sensitivity,3.3219322539053994e-17
GLUNm_Neuron,Neuron,Sensitivity,7.59298800892662e-17
GLNtm_Neuron,Neuron,Sensitivity,0
GLUt6_Int,Astrocyte,Sensitivity,2.8450946632094066e-32
GLUVESSEC_Neuron,Neuron,Sensitivity,0
GLUt2m_Neuron,Neuron,Sensitivity,2.847370503347483e-17
GTHOm,Astrocyte,Sensitivity,0.2545083847575647
P45011A1m,Astrocyte,Sensitivity,0.25450838475756404
"1a,24,25VITD2Hm",Astrocyte,Sensitivity,0.25450838475756393
"1a,24,25VITD3Hm",Astrocyte,Sensitivity,0.25450838475756393
"1a,25VITD2Hm",Astrocyte,Sensitivity,0.25450838475756393
"1a,25VITD3Hm",Astrocyte,Sensitivity,0.25450838475756393
FPGS8m,Astrocyte,Sensitivity,0.2545083847575631
ASPGLUm,Astrocyte,Sensitivity,0.2468311908770477
ADPRDPm_Neuron,Neuron,Sensitivity,0.2468311908770466
APOCFm_Neuron,Neuron,Sensitivity,0.24683119087704614
DTKm_Neuron,Neuron,Sensitivity,0.24683119087704608
DAKm_Neuron,Neuron,Sensitivity,0.2468311908770458
DCKm_Neuron,Neuron,Sensitivity,0.2468311908770458
DGKm_Neuron,Neuron,Sensitivity,0.2468311908770458
SSALxm,Astrocyte,Sensitivity,0.24074095757367892
ENO_Neuron,Neuron,Sensitivity,7.59298800892662e-17
GAPD_Neuron,Neuron,Sensitivity,9.016673260600362e-17
PGK_Neuron,Neuron,Sensitivity,5.694741006694966e-17
PGM_Neuron,Neuron,Sensitivity,0
PYK_Neuron,Neuron,Sensitivity,0
L-LACtm,Astrocyte,Sensitivity,0.23163182080421377
ALDD2xm,Astrocyte,Sensitivity,0.23163182080421363
AKGDm,Astrocyte,Sensitivity,0.22982072105350101
HEX1,Astrocyte,Sensitivity,1.7084223020084897e-16
PFK,Astrocyte,Sensitivity,1.7084223020084897e-16
FBA,Astrocyte,Sensitivity,0
PGI,Astrocyte,Sensitivity,0
TPI,Astrocyte,Sensitivity,0
LacLtm,Astrocyte,Sensitivity,0.2151506028648214
PCm,Astrocyte,Sensitivity,0.21279607091181432
DM_for,Terminal,Sensitivity,0.20701672498017332
PPAm,Astrocyte,Sensitivity,0.20701672498017287
DM_q10(m)_Neuron,Terminal,Sensitivity,0.2042792885112087
ACACt2_Neuron,Neuron,Sensitivity,0.20164994065519193
ALCD2if_Neuron,Neuron,Sensitivity,0.20143233217756473
ALR_Neuron,Neuron,Sensitivity,0.1999574601762108
EX_pe_hs(e),Exchange,Sensitivity,0.1995916731610817
PEFLIP_Int,Astrocyte,Sensitivity,0.1995916731610817
NaKt_Int,Astrocyte,Sensitivity,1.898247002231655e-17
SERGLNexR_Int,Astrocyte,Sensitivity,0.18018178760793127
