ID,Module
"1a,24,25VITD2Hm",Hyper
"1a,24,25VITD3Hm",Hyper
"1a,25VITD2Hm",Hyper
"1a,25VITD3Hm",Hyper
"24,25VITD2Hm",Hyper
"24,25VITD3Hm",Hyper
25VITD2Hm,Hyper
25VITD3Hm,Hyper
3DPHBH1,Hyper
3DPHBH2,Hyper
AASAD3m,Hyper
ADPRDPm,Hyper
ALDD2xm,Hyper
ASPGLUm,Hyper
COQ7m,Hyper
DGNSKm,Hyper
DURIK1m,Hyper
FPGS8m,Hyper
GLUDym,Hyper
GLYOXm,Hyper
GTHOm,Hyper
Htm,Hyper
L-LACtm,Hyper
LCADi_Dm,Hyper
MMCDm,Hyper
P45011A1m,Hyper
PCm,Hyper
PRO1xm,Hyper
PROD2m,Hyper
SPODMm,Hyper
SSALxm,Hyper
3DPHBH2_Neuron,Hyper
ADPRDPm_Neuron,Hyper
APOCFm_Neuron,Hyper
ASPGLUm_Neuron,Hyper
COQ3m_Neuron,Hyper
CSm_Neuron,Hyper
DURIK1m_Neuron,Hyper
DUTPDPm_Neuron,Hyper
GLUDym_Neuron,Hyper
GLUt2m_Neuron,Hyper
GLYCLTDym_Neuron,Hyper
GLYKm_Neuron,Hyper
GLYOXm_Neuron,Hyper
GTHOm_Neuron,Hyper
H2Otm_Neuron,Hyper
HMGCOASim_Neuron,Hyper
Htm_Neuron,Hyper
L-LACtm_Neuron,Hyper
MDHm_Neuron,Hyper
NMNATm_Neuron,Hyper
P45011A1m_Neuron,Hyper
PIt2m_Neuron,Hyper
PNTKm_Neuron,Hyper
PROD2m_Neuron,Hyper
PYRt2m_Neuron,Hyper
THD1m_Neuron,Hyper
TMDK1m_Neuron,Hyper
NH3tm_Neuron,Hyper
3AIBtm,Optimal
AKGDm,Optimal
ALCD2yf,Optimal
ALDD2y,Optimal
ALR,Optimal
ASNt4,Optimal
ATPtm,Optimal
CO2t,Optimal
CYSGLUexR,Optimal
CYSO,Optimal
ETF,Optimal
ETOHMO,Optimal
GCC2bim,Optimal
GCCbim,Optimal
GLCt1r,Optimal
GLCt2r,Optimal
GLNS,Optimal
GLUNm,Optimal
GLUVESSEC,Optimal
GLUt6,Optimal
GND,Optimal
H2Ot,Optimal
HMGLm,Optimal
ICDHxm,Optimal
LDH_L,Optimal
LSOProd,Optimal
MMSAD1m,Optimal
MMSAD3m,Optimal
NTD5m,Optimal
O2t,Optimal
PSFLIP,Optimal
PSFLIPm,Optimal
SERGLNexR,Optimal
SERt4,Optimal
GLGNS1,Optimal
LacLtm,Optimal
GLNtN1,Optimal
PCREATtmdiffir,Optimal
ASNt4_Int,Optimal
BTNt2_Int,Optimal
BTNt4i_Int,Optimal
CO2t_Int,Optimal
CYSGLUexR_Int,Optimal
GLCt2r_Int,Optimal
GLUt6_Int,Optimal
Kt1r_Int,Optimal
L-LACt2r_Int,Optimal
NH4t3r_Int,Optimal
NaKt_Int,Optimal
O2t_Int,Optimal
ORNtiDF_Int,Optimal
PEFLIP_Int,Optimal
PSFLIP_Int,Optimal
PYRt2r_Int,Optimal
SERGLNexR_Int,Optimal
SERt4_Int,Optimal
GLNtN1_Int,Optimal
AACOAT_Neuron,Optimal
ACACt2_Neuron,Optimal
ACOAD1fm_Neuron,Optimal
ACOAD8m_Neuron,Optimal
ACONTm_Neuron,Optimal
ACSm_Neuron,Optimal
ADK1_Neuron,Optimal
AKGMALtm_Neuron,Optimal
ALCD2if_Neuron,Optimal
ALCD2yf_Neuron,Optimal
ALDD2x_Neuron,Optimal
ALR_Neuron,Optimal
ASNt4_Neuron,Optimal
ASPTA_Neuron,Optimal
ASPTAm_Neuron,Optimal
ATPtm_Neuron,Optimal
BHBt_Neuron,Optimal
C160CPT2_Neuron,Optimal
C204CPT2_Neuron,Optimal
C226CPT2_Neuron,Optimal
CO2t_Neuron,Optimal
CO2tm_Neuron,Optimal
ETF_Neuron,Optimal
ETFQO_Neuron,Optimal
ETOHMO_Neuron,Optimal
FUMm_Neuron,Optimal
GLNtm_Neuron,Optimal
GLUNm_Neuron,Optimal
GLUVESSEC_Neuron,Optimal
HMGLm_Neuron,Optimal
ICDHxm_Neuron,Optimal
ICDHyrm_Neuron,Optimal
Kt1r_Neuron,Optimal
L-LACt2r_Neuron,Optimal
LDH_L_Neuron,Optimal
LSOProd_Neuron,Optimal
MDH_Neuron,Optimal
MMSAD1m_Neuron,Optimal
NH4t3r_Neuron,Optimal
NaKt_Neuron,Optimal
O2t_Neuron,Optimal
O2tm_Neuron,Optimal
OCOAT1m_Neuron,Optimal
PCFLOPm_Neuron,Optimal
PDHm_Neuron,Optimal
PEFLIP_Neuron,Optimal
PEFLIPm_Neuron,Optimal
PPAt_Neuron,Optimal
PSFLIP_Neuron,Optimal
PSFLIPm_Neuron,Optimal
SUCD1m_Neuron,Optimal
SUCOAS1m_Neuron,Optimal
SUCOASm_Neuron,Optimal
DAKm_Neuron,Optimal
DTKm_Neuron,Optimal
DCKm_Neuron,Optimal
DGKm_Neuron,Optimal
NDPK1_Neuron,Optimal
GLNtN1_Neuron,Optimal
CKc_Neuron,Optimal
CREATtmdiffir_Neuron,Optimal
NaEX_Neuron,Optimal
GLCt1r_Neuron,Optimal
34HPLFM,Central
3HBCOAHLm,Central
3SALATAim,Central
3SPYRSPm,Central
4HBZCOAFm,Central
4HBZFm,Central
4HGLSDm,Central
