ID,Node_type
DM_10fthf5glu,Sink/Demand Astro
DM_10fthf6glu,Sink/Demand Astro
DM_10fthf7glu,Sink/Demand Astro
DM_5thf,Sink/Demand Astro
DM_6dhf,Sink/Demand Astro
DM_6thf,Sink/Demand Astro
DM_7dhf,Sink/Demand Astro
DM_7thf,Sink/Demand Astro
DM_ahcys,Sink/Demand Astro
DM_atp(c),Sink/Demand Astro
DM_fald,Sink/Demand Astro
DM_for,Sink/Demand Astro
DM_pheme(c),Sink/Demand Astro
DM_q10(m),Sink/Demand Astro
DM_thf(c),Sink/Demand Astro
EX_3aib(e),Exchange
EX_4abut(e),Exchange
EX_ac(e),Exchange
EX_acac(e),Exchange
EX_acald(e),Exchange
EX_ala-B(e),Exchange
EX_arg-L(e),Exchange
EX_asn-L(e),Exchange
EX_bhb(e),Exchange
EX_btn(e),Exchange
EX_co2(e),Exchange
EX_crn(e),Exchange
EX_cyan(e),Exchange
EX_cys-L(e),Exchange
EX_etoh(e),Exchange
EX_fe2(e),Exchange
EX_glc(e),Exchange
EX_gln-L(e),Exchange
EX_glu-L(e),Exchange
EX_gly(e),Exchange
EX_glyc(e),Exchange
EX_h(e),Exchange
EX_h2o(e),Exchange
EX_h2o2(e),Exchange
EX_hco3(e),Exchange
EX_ile-L(e),Exchange
EX_k(e),Exchange
EX_lac-D(e),Exchange
EX_lac-L(e),Exchange
EX_leu-L(e),Exchange
EX_lys-L(e),Exchange
EX_na1(e),Exchange
EX_nh4(e),Exchange
EX_o2(e),Exchange
EX_o2s(e),Exchange
EX_orn(e),Exchange
EX_pe_hs(e),Exchange
EX_pi(e),Exchange
EX_ppa(e),Exchange
EX_pro-L(e),Exchange
EX_ps_hs(e),Exchange
EX_pyr(e),Exchange
EX_sarcs(e),Exchange
EX_ser-L(e),Exchange
EX_so4(e),Exchange
EX_tcynt(e),Exchange
EX_urea(e),Exchange
EX_val-L(e),Exchange
sink_4hpro-LT(m),Sink/Demand Astro
sink_amet,Sink/Demand Astro
sink_decdp,Sink/Demand Astro
sink_dhf(c),Sink/Demand Astro
sink_dmgly,Sink/Demand Astro
sink_tyr-L(m),Sink/Demand Astro
10FTHF5GLUtm,Astrocyte
10FTHF6GLUtm,Astrocyte
10FTHF7GLUtm,Astrocyte
10FTHFtm,Astrocyte
"1a,24,25VITD2Hm",Astrocyte
"1a,24,25VITD3Hm",Astrocyte
"1a,25VITD2Hm",Astrocyte
"1a,25VITD3Hm",Astrocyte
"24,25VITD2Hm",Astrocyte
"24,25VITD3Hm",Astrocyte
25HVITD2t,Astrocyte
25HVITD2tin,Astrocyte
25HVITD2tin_m,Astrocyte
25HVITD2tm,Astrocyte
25HVITD3t,Astrocyte
25HVITD3tin,Astrocyte
25HVITD3tin_m,Astrocyte
25HVITD3tm,Astrocyte
25VITD2Hm,Astrocyte
25VITD3Hm,Astrocyte
2AMADPTm,Astrocyte
2OXOADOXm,Astrocyte
2OXOADPTm,Astrocyte
34HPLFM,Astrocyte
3AIBTm,Astrocyte
3AIBt,Astrocyte
3AIBtm,Astrocyte
3DPHBH1,Astrocyte
3DPHBH2,Astrocyte
3HBCDm,Astrocyte
3HBCOAHLm,Astrocyte
3SALAASPm,Astrocyte
3SALATAim,Astrocyte
3SPYRSPm,Astrocyte
4ABUTtm,Astrocyte
4HBZCOAFm,Astrocyte
4HBZFm,Astrocyte
4HGLSDm,Astrocyte
5AOPtm,Astrocyte
5HOXINDACTOXm,Astrocyte
5THFtm,Astrocyte
6DHFtm,Astrocyte
6THFtm,Astrocyte
7DHFtm,Astrocyte
7THFtm,Astrocyte
AACOAT,Astrocyte
AACTOOR,Astrocyte
AACTtm,Astrocyte
AASAD3m,Astrocyte
AATAi,Astrocyte
ABTArm,Astrocyte
ABUTt2r,Astrocyte
ACACT10m,Astrocyte
ACACT1r,Astrocyte
ACACT1rm,Astrocyte
ACACt2,Astrocyte
ACACt2m,Astrocyte
ACALDt,Astrocyte
ACALDtm,Astrocyte
ACCOALm,Astrocyte
ACOAD10m,Astrocyte
ACOAD1fm,Astrocyte
ACOAD8m,Astrocyte
ACOAD9m,Astrocyte
ACONTm,Astrocyte
ACRNtm,Astrocyte
ACSm,Astrocyte
ACYP,Astrocyte
ACt2m,Astrocyte
ACt2r,Astrocyte
ADCim,Astrocyte
ADK1,Astrocyte
ADK1m,Astrocyte
ADK3m,Astrocyte
ADPRDPm,Astrocyte
AGMTm,Astrocyte
AGPRim,Astrocyte
AGTim,Astrocyte
AKGDm,Astrocyte
AKGMALtm,Astrocyte
ALASm,Astrocyte
ALCD2if,Astrocyte
ALCD2yf,Astrocyte
ALDD20xm,Astrocyte
ALDD2x,Astrocyte
ALDD2xm,Astrocyte
ALDD2y,Astrocyte
ALR,Astrocyte
AMETt2m,Astrocyte
AOBUTDsm,Astrocyte
APAT2rm,Astrocyte
APOC_LYS_BTNPm,Astrocyte
APOCFm,Astrocyte
ARGDCm,Astrocyte
ARGLYSex,Astrocyte
ARGtiDF,Astrocyte
ARGtm,Astrocyte
ASNNm,Astrocyte
ASNt4,Astrocyte
ASNtm,Astrocyte
ASPGLUm,Astrocyte
ASPTA,Astrocyte
ASPTAm,Astrocyte
ATPtm,Astrocyte
BACCLm,Astrocyte
BALAVECSEC,Astrocyte
BALAtmr,Astrocyte
BAMPPALDOXm,Astrocyte
BDHm,Astrocyte
BETALDHxm,Astrocyte
BHBt,Astrocyte
BHBtm,Astrocyte
BTNDm,Astrocyte
BTNPLm,Astrocyte
BTNt2,Astrocyte
BTNt2m,Astrocyte
