,hc,ec,dc,bc,cc,lc,ic,cfcc,acfbc
10fthf5glu_c,1945.4666666664957,0.01762880224671827,0.0019896538002387586,0.00035972408470254507,0.36576668364747833,0.0003350875123365756,0.0005075750325737858,0.0005075750325737858,0.0009041186869046389
10fthf5glu_l,1462.716666666704,0.000399214830909858,0.0009948269001193793,7.2023837357261595e-06,0.2769298583944019,9.383046340786207e-06,0.00038344188351247427,0.00038344188351247427,0.0004617015295184901
10fthf5glu_m,1589.0833333334,0.0025130746214870278,0.0017906884202148826,1.9006159325708873e-05,0.2945554709019516,1.7046579347331203e-05,0.0004931716455594179,0.0004931716455594179,0.0005170256293413341
10fthf6glu_c,1899.4833333331935,0.013536858914800744,0.0017906884202148826,0.00030734794011467217,0.3563275434243176,0.0002848866329613056,0.000490286830668047,0.000490286830668047,0.0008037514464473402
10fthf6glu_l,1462.5833333333705,0.00034223923899018017,0.0009948269001193793,1.292756682322859e-05,0.2768993443887389,1.7928591179589072e-05,0.0003825439394231364,0.0003825439394231364,0.0004568072005797943
10fthf6glu_m,1561.1261904762573,0.0020705482164945577,0.0015917230401910067,1.3675289595808909e-05,0.28846926476496587,1.2495984167215107e-05,0.0004741835115351209,0.0004741835115351209,0.00045352125130451346
10fthf7glu_c,1898.6499999998605,0.013298539330518935,0.0015917230401910067,0.0003071222831283344,0.3562517720442302,0.0002850472536145488,0.00047299415596689236,0.00047299415596689236,0.0007935368147310558
10fthf7glu_l,1461.8333333333705,0.00033360913682939207,0.0007958615200955034,1.2820009826949919e-05,0.27685358598655946,1.7832861634856815e-05,0.0003510779558397588,0.0003510779558397588,0.0004522558232275101
10fthf7glu_m,1560.376190476257,0.0020333367546867148,0.001392757660167131,1.360047759855957e-05,0.28841960289223,1.2403108516790946e-05,0.00045551079988151113,0.00045551079988151113,0.000446346058603975
10fthf_c,1955.7166666664907,0.023125272484005883,0.003780342220453641,0.000594915906427048,0.3670756646216769,0.0005501218196202332,0.0005798708880038429,0.0005798708880038429,0.0012814195136224187
10fthf_l,1466.6833333333714,0.0004687600982051295,0.0007958615200955034,1.0406901929165942e-05,0.2776642174465499,1.4517897092501709e-05,0.0003548749048966029,0.0003548749048966029,0.0004690545371226871
10fthf_m,1593.4166666667318,0.002687098573224669,0.0021886191802626344,2.7036180228416877e-05,0.29519558322565487,2.551254432867314e-05,0.0005195622210668853,0.0005195622210668853,0.0005867198921197122
11docrtsl_c,1258.2333333334118,2.9120487975362736e-05,0.0003979307600477517,2.6457659213724007e-05,0.239230805845114,3.03996920429521e-05,0.00022808411376579844,0.00022808411376579844,0.0008656735356555844
11docrtsl_m,1577.7000000000626,0.0017778141100257766,0.001392757660167131,0.00027533948512898835,0.29294165646674825,0.00024246991133309234,0.0004462648824409704,0.0004462648824409704,0.0009454093239570615
11docrtsl_r,1523.0666666667098,0.00034663994379252095,0.001392757660167131,0.00014889432469242144,0.2859743954480797,0.0001857115091987752,0.0004441667025446399,0.0004441667025446399,0.0009020164588466628
11docrtstrn_c,1258.5833333334117,2.9387666624408593e-05,0.0003979307600477517,2.6817165316944488e-05,0.23927636277076886,3.1073734351242554e-05,0.00022936616739296426,0.00022936616739296426,0.000879368051577843
11docrtstrn_m,1578.4500000000628,0.0017975379645216688,0.0015917230401910067,0.00027578258608914913,0.29299288795616185,0.00024316576237134197,0.0004641171767579679,0.0004641171767579679,0.0009630227874170245
11docrtstrn_r,1523.350000000043,0.00034639628853719534,0.001392757660167131,0.00014905982758355415,0.28607205873982583,0.0001861683912356206,0.00044375057656946277,0.00044375057656946277,0.0009158681189139282
13dampp_c,1820.9666666665803,0.008671450862842036,0.0021886191802626344,5.119902417375914e-05,0.34037654070161183,6.67373764283217e-05,0.0005110892023147925,0.0005110892023147925,0.0007622310748554382
h2o_c,2918.1666666668134,0.29211318998950936,0.24054914444886588,0.22699798443405378,0.49654218533886585,0.232541649415733,0.000692975431287757,0.000692975431287757,0.17949705297303764
o2_c,2282.1999999999425,0.09953865399028798,0.07938718662952646,0.027213129875035224,0.4053879658009356,0.028001696340125577,0.0006879309217950076,0.0006879309217950076,0.051309667114322347
bamppald_c,1944.983333333162,0.014056170476537826,0.0017906884202148826,5.40966706245587e-06,0.36608638648117126,6.251345278430769e-06,0.0004977929920945497,0.0004977929920945497,0.0005785107782622758
h2o2_c,2063.86666666646,0.03492896977820037,0.022881018702745722,0.003993377858001734,0.38194391671099626,0.0049656005567354665,0.0006710858241407396,0.0006710858241407396,0.014148828615115574
nh4_c,2067.366666666461,0.06432917441466439,0.026462395543175487,0.002362263043034691,0.38026783687674964,0.0024462185538537944,0.0006754314298028396,0.0006754314298028396,0.016598926818261302
2425dhvitd2_m,1577.8166666667294,0.001798477708180067,0.0015917230401910067,0.0007957370783510678,0.29287337567740807,0.0007957370783510661,0.00045463085268825337,0.00045463085268825337,0.000184110013224393
h_m,2346.216666666608,0.050939047395141844,0.12674094707520892,0.07520593826110555,0.39693571315747905,0.06937762083356931,0.0006880031818082791,0.0006880031818082791,0.088612398260404
nadph_m,2078.6333333331536,0.018678734757027103,0.035813768404297654,0.007864362602749198,0.3755791361530414,0.0076515737055252026,0.0006767230176487395,0.0006767230176487395,0.01842308978267019
o2_m,2055.099999999826,0.011332781522493571,0.021886191802626343,0.008651436622546223,0.3765640218775755,0.009056924518617605,0.0006662282264021568,0.0006662282264021568,0.005097555478281993
1a2425thvitd2_m,1576.9000000000624,0.0017978155869156458,0.001392757660167131,3.393865757336901e-08,0.2928051267113312,3.393865757336901e-08,0.00045416369452782625,0.00045416369452782625,0.00018411001322439353
h2o_m,2263.083333333242,0.02802564863775433,0.08296856346995622,0.04748228670822363,0.39838300570703866,0.05075747481824675,0.0006851080099521565,0.0006851080099521565,0.028558323842997287
nadp_m,2078.6333333331536,0.018678734757027103,0.035813768404297654,0.007864362602749198,0.3755791361530414,0.0076515737055252026,0.0006767230176487453,0.0006767230176487453,0.018423088488138593
2425dhvitd3_m,1581.4000000000633,0.00249964736808786,0.0021886191802626344,3.609925128439253e-05,0.2932835385423353,3.545951515427582e-05,0.0005186237483296571,0.0005186237483296571,0.0005688852851434054
1a2425thvitd3_m,1576.9000000000624,0.0018074813076077128,0.001392757660167131,2.1871579325060034e-08,0.2928051267113312,2.488834888713727e-08,0.00045556710021124537,0.00045556710021124537,0.00020790673840901
1a25dhvitd2_m,1576.9000000000624,0.0017981398818111309,0.001392757660167131,3.393865757336901e-08,0.2928051267113312,3.393865757336901e-08,0.00045451277524221544,0.00045451277524221544,0.0001841100132243945
1a25dhvitd3_m,1576.9000000000624,0.0018013744322862176,0.001392757660167131,2.1871579325060034e-08,0.2928051267113312,2.488834888713727e-08,0.0004552792494665556,0.0004552792494665556,0.00021241766705175876
1mncam_c,1943.8499999998298,0.017060124295507358,0.0017906884202148826,9.908803320015523e-07,0.36563363887676414,9.057164861669729e-07,0.0004961960968020565,0.0004961960968020565,0.0008498972768390899
atp_c,2434.1500000000806,0.19378361065195557,0.1120175089534421,0.028862474445581186,0.4263296293154636,0.027061365021213445,0.0006906633312168845,0.0006906633312168845,0.06682392523520707
1mncam_e,1940.4666666664982,0.016151182198409494,0.001193792280143255,0.0,0.36515547805870385,0.0,0.00043605442716635926,0.00043605442716635926,0.0003113116517311943
adp_c,2360.5666666666925,0.16675623500292633,0.08674890569040987,0.015286089584950207,0.41963763880771476,0.014180642868571501,0.0006892950219299776,0.0006892950219299776,0.04395314722292838
h_c,3149.6166666667596,0.34097664659034704,0.3024273776362913,0.42489346239332665,0.5395598497047772,0.4086008497778899,0.00069358883918843,0.00069358883918843,0.2454290644979777
pi_c,2441.183333333451,0.16722191011003248,0.08853959411062474,0.02940522903785319,0.4373857801757898,0.029974360193497432,0.0006894385162764839,0.0006894385162764839,0.05226733840931921
1pipdn2c_x,1484.6500000000383,0.0005302708076621503,0.001193792280143255,3.00435941778775e-06,0.2797506400979628,9.73460461648456e-06,0.00042509725870865,0.00042509725870865,6.873195219357322e-05
h_x,2108.499999999797,0.014377239434739836,0.06267409470752089,0.05983146784964834,0.3743761638733706,0.05751438743648333,0.0006762369136876057,0.0006762369136876057,0.020645709338050645
nadh_x,1658.8500000000504,0.005910367323822886,0.030242737763629127,0.002047807116234117,0.2984383350157354,0.0023387304993564826,0.0006665571506189483,0.0006665571506189483,0.00465206319073511
Lpipecol_x,1462.5333333333706,0.000537742151351285,0.001392757660167131,7.209849958538789e-07,0.2751710922529428,8.80516914511185e-07,0.00044910821046680293,0.00044910821046680293,8.987198079794683e-05
nad_x,1680.5000000000323,0.006081615312961256,0.030242737763629127,0.002414151108326803,0.30293532638177323,0.003011825143619498,0.0006665572327107909,0.0006665572327107909,0.004645876433048236
2425dhvitd2_c,1185.0309523810665,2.465040938244874e-05,0.0003979307600477517,0.00039793076004775174,0.22655968265416515,0.000397930760047751,0.0001384545502223264,0.0001384545502223264,0.0
2425dhvitd2_e,952.9166666665715,3.3782636893624e-07,0.00019896538002387584,0.0,0.18471829174170312,0.0,8.164873785839381e-05,8.164873785839381e-05,0.0
2425dhvitd3_c,1943.1499999998296,0.013325265263073087,0.0015917230401910067,0.000471005569458,0.36579330422125184,0.00047448135256049985,0.0004589888282657277,0.0004589888282657277,0.0005694857523761487
2425dhvitd3_e,1386.2833333333524,0.0001820472587232388,0.00019896538002387584,0.0,0.2678390620836664,0.0,0.0001388175084336391,0.0001388175084336391,0.0
25hvitd2_m,1578.5666666667294,0.0018224659971607928,0.0017906884202148826,0.0007958954587530766,0.2929245832847651,0.0007958954587530752,0.0004720392071429858,0.0004720392071429858,0.0001841100132243936
25hvitd3_m,1580.5166666667296,0.0020484510982317614,0.0019896538002387586,2.992074178544089e-05,0.293197993232995,3.128340353619477e-05,0.000503237926160647,0.000503237926160647,0.0005356138704048206
24nph_e,1385.7833333333524,0.00018160929779449891,0.00019896538002387584,0.0,0.26776771443793285,0.0,0.00013665308556366453,0.00013665308556366453,0.0
24nph_c,1941.9833333331635,0.01329328339494733,0.001392757660167131,0.0003979307600477514,0.36566024008730447,0.0003979307600477516,0.00043614787113688383,0.00043614787113688383,0.0004300764475341851
25hvitd2_c,1185.3309523810665,2.4979214773097692e-05,0.0003979307600477517,0.00039793076004775174,0.22659032505297327,0.000397930760047751,0.00014002723063019125,0.00014002723063019125,0.0
25hvitd2_e,953.0833333332382,3.4233686409981774e-07,0.00019896538002387584,0.0,0.18473866058957583,0.0,8.219312229136566e-05,8.219312229136566e-05,0.0
25hvitd3_c,1945.483333333162,0.01388789440273576,0.0021886191802626344,0.00048379993664234434,0.366033063870075,0.000485183919005641,0.0005054970292837849,0.0005054970292837849,0.0006204631213564549
25hvitd3_e,1387.2166666666858,0.00018977748191853746,0.00019896538002387584,0.0,0.2679675837065472,0.0,0.00014279082686581492,0.00014279082686581492,0.0
2amac_c,1944.4666666664968,0.016433353967249736,0.0029844807003581377,9.652511718707587e-06,0.36531472597761305,1.0576476102663328e-05,0.0005591846700716323,0.0005591846700716323,0.0023558103855566615
pyr_c,2159.1166666665395,0.043932945648082575,0.01532033426183844,0.004235563374496478,0.40124540954813986,0.00432100513815912,0.000662764455908219,0.000662764455908219,0.008477010283606418
nadph_c,2291.416666666608,0.10796272208530762,0.0905292479108635,0.011166264318700488,0.4035975267003935,0.012257749288096228,0.000688754407803329,0.000688754407803329,0.04148649422542302
paps_c,1981.5166666664782,0.026194385708317263,0.008754476721050538,0.0011406059348503638,0.37026668631206716,0.0012123267855758183,0.0006356591957659271,0.0006356591957659271,0.032371117701562806
Lcyst_c,1903.1166666665251,0.013384167256316882,0.002586549940310386,6.35668461710667e-06,0.356656258870281,6.2378063778849796e-06,0.0005437562546851761,0.0005437562546851761,0.002142215063121051
nadp_c,2299.0833333332826,0.11434224898283166,0.09152407481098289,0.011597207541300511,0.404898090711351,0.012791276705155013,0.000688833654475963,0.000688833654475963,0.041745867135908665
pap_c,2002.9333333331306,0.024392800140854983,0.008953442101074413,0.0014586981404000868,0.37487879465950624,0.0017619540564951478,0.0006371608268114278,0.0006371608268114278,0.03256773377845502
L2aadp_c,1948.766666666493,0.013249948500407303,0.0021886191802626344,0.00010382246102029602,0.36670071501532175,9.803867878118942e-05,0.0005209843636800469,0.0005209843636800469,0.0010247936903186423
akg_m,2057.133333333168,0.01636333091527226,0.014723438121766812,0.004098625642902705,0.37872051842363047,0.0039692283616686065,0.000657920795914328,0.000657920795914328,0.0066297641345942696
L2aadp_m,1611.4666666667194,0.0030419679974243046,0.0021886191802626344,2.074810882321367e-05,0.2988642445144794,2.0744754515911352e-05,0.0005199654886732765,0.0005199654886732765,0.0008477938992826466
akg_c,2144.266666666518,0.04541293930052235,0.01910067648229208,0.0034115486868457425,0.39746935547647294,0.003418949150612756,0.0006678950560382347,0.0006678950560382347,0.009315173380402211
2dr1p_c,1941.6333333331654,0.013662283336334348,0.0029844807003581377,1.774167768849526e-05,0.3647579650192322,2.124781989199281e-05,0.0005541514695737758,0.0005541514695737758,0.0005564207302420739
drib_c,1941.6333333331645,0.01625196604657013,0.0015917230401910067,0.0004010746364784154,0.3652350846595451,0.0004022475010823022,0.00045819266859625833,0.00045819266859625833,0.0002777023410914317
2hb_c,1910.2666666665245,0.013414748856309508,0.005173099880620772,3.768436698698129e-05,0.3562012756909993,3.772914034907418e-05,0.0006055262935060365,0.0006055262935060365,0.0010364917893881808
nad_c,2230.6166666665804,0.0834237616309032,0.054715479506565856,0.00787178995853165,0.4037272070045787,0.009563180986516772,0.0006850169023321777,0.0006850169023321777,0.03765138655384431
2obut_c,2066.03333333315,0.01971063564905484,0.003780342220453641,0.00031930735917141777,0.38727076591154264,0.0003080965334460334,0.0005822028644382797,0.0005822028644382797,0.0015583838860481008
nadh_c,2179.6999999998584,0.07073345244824839,0.05212892956625547,0.005372948449105733,0.39472237493128093,0.006123733024211916,0.0006844480257199351,0.0006844480257199351,0.03618922408401191
2hb_e,1906.683333333193,0.011063945834401127,0.004576203740549145,2.7257691214550197e-05,0.35577263396333264,2.9487042541759087e-05,0.0005948347039880552,0.0005948347039880552,0.0007255661741089819
h_e,2141.966666666478,0.0667729339229423,0.04795065658575408,0.029627141317924093,0.3870619946091644,0.027056995173424254,0.0006810390926024314,0.0006810390926024314,0.03089350650005485
hco3_e,2007.8333333331443,0.03579735193510152,0.026064464783127735,0.002149556086782559,0.36755887084978794,0.002384871401282859,0.000672739499647264,0.000672739499647264,0.006093091284739364
na1_e,2123.5666666664724,0.08893886815820344,0.03820135296458416,0.004813051371499334,0.3867046241440332,0.004611930455753273,0.0006812216666121737,0.0006812216666121737,0.01770487404266005
hco3_c,2064.5499999997937,0.05111225331615402,0.027855153203342618,0.0031958959248591396,0.3789489557415366,0.0032759907912630914,0.0006744161525302703,0.0006744161525302703,0.006996127812703421
na1_c,2183.3499999998794,0.08935471856935502,0.039594110624751294,0.014860250644282258,0.3999681680725768,0.01533020582347041,0.000681754751047705,0.000681754751047705,0.02249221389767435
2mcit_c,1959.5499999998183,0.010668598623237479,0.001193792280143255,0.00039793076004775185,0.3693687072830161,0.0003979307600477516,0.0004061240127750357,0.0004061240127750357,0.00043144740093516615
2mcit_e,1395.1666666666856,0.00014580125352847638,0.00019896538002387584,0.0,0.2697509660798626,0.0,0.00013355945703454316,0.00013355945703454316,0.0
2oxoadp_m,1620.5000000000496,0.0028734157001871563,0.002586549940310386,2.39110155003917e-05,0.3001492982979994,2.9839288419221394e-05,0.0005407854911860231,0.0005407854911860231,0.0008910306251346897
coa_m,1871.7499999999425,0.013076289574786187,0.05988857938718663,0.016913885686530062,0.32359000772598506,0.01710084850689461,0.0006820235836096756,0.0006820235836096756,0.0556201487535761
nad_m,2123.049999999823,0.01872585228218779,0.0527258257063271,0.012764588051349508,0.3780937335439705,0.013160039344185364,0.0006809752203722787,0.0006809752203722787,0.011435019384553168
co2_m,1696.4333333333593,0.008525779750808945,0.014922403501790688,0.0005172624186028305,0.3087602899619118,0.0007429466788865057,0.0006580939247363216,0.0006580939247363216,0.003891015099017939
glutcoa_m,1571.9261904762618,0.002509585073941637,0.002785515320334262,1.9624247007537722e-05,0.28921625043158017,2.0855206474311816e-05,0.0005482153738320887,0.0005482153738320887,0.0009711368078910275
nadh_m,2118.4666666664884,0.017152825184057106,0.051929964186231595,0.0110110574244483,0.3774973711882229,0.011092657992279419,0.0006807578097947917,0.0006807578097947917,0.010722786154040613
2oxoadp_c,1949.6833333331592,0.015056528857649116,0.0021886191802626344,7.224113764455414e-05,0.36683453762499085,7.172518344023796e-05,0.0005234600714711273,0.0005234600714711273,0.0009846198307604122
34dhmald_c,1948.3166666664938,0.017655695598099357,0.002785515320334262,2.1385466195001077e-05,0.36637993876658403,2.7223552244671887e-05,0.0005503754988574254,0.0005503754988574254,0.0012132742561804517
34dhoxpeg_c,1870.849999999879,0.007033302138125903,0.0009948269001193793,0.0003979307600477518,0.3509286412512219,0.00039793076004775136,0.0003673856400892104,0.0003673856400892104,0.00019864431761928866
34dhoxpeg_e,1347.8428571428797,9.611611695959233e-05,0.00019896538002387584,0.0,0.25978187832738925,0.0,0.00012908330082311804,0.00012908330082311804,0.0
34dhpha_c,1936.9333333331674,0.014931439717599271,0.0019896538002387586,1.5170914287210176e-06,0.36436131651442655,1.5220028309551064e-06,0.0005112362023736006,0.0005112362023736006,0.000991875680953446
amet_c,1990.8999999998093,0.028570758776228982,0.014524472741742936,0.0015007758967010138,0.37026668631206716,0.0016961476497690088,0.0006561415884074483,0.0006561415884074483,0.021060351998108958
ahcys_c,1979.8999999998157,0.021525612011886516,0.014126541981695185,0.0017122555172803093,0.36844806099259586,0.0019431713832178369,0.0006542551984700427,0.0006542551984700427,0.0200026932069425
homoval_c,1934.9333333331683,0.011876670784305238,0.0015917230401910067,8.438654146006097e-07,0.36412374121567775,9.172729637177329e-07,0.0004785731273760827,0.0004785731273760827,0.0008263648526841752
34dhphe_e,1443.0666666667007,0.0019488281692397699,0.0005968961400716276,0.0,0.2763816332141875,0.0,0.00031543211656650426,0.00031543211656650426,0.00014513409913457278
34dhphe_c,1953.4499999998245,0.015821510045741432,0.0033824114604058893,0.0001904204823074611,0.3671024760791761,0.0002025506775247045,0.0005665926421955125,0.0005665926421955125,0.0016533768941428715
34dhpac_c,1947.1499999998275,0.017286933436179958,0.00238758456028651,1.7828725365993063e-05,0.3662998323737337,2.5785087253469967e-05,0.0005328770904856488,0.0005328770904856488,0.0011773260464397793
34dhoxmand_c,1933.7166666665023,0.014088325426561648,0.001392757660167131,2.2123347214212952e-08,0.3639128231120122,1.428141208272646e-08,0.0004616121111906377,0.0004616121111906377,0.00040206004649757845
34hpp_m,1551.7095238095906,0.0017166497533818495,0.001392757660167131,9.15916468228245e-07,0.28675757402864155,1.64642146997799e-06,0.00045649884731097123,0.00045649884731097123,0.00027066011366226215
34hpl_m,1571.716666666729,0.0016217269300404884,0.001193792280143255,6.241357654263964e-07,0.2917005223447475,2.5603745536676763e-06,0.00042988139762777035,0.00042988139762777035,0.00017250746677938003
34hpp_c,1655.4333333333332,0.005319489022376913,0.001392757660167131,0.00039898886476270705,0.311535362300874,0.00039937378575447295,0.00043236119262611664,0.00043236119262611664,0.00035601389492365235
co2_c,2132.4166666664887,0.06796610879023161,0.03660962992439316,0.006353030997105065,0.390976273823415,0.006852016243062391,0.000680550838562685,0.000680550838562685,0.023777977614767035
hgentis_c,1887.2833333332005,0.007131735263560024,0.0009948269001193793,1.975799670888923e-05,0.3543928923988154,3.201033144308991e-05,0.0003934349611314567,0.0003934349611314567,0.0002267735111241417
35cgmp_c,1946.9333333331608,0.018847094937191552,0.0019896538002387586,0.0003094599296295483,0.3663532327429113,0.00028262658652853696,0.0005080607906763499,0.0005080607906763499,0.0016005149923876004
35cgmp_n,1422.7166666666935,0.0003646601476476686,0.0007958615200955034,5.208306158706547e-06,0.2721758908263836,5.62278709346791e-06,0.00034843358803674803,0.00034843358803674803,0.0011845447101072114
3aib_c,1116.12976190489,6.499152111204107e-06,0.0003979307600477517,0.00039793076004775174,0.21622784374462226,0.00039793076004775174,0.00012195101749248592,0.00012195101749248592,0.0
3aib_e,909.9730158729112,8.897280422011873e-08,0.00019896538002387584,0.0,0.1777919275531501,0.0,7.561428906378273e-05,7.561428906378273e-05,0.0
2mop_m,1608.2666666667244,0.002697890908485395,0.0031834460803820135,6.68547702061438e-05,0.2975372957613071,9.425424409345904e-05,0.0005604736313029456,0.0005604736313029456,0.0006592131689924064
glu_L_m,2036.6333333331727,0.015555634103201847,0.016713091922005572,0.0031666923246122026,0.37398615968450033,0.003098367838072994,0.00066126315793986,0.00066126315793986,0.003867556595391622
3aib_m,1447.0928571429083,0.00047400133111573297,0.0007958615200955034,0.0007957031396934944,0.2758355743373031,0.0007957031396934944,0.00031476100860581673,0.00031476100860581673,9.343684364920334e-05
3dphb_m,1581.3000000000634,0.0024101895662290217,0.0021886191802626344,2.0570403037246665e-06,0.29330065359477125,6.2169915203380675e-06,0.0005183929697169512,0.0005183929697169512,0.0006663062725989784
3dpdhb_m,1580.9666666667295,0.00234524566418063,0.0021886191802626344,3.3606271363634765e-06,0.2932835385423353,6.7909798639794515e-06,0.0005186797457454332,0.0005186797457454332,0.0005479101972374503
3dsphgn_c,1913.0166666665184,0.0118364100462861,0.0015917230401910067,2.8285884955896306e-07,0.35871815002498036,3.1784356447988837e-07,0.00048139707571664617,0.00048139707571664617,0.0005651530041124342
sphgn_c,1971.7166666664787,0.021113801892083315,0.002586549940310386,0.00023615727487289492,0.3710868281157708,0.00021782371687363136,0.0005419227310772356,0.0005419227310772356,0.001570131859592085
3hanthrn_c,1942.6499999998298,0.011638927378387036,0.001193792280143255,4.769186205509124e-07,0.36579330422125184,5.484247714123458e-07,0.0004325820688590651,0.0004325820688590651,0.0002662487250774327
cmusa_c,1942.5666666664963,0.01142665913128084,0.001392757660167131,1.916872031461681e-06,0.36579330422125184,2.445595476000762e-06,0.0004484706147980004,0.0004484706147980004,0.0002945843075909477
b2coa_m,1587.083333333399,0.002139492979250244,0.0021886191802626344,8.671725391393908e-06,0.2942622950819672,1.395624711858113e-05,0.0005166424876185302,0.0005166424876185302,0.0006879343923829213
3hbcoa_R_m,1528.2333333333852,0.0004368989274494752,0.0005968961400716276,2.667129013969791e-05,0.28803942919365005,3.592879064457496e-05,0.0002982192939636078,0.0002982192939636078,0.0002883436211438191
3hibutcoa_m,1588.283333333399,0.0013130529685333636,0.0009948269001193793,5.120932319494887e-07,0.29448643581180056,9.487606257995033e-07,0.00039891935584238195,0.00039891935584238195,0.0002665324231705018
